# 20240826_150341
alpha,Dfield0Re,Dfield0Im
0,-0.201136,0
0.00157237,-0.201229,0
0.00314474,-0.201329,0
0.00471711,-0.20143,0
0.00628947,-0.201526,0
0.00786184,-0.201608,0
0.00943421,-0.201671,0
0.0110066,-0.201714,0
0.0125789,-0.201751,0
0.0141513,-0.201785,0
0.0157237,-0.201814,0
0.0172961,-0.201837,0
0.0188684,-0.201853,0
0.0204408,-0.201862,0
0.0220132,-0.201868,0
0.0235855,-0.201874,0
0.0251579,-0.201878,0
0.0267303,-0.201882,0
0.0283026,-0.201884,0
0.029875,-0.201885,0
0.0314474,-0.201884,0
0.0330197,-0.201884,0
0.0345921,-0.201882,0
0.0361645,-0.201881,0
0.0377368,-0.20188,0
0.0393092,-0.201879,0
0.0408816,-0.201879,0
0.042454,-0.20188,0
0.0440263,-0.201882,0
0.0455987,-0.201884,0
0.0471711,-0.201886,0
0.0487434,-0.201889,0
0.0503158,-0.201892,0
0.0518882,-0.201896,0
0.0534605,-0.201901,0
0.0550329,-0.201908,0
0.0566053,-0.201915,0
0.0581776,-0.201923,0
0.05975,-0.201931,0
0.0613224,-0.201939,0
0.0628947,-0.201948,0
0.0644671,-0.201958,0
0.0660395,-0.201968,0
0.0676119,-0.201978,0
0.0691842,-0.201989,0
0.0707566,-0.202,0
0.072329,-0.202011,0
0.0739013,-0.202023,0
0.0754737,-0.202035,0
0.0770461,-0.202047,0
0.0786184,-0.202058,0
0.0801908,-0.20207,0
0.0817632,-0.202082,0
0.0833355,-0.202094,0
0.0849079,-0.202106,0
0.0864803,-0.202117,0
0.0880526,-0.202129,0
0.089625,-0.20214,0
0.0911974,-0.202151,0
0.0927698,-0.202162,0
0.0943421,-0.202173,0
0.0959145,-0.202183,0
0.0974869,-0.202193,0
0.0990592,-0.202203,0
0.100632,-0.202212,0
0.102204,-0.202221,0
0.103776,-0.20223,0
0.105349,-0.202239,0
0.106921,-0.202247,0
0.108493,-0.202254,0
0.110066,-0.202261,0
0.111638,-0.202268,0
0.113211,-0.202275,0
0.114783,-0.202281,0
0.116355,-0.202287,0
0.117928,-0.202292,0
0.1195,-0.202296,0
0.121072,-0.202301,0
0.122645,-0.202305,0
0.124217,-0.202309,0
0.125789,-0.202312,0
0.127362,-0.202315,0
0.128934,-0.202317,0
0.130507,-0.202317,0
0.132079,-0.202317,0
0.133651,-0.202318,0
0.135224,-0.202318,0
0.136796,-0.202318,0
0.138368,-0.202318,0
0.139941,-0.202318,0
0.141513,-0.202317,0
0.143086,-0.202315,0
0.144658,-0.202312,0
0.14623,-0.202308,0
0.147803,-0.202304,0
0.149375,-0.2023,0
0.150947,-0.202295,0
0.15252,-0.202289,0
0.154092,-0.202283,0
0.155665,-0.202276,0
0.157237,-0.202268,0
0.158809,-0.202259,0
0.160382,-0.202251,0
0.161954,-0.202241,0
0.163526,-0.20223,0
0.165099,-0.202218,0
0.166671,-0.202206,0
0.168243,-0.202193,0
0.169816,-0.202179,0
