# 20240826_182855
alpha,Df0Re,Df0Im
0,-0.213337,0
0.00157237,-0.213435,0
0.00314474,-0.213541,0
0.00471711,-0.213649,0
0.00628947,-0.213749,0
0.00786184,-0.213836,0
0.00943421,-0.213903,0
0.0110066,-0.213947,0
0.0125789,-0.213986,0
0.0141513,-0.214022,0
0.0157237,-0.214052,0
0.0172961,-0.214075,0
0.0188684,-0.214091,0
0.0204408,-0.214099,0
0.0220132,-0.214104,0
0.0235855,-0.214108,0
0.0251579,-0.214111,0
0.0267303,-0.214114,0
0.0283026,-0.214116,0
0.029875,-0.214116,0
0.0314474,-0.214115,0
0.0330197,-0.214113,0
0.0345921,-0.214109,0
0.0361645,-0.214106,0
0.0377368,-0.214102,0
0.0393092,-0.2141,0
0.0408816,-0.214099,0
0.042454,-0.214098,0
0.0440263,-0.214097,0
0.0455987,-0.214097,0
0.0471711,-0.214096,0
0.0487434,-0.214096,0
0.0503158,-0.214096,0
0.0518882,-0.214097,0
0.0534605,-0.2141,0
0.0550329,-0.214103,0
0.0566053,-0.214107,0
0.0581776,-0.214112,0
0.05975,-0.214116,0
0.0613224,-0.214121,0
0.0628947,-0.214126,0
0.0644671,-0.214132,0
0.0660395,-0.214138,0
0.0676119,-0.214145,0
0.0691842,-0.214151,0
0.0707566,-0.214157,0
0.072329,-0.214163,0
0.0739013,-0.21417,0
0.0754737,-0.214176,0
0.0770461,-0.214183,0
0.0786184,-0.214189,0
0.0801908,-0.214194,0
0.0817632,-0.214199,0
0.0833355,-0.214205,0
0.0849079,-0.21421,0
0.0864803,-0.214214,0
0.0880526,-0.214218,0
0.089625,-0.21422,0
0.0911974,-0.214222,0
0.0927698,-0.214223,0
0.0943421,-0.214223,0
0.0959145,-0.214224,0
0.0974869,-0.214225,0
0.0990592,-0.214225,0
0.100632,-0.214225,0
0.102204,-0.214223,0
0.103776,-0.21422,0
0.105349,-0.214215,0
0.106921,-0.21421,0
0.108493,-0.214204,0
0.110066,-0.214197,0
0.111638,-0.21419,0
0.113211,-0.214182,0
0.114783,-0.214172,0
0.116355,-0.214161,0
0.117928,-0.214149,0
0.1195,-0.214137,0
0.121072,-0.214124,0
0.122645,-0.214109,0
0.124217,-0.214093,0
0.125789,-0.214076,0
0.127362,-0.214058,0
0.128934,-0.214039,0
0.130507,-0.214019,0
0.132079,-0.213997,0
0.133651,-0.213974,0
0.135224,-0.21395,0
0.136796,-0.213924,0
0.138368,-0.213897,0
0.139941,-0.21387,0
0.141513,-0.213841,0
0.143086,-0.21381,0
0.144658,-0.213777,0
0.14623,-0.213743,0
0.147803,-0.213708,0
0.149375,-0.213671,0
0.150947,-0.213633,0
0.15252,-0.213593,0
0.154092,-0.213551,0
0.155665,-0.213507,0
0.157237,-0.213462,0
0.158809,-0.213415,0
0.160382,-0.213366,0
0.161954,-0.213315,0
0.163526,-0.213262,0
0.165099,-0.213207,0
0.166671,-0.21315,0
0.168243,-0.213091,0
0.169816,-0.21303,0
0.171388,-0.212966,0
0.172961,-0.2129,0
0.174533,-0.212832,0
0.176105,-0.212761,0
0.177678,-0.212687,0
0.17925,-0.212611,0
0.180822,-0.212533,0
0.182395,-0.212451,0
0.183967,-0.212367,0
0.18554,-0.212279,0
0.187112,-0.212188,0
0.188684,-0.212095,0
0.190257,-0.211999,0
0.191829,-0.211899,0
0.193401,-0.211796,0
0.194974,-0.211689,0
0.196546,-0.211579,0
0.198118,-0.211465,0
0.199691,-0.211348,0
0.201263,-0.211227,0
0.202836,-0.211102,0
0.204408,-0.210973,0
0.20598,-0.21084,0
0.207553,-0.210702,0
0.209125,-0.210561,0
0.210697,-0.210415,0
0.21227,-0.210265,0
0.213842,-0.21011,0
0.215415,-0.20995,0
0.216987,-0.209786,0
0.218559,-0.209616,0
0.220132,-0.209443,0
0.221704,-0.209264,0
0.223276,-0.209079,0
0.224849,-0.208889,0
0.226421,-0.208693,0
0.227993,-0.208492,0
0.229566,-0.208286,0
0.231138,-0.208074,0
0.232711,-0.207856,0
0.234283,-0.207632,0
0.235855,-0.207401,0
0.237428,-0.207164,0
0.239,-0.206921,0
0.240572,-0.206672,0
0.242145,-0.206416,0
0.243717,-0.206153,0
0.24529,-0.205883,0
0.246862,-0.205606,0
0.248434,-0.205322,0
0.250007,-0.205031,0
0.251579,-0.204733,0
0.253151,-0.204427,0
0.254724,-0.204113,0
0.256296,-0.203791,0
0.257868,-0.203461,0
0.259441,-0.203124,0
0.261013,-0.202779,0
0.262586,-0.202425,0
0.264158,-0.202061,0
0.26573,-0.201689,0
0.267303,-0.201309,0
0.268875,-0.200919,0
0.270447,-0.200522,0
0.27202,-0.200114,0
0.273592,-0.199697,0
0.275165,-0.19927,0
0.276737,-0.198833,0
0.278309,-0.198386,0
0.279882,-0.19793,0
0.281454,-0.197464,0
0.283026,-0.196987,0
0.284599,-0.196499,0
0.286171,-0.195999,0
0.287743,-0.19549,0
0.289316,-0.19497,0
0.290888,-0.194439,0
0.292461,-0.193896,0
0.294033,-0.19334,0
0.295605,-0.192773,0
0.297178,-0.192194,0
0.29875,-0.191603,0
0.300322,-0.191001,0
0.301895,-0.190385,0
0.303467,-0.189756,0
0.30504,-0.189114,0
0.306612,-0.188459,0
0.308184,-0.187791,0
0.309757,-0.18711,0
0.311329,-0.186416,0
0.312901,-0.185706,0
0.314474,-0.184982,0
0.316046,-0.184244,0
0.317618,-0.183491,0
0.319191,-0.182725,0
0.320763,-0.181944,0
0.322336,-0.181147,0
0.323908,-0.180334,0
0.32548,-0.179505,0
0.327053,-0.178661,0
0.328625,-0.177801,0
0.330197,-0.176925,0
0.33177,-0.176033,0
0.333342,-0.175124,0
0.334915,-0.174196,0
0.336487,-0.173252,0
0.338059,-0.172291,0
0.339632,-0.171313,0
0.341204,-0.170318,0
0.342776,-0.169304,0
0.344349,-0.168271,0
0.345921,-0.167219,0
0.347493,-0.166148,0
0.349066,-0.16506,0
0.350638,-0.163953,0
0.352211,-0.162826,0
0.353783,-0.161679,0
0.355355,-0.160511,0
0.356928,-0.159323,0
0.3585,-0.158116,0
0.360072,-0.156889,0
0.361645,-0.155641,0
0.363217,-0.154372,0
0.36479,-0.15308,0
0.366362,-0.151767,0
0.367934,-0.150432,0
0.369507,-0.149077,0
0.371079,-0.1477,0
0.372651,-0.1463,0
0.374224,-0.144876,0
0.375796,-0.14343,0
0.377368,-0.14196,0
0.378941,-0.140468,0
0.380513,-0.138955,0
0.382086,-0.137417,0
0.383658,-0.135853,0
0.38523,-0.134265,0
0.386803,-0.132653,0
0.388375,-0.131018,0
0.389947,-0.129359,0
0.39152,-0.127675,0
0.393092,-0.125965,0
0.394665,-0.124229,0
0.396237,-0.122467,0
0.397809,-0.120681,0
0.399382,-0.11887,0
0.400954,-0.117034,0
0.402526,-0.115171,0
0.404099,-0.11328,0
0.405671,-0.111363,0
0.407243,-0.109419,0
0.408816,-0.10745,0
0.410388,-0.105456,0
0.411961,-0.103434,0
0.413533,-0.101383,0
0.415105,-0.0993046,0
0.416678,-0.0971989,0
0.41825,-0.0950668,0
0.419822,-0.0929089,0
0.421395,-0.0907239,0
0.422967,-0.0885092,0
0.42454,-0.0862656,0
0.426112,-0.083994,0
0.427684,-0.0816952,0
0.429257,-0.07937,0
0.430829,-0.0770185,0
0.432401,-0.0746371,0
0.433974,-0.0722262,0
