# 20240826_183153
alpha,Df0Re,Df0Im
0,-0.188145,0
0.01,-0.188601,0
0.02,-0.188645,0
0.03,-0.188499,0
0.04,-0.188273,0
0.05,-0.188011,0
0.06,-0.18772,0
0.07,-0.187392,0
0.08,-0.187014,0
0.09,-0.186571,0
0.1,-0.186051,0
0.11,-0.185446,0
0.12,-0.184748,0
0.13,-0.183951,0
0.14,-0.183048,0
0.15,-0.182028,0
0.16,-0.180882,0
0.17,-0.179596,0
0.18,-0.178153,0
0.19,-0.176534,0
0.2,-0.174718,0
0.21,-0.17268,0
0.22,-0.170396,0
0.23,-0.167837,0
0.24,-0.164975,0
0.25,-0.161777,0
0.26,-0.158212,0
0.27,-0.154245,0
0.28,-0.149838,0
0.29,-0.144954,0
0.3,-0.139552,0
0.31,-0.133588,0
0.32,-0.12702,0
0.33,-0.119802,0
0.34,-0.111887,0
0.35,-0.10323,0
0.36,-0.0937865,0
0.37,-0.083514,0
0.38,-0.0723734,0
0.39,-0.0603316,0
0.4,-0.0473607,0
0.41,-0.0334431,0
0.42,-0.0185693,0
0.43,-0.00274384,0
0.44,0.0140166,0
0.45,0.0316789,0
0.46,0.0501921,0
0.47,0.0694872,0
0.48,0.0894739,0
0.49,0.11004,0
0.5,0.13105,0
0.51,0.152344,0
0.52,0.173741,0
0.53,0.195031,0
0.54,0.215984,0
0.55,0.236347,0
0.56,0.255847,0
0.57,0.274194,0
0.58,0.291087,0
0.59,0.306215,0
0.6,0.319268,0
0.61,0.32994,0
0.62,0.337938,0
0.63,0.342992,0
0.64,0.344859,0
0.65,0.343337,0
0.66,0.338271,0
0.67,0.32956,0
0.68,0.317162,0
0.69,0.301104,0
0.7,0.281484,0
0.71,0.258469,0
0.72,0.232301,0
0.73,0.203289,0
0.74,0.171812,0
0.75,0.138306,0
0.76,0.103257,0
0.77,0.0671953,0
0.78,0.0306766,0
0.79,-0.00572547,0
0.8,-0.0414367,0
0.81,-0.0758964,0
0.82,-0.108572,0
0.83,-0.138976,0
0.84,-0.166673,0
0.85,-0.191299,0
0.86,-0.212567,0
0.87,-0.23027,0
0.88,-0.24429,0
0.89,-0.254593,0
0.9,-0.261228,0
0.91,-0.264319,0
0.92,-0.264058,0
0.93,-0.260692,0
0.94,-0.25451,0
0.95,-0.245836,0
0.96,-0.235011,0
0.97,-0.222383,0
0.98,-0.2083,0
0.99,-0.193098,0
1,-0.177097,0
1.01,-0.160594,0
1.02,-0.143858,0
1.03,-0.127131,0
1.04,-0.110625,0
1.05,-0.0945169,0
1.06,-0.0789573,0
1.07,-0.0640645,0
1.08,-0.049929,0
1.09,-0.0366152,0
1.1,-0.0241643,0
1.11,-0.0125972,0
1.12,-0.0019183,0
1.13,0.00788099,0
1.14,0.0168191,0
1.15,0.0249214,0
1.16,0.0322178,0
1.17,0.0387415,0
1.18,0.0445289,0
1.19,0.0496186,0
1.2,0.0540529,0
1.21,0.0578773,0
1.22,0.0611412,0
1.23,0.0638964,0
1.24,0.0661957,0
1.25,0.0680903,0
1.26,0.0696267,0
1.27,0.0708434,0
1.28,0.0717691,0
1.29,0.0724221,0
1.3,0.0728115,0
1.31,0.0729417,0
1.32,0.0728171,0
1.33,0.0724489,0
1.34,0.0718598,0
1.35,0.0710869,0
1.36,0.0701794,0
1.37,0.0691931,0
1.38,0.0681806,0
1.39,0.0671806,0
1.4,0.0662111,0
1.41,0.0652694,0
1.42,0.0643426,0
1.43,0.0634278,0
1.44,0.062557,0
1.45,0.0618156,0
1.46,0.0613415,0
1.47,0.0612929,0
1.48,0.0617863,0
1.49,0.0628282,0
1.5,0.0642883,0
1.51,0.0659816,0
1.52,0.0678968,0
1.53,0.0705101,0
1.54,0.074958,0
1.55,0.0827643,0
1.56,0.0953365,0
1.57,0.115877,0
1.58,0.163812,0
