# 20240826_183153
alpha,field0Re,field0Im
0,0.0202471,0
0.00157237,0.0202517,0
0.00314474,0.020256,0
0.00471711,0.0202602,0
0.00628947,0.0202647,0
0.00786184,0.0202695,0
0.00943421,0.020275,0
0.0110066,0.0202814,0
0.0125789,0.0202889,0
0.0141513,0.0202973,0
0.0157237,0.0203066,0
0.0172961,0.0203164,0
0.0188684,0.0203267,0
0.0204408,0.0203373,0
0.0220132,0.0203486,0
0.0235855,0.0203607,0
0.0251579,0.0203735,0
0.0267303,0.020387,0
0.0283026,0.020401,0
0.029875,0.0204153,0
0.0314474,0.0204303,0
0.0330197,0.020446,0
0.0345921,0.0204623,0
0.0361645,0.0204793,0
0.0377368,0.0204969,0
0.0393092,0.0205149,0
0.0408816,0.0205334,0
0.042454,0.0205526,0
0.0440263,0.0205725,0
0.0455987,0.020593,0
0.0471711,0.0206141,0
0.0487434,0.0206358,0
0.0503158,0.0206579,0
0.0518882,0.0206806,0
0.0534605,0.020704,0
0.0550329,0.020728,0
0.0566053,0.0207527,0
0.0581776,0.0207779,0
0.05975,0.0208036,0
0.0613224,0.0208298,0
0.0628947,0.0208568,0
0.0644671,0.0208844,0
0.0660395,0.0209126,0
0.0676119,0.0209414,0
0.0691842,0.0209707,0
0.0707566,0.0210005,0
0.072329,0.021031,0
0.0739013,0.0210622,0
0.0754737,0.021094,0
0.0770461,0.0211263,0
0.0786184,0.0211593,0
0.0801908,0.0211927,0
0.0817632,0.0212268,0
0.0833355,0.0212616,0
0.0849079,0.021297,0
0.0864803,0.0213329,0
0.0880526,0.0213695,0
0.089625,0.0214066,0
0.0911974,0.0214443,0
0.0927698,0.0214826,0
0.0943421,0.0215216,0
0.0959145,0.0215612,0
0.0974869,0.0216014,0
0.0990592,0.0216421,0
0.100632,0.0216834,0
0.102204,0.0217253,0
0.103776,0.0217679,0
0.105349,0.0218111,0
0.106921,0.0218548,0
0.108493,0.0218992,0
0.110066,0.0219441,0
0.111638,0.0219896,0
0.113211,0.0220357,0
0.114783,0.0220825,0
0.116355,0.0221299,0
0.117928,0.0221778,0
0.1195,0.0222263,0
0.121072,0.0222753,0
0.122645,0.022325,0
0.124217,0.0223753,0
0.125789,0.0224263,0
0.127362,0.0224778,0
0.128934,0.0225298,0
0.130507,0.0225824,0
0.132079,0.0226356,0
0.133651,0.0226894,0
0.135224,0.0227439,0
0.136796,0.0227989,0
0.138368,0.0228545,0
0.139941,0.0229106,0
0.141513,0.0229672,0
0.143086,0.0230246,0
0.144658,0.0230825,0
0.14623,0.023141,0
0.147803,0.0232,0
0.149375,0.0232596,0
0.150947,0.0233197,0
0.15252,0.0233805,0
0.154092,0.0234418,0
0.155665,0.0235038,0
0.157237,0.0235662,0
0.158809,0.0236293,0
0.160382,0.0236928,0
0.161954,0.023757,0
0.163526,0.0238217,0
0.165099,0.023887,0
0.166671,0.0239529,0
0.168243,0.0240193,0
0.169816,0.0240862,0
0.171388,0.0241537,0
0.172961,0.0242217,0
0.174533,0.0242904,0
0.176105,0.0243596,0
0.177678,0.0244293,0
0.17925,0.0244996,0
0.180822,0.0245703,0
0.182395,0.0246417,0
0.183967,0.0247136,0
0.18554,0.024786,0
0.187112,0.024859,0
0.188684,0.0249325,0
0.190257,0.0250065,0
0.191829,0.025081,0
0.193401,0.0251561,0
0.194974,0.0252318,0
0.196546,0.0253079,0
0.198118,0.0253846,0
0.199691,0.0254617,0
0.201263,0.0255394,0
0.202836,0.0256176,0
0.204408,0.0256963,0
0.20598,0.0257755,0
0.207553,0.0258552,0
0.209125,0.0259354,0
0.210697,0.0260161,0
0.21227,0.0260973,0
0.213842,0.026179,0
0.215415,0.0262612,0
0.216987,0.0263439,0
0.218559,0.026427,0
0.220132,0.0265105,0
0.221704,0.0265946,0
0.223276,0.0266791,0
0.224849,0.0267641,0
0.226421,0.0268496,0
0.227993,0.0269355,0
0.229566,0.0270218,0
0.231138,0.0271085,0
0.232711,0.0271957,0
0.234283,0.0272834,0
0.235855,0.0273715,0
0.237428,0.02746,0
0.239,0.0275488,0
0.240572,0.0276381,0
0.242145,0.0277278,0
0.243717,0.0278179,0
0.24529,0.0279083,0
0.246862,0.0279992,0
0.248434,0.0280904,0
0.250007,0.028182,0
0.251579,0.0282739,0
0.253151,0.0283661,0
0.254724,0.0284588,0
0.256296,0.0285518,0
0.257868,0.0286451,0
0.259441,0.0287386,0
0.261013,0.0288325,0
0.262586,0.0289267,0
0.264158,0.0290212,0
0.26573,0.029116,0
0.267303,0.029211,0
0.268875,0.0293063,0
0.270447,0.0294018,0
0.27202,0.0294975,0
0.273592,0.0295935,0
0.275165,0.0296898,0
0.276737,0.0297862,0
0.278309,0.0298828,0
0.279882,0.0299796,0
0.281454,0.0300765,0
0.283026,0.0301736,0
0.284599,0.0302709,0
0.286171,0.0303683,0
0.287743,0.0304659,0
0.289316,0.0305634,0
0.290888,0.0306611,0
