# 20240826_202032
# initdata:	data/init_real_m828_consteps_20240826_143307/init6.csv
# particle mass:	0.828
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2224.38,0
0.0100503,2190.25,0
0.0201005,2090.7,0
0.0301508,1933.89,0
0.040201,1732.23,0
0.0502513,1501.02,0
0.0603015,1256.81,0
0.0703518,1016.11,0
0.080402,793.761,0
0.0904523,601.703,0
0.100503,447.575,0
0.110553,333.763,0
0.120603,257.181,0
0.130653,210.206,0
0.140704,182.732,0
0.150754,164.953,0
0.160804,149.615,0
0.170854,133.384,0
0.180905,116.334,0
0.190955,100.266,0
0.201005,86.7308,0
0.211055,75.8264,0
0.221106,66.3198,0
0.231156,56.7467,0
0.241206,46.5801,0
0.251256,36.5919,0
0.261307,28.194,0
0.271357,22.3219,0
0.281407,18.7385,0
0.291457,16.2658,0
0.301508,13.6989,0
0.311558,10.6365,0
0.321608,7.58028,0
0.331658,5.30917,0
0.341709,4.1265,0
0.351759,3.63369,0
0.361809,3.15984,0
0.371859,2.38068,0
0.38191,1.53342,0
0.39196,1.06842,0
0.40201,1.13467,0
0.41206,1.4277,0
0.422111,1.52672,0
0.432161,1.33639,0
0.442211,1.1562,0
0.452261,1.3148,0
0.462312,1.77983,0
0.472362,2.17759,0
0.482412,2.20268,0
0.492462,1.96129,0
0.502513,1.85777,0
0.512563,2.14132,0
0.522613,2.61822,0
0.532663,2.86193,0
0.542714,2.69582,0
0.552764,2.40375,0
0.562814,2.41858,0
0.572864,2.83133,0
0.582915,3.28144,0
0.592965,3.36447,0
0.603015,3.09779,0
0.613065,2.90475,0
0.623116,3.12554,0
0.633166,3.6154,0
0.643216,3.90216,0
0.653266,3.7278,0
0.663317,3.34469,0
0.673367,3.21694,0
0.683417,3.4756,0
0.693467,3.76978,0
0.703518,3.68919,0
0.713568,3.25357,0
0.723618,2.88566,0
0.733668,2.90546,0
0.743719,3.15826,0
0.753769,3.22204,0
0.763819,2.93228,0
0.773869,2.57898,0
0.78392,2.54025,0
0.79397,2.81267,0
0.80402,3.02011,0
0.81407,2.8828,0
0.824121,2.5564,0
0.834171,2.42168,0
0.844221,2.59817,0
0.854271,2.79699,0
0.864322,2.69135,0
0.874372,2.32752,0
0.884422,2.05762,0
0.894472,2.09073,0
0.904523,2.24141,0
0.914573,2.18828,0
0.924623,1.896,0
0.934673,1.65436,0
0.944724,1.69528,0
0.954774,1.89504,0
0.964824,1.94471,0
0.974874,1.75396,0
0.984925,1.55551,0
0.994975,1.58358,0
1.00503,1.76023,0
1.01508,1.80301,0
1.02513,1.59942,0
1.03518,1.34889,0
1.04523,1.29148,0
1.05528,1.39514,0
1.06533,1.4161,0
1.07538,1.23787,0
1.08543,1.02682,0
1.09548,1.00215,0
1.10553,1.14134,0
1.11558,1.21872,0
1.12563,1.11392,0
1.13568,0.965685,0
1.14573,0.968692,0
1.15578,1.10144,0
1.16583,1.15742,0
1.17588,1.02829,0
1.18593,0.846416,0
1.19598,0.797779,0
1.20603,0.871749,0
1.21608,0.890222,0
1.22613,0.764464,0
1.23618,0.617691,0
1.24623,0.609561,0
1.25628,0.715417,0
1.26633,0.766819,0
1.27638,0.687857,0
1.28643,0.592828,0
1.29648,0.6151,0
1.30653,0.715407,0
1.31658,0.738185,0
1.32663,0.629804,0
1.33668,0.509276,0
1.34673,0.498268,0
1.35678,0.556332,0
1.36683,0.550393,0
1.37688,0.450516,0
1.38693,0.370763,0
1.39698,0.403148,0
1.40704,0.487045,0
1.41709,0.498333,0
1.42714,0.424815,0
1.43719,0.376464,0
1.44724,0.421424,0
1.45729,0.486912,0
1.46734,0.464529,0
1.47739,0.364362,0
1.48744,0.297764,0
1.49749,0.31937,0
1.50754,0.357422,0
1.51759,0.326693,0
1.52764,0.2542,0
1.53769,0.236416,0
1.54774,0.295937,0
1.55779,0.348289,0
1.56784,0.32403,0
1.57789,0.265574,0
1.58794,0.259931,0
1.59799,0.309603,0
1.60804,0.330174,0
1.61809,0.274464,0
1.62814,0.200331,0
1.63819,0.186293,0
1.64824,0.221791,0
1.65829,0.230589,0
1.66834,0.187161,0
1.67839,0.152691,0
1.68844,0.181016,0
1.69849,0.23669,0
1.70854,0.245637,0
1.71859,0.201372,0
1.72864,0.170462,0
1.73869,0.192283,0
1.74874,0.222515,0
1.75879,0.201341,0
1.76884,0.142724,0
1.77889,0.113613,0
1.78894,0.137054,0
1.79899,0.163017,0
1.80905,0.146473,0
1.8191,0.113705,0
1.82915,0.11958,0
1.8392,0.162706,0
1.84925,0.185726,0
1.8593,0.158664,0
1.86935,0.120553,0
1.8794,0.119557,0
1.88945,0.14292,0
1.8995,0.139965,0
1.90955,0.10056,0
1.9196,0.0708169,0
1.92965,0.0845494,0
1.9397,0.114586,0
1.94975,0.115375,0
1.9598,0.0907134,0
1.96985,0.0851684,0
1.9799,0.114298,0
1.98995,0.139607,0
2,0.124865,0
