# 20240826_202206
alpha,f0Re,f0Im
0,0.0180787,0
0.01,0.0180984,0
0.02,0.0181356,0
0.03,0.018189,0
0.04,0.0182577,0
0.05,0.0183412,0
0.06,0.018439,0
0.07,0.0185509,0
0.08,0.0186761,0
0.09,0.0188142,0
0.1,0.0189643,0
0.11,0.0191254,0
0.12,0.0192965,0
0.13,0.0194761,0
0.14,0.0196628,0
0.15,0.019855,0
0.16,0.0200507,0
0.17,0.0202478,0
0.18,0.020444,0
0.19,0.0206366,0
0.2,0.0208228,0
0.21,0.0209991,0
0.22,0.0211618,0
0.23,0.0213067,0
0.24,0.0214293,0
0.25,0.0215243,0
0.26,0.021586,0
0.27,0.0216081,0
0.28,0.0215838,0
0.29,0.0215055,0
0.3,0.0213654,0
0.31,0.0211548,0
0.32,0.0208646,0
0.33,0.0204854,0
0.34,0.0200075,0
0.35,0.0194211,0
0.36,0.0187162,0
0.37,0.0178835,0
0.38,0.0169141,0
0.39,0.0158001,0
0.4,0.014535,0
0.41,0.0131142,0
0.42,0.0115352,0
0.43,0.00979878,0
0.44,0.00790879,0
0.45,0.00587323,0
0.46,0.00370462,0
0.47,0.00142041,0
0.48,-0.000956524,0
0.49,-0.00339767,0
0.5,-0.00586877,0
0.51,-0.00832992,0
0.52,-0.0107359,0
0.53,-0.0130366,0
0.54,-0.0151783,0
0.55,-0.0171046,0
0.56,-0.0187579,0
0.57,-0.0200815,0
0.58,-0.0210213,0
0.59,-0.0215286,0
0.6,-0.0215625,0
0.61,-0.021092,0
0.62,-0.0200992,0
0.63,-0.0185807,0
0.64,-0.0165502,0
0.65,-0.0140395,0
0.66,-0.0110991,0
0.67,-0.00779813,0
0.68,-0.00422322,0
0.69,-0.000476437,0
0.7,0.00332767,0
0.71,0.00706601,0
0.72,0.0106116,0
0.73,0.0138388,0
0.74,0.016629,0
0.75,0.0188756,0
0.76,0.0204901,0
0.77,0.0214056,0
0.78,0.0215814,0
0.79,0.0210048,0
0.8,0.0196926,0
0.81,0.0176906,0
0.82,0.0150716,0
0.83,0.0119321,0
0.84,0.00838823,0
0.85,0.00457,0
0.86,0.000615476,0
0.87,-0.00333541,0
0.88,-0.007147,0
0.89,-0.0106936,0
0.9,-0.0138641,0
0.91,-0.0165662,0
0.92,-0.0187287,0
0.93,-0.020303,0
0.94,-0.0212635,0
0.95,-0.0216068,0
0.96,-0.0213497,0
0.97,-0.0205269,0
0.98,-0.019188,0
0.99,-0.0173941,0
1,-0.0152144,0
1.01,-0.0127231,0
1.02,-0.00999609,0
1.03,-0.00710872,0
1.04,-0.00413318,0
1.05,-0.00113691,0
1.06,0.00181881,0
1.07,0.00467968,0
1.08,0.00739893,0
1.09,0.00993745,0
1.1,0.0122637,0
1.11,0.0143533,0
1.12,0.0161887,0
1.13,0.0177586,0
1.14,0.0190571,0
1.15,0.0200832,0
1.16,0.0208403,0
1.17,0.0213352,0
1.18,0.0215777,0
1.19,0.0215801,0
1.2,0.0213564,0
1.21,0.020922,0
1.22,0.0202933,0
1.23,0.0194869,0
1.24,0.01852,0
1.25,0.0174095,0
1.26,0.016172,0
1.27,0.0148238,0
1.28,0.0133808,0
1.29,0.0118582,0
1.3,0.010271,0
1.31,0.00863313,0
1.32,0.00695824,0
1.33,0.00525908,0
1.34,0.0035476,0
1.35,0.001835,0
1.36,0.000131509,0
1.37,-0.00155332,0
1.38,-0.00321076,0
1.39,-0.00483261,0
1.4,-0.00641121,0
1.41,-0.00793935,0
1.42,-0.00941031,0
1.43,-0.0108179,0
1.44,-0.0121566,0
1.45,-0.0134215,0
1.46,-0.0146083,0
1.47,-0.015713,0
1.48,-0.016732,0
1.49,-0.0176616,0
1.5,-0.0184987,0
1.51,-0.0192402,0
1.52,-0.019884,0
1.53,-0.0204281,0
1.54,-0.0208707,0
1.55,-0.0212103,0
1.56,-0.0214459,0
1.57,-0.0215773,0
1.58,-0.0216051,0
