# 20240826_204158
# initdata:	data/init_real_m914_consteps_20240826_143326/init7.csv
# particle mass:	0.914
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2058.57,0
0.0100503,2022.91,0
0.0201005,1919.69,0
0.0301508,1759.6,0
0.040201,1558.46,0
0.0502513,1334.69,0
0.0603015,1106.56,0
0.0703518,889.799,0
0.080402,696.012,0
0.0904523,532.01,0
0.100503,400.119,0
0.110553,299.109,0
0.120603,225.385,0
0.130653,174.105,0
0.140704,140.03,0
0.150754,118.083,0
0.160804,103.708,0
0.170854,93.1657,0
0.180905,83.7799,0
0.190955,74.0825,0
0.201005,63.7509,0
0.211055,53.2867,0
0.221106,43.5154,0
0.231156,35.0959,0
0.241206,28.2404,0
0.251256,22.7373,0
0.261307,18.1957,0
0.271357,14.3224,0
0.281407,11.0454,0
0.291457,8.43666,0
0.301508,6.53435,0
0.311558,5.22412,0
0.321608,4.27335,0
0.331658,3.474,0
0.341709,2.76196,0
0.351759,2.21085,0
0.361809,1.91402,0
0.371859,1.86712,0
0.38191,1.9579,0
0.39196,2.0527,0
0.40201,2.12068,0
0.41206,2.22725,0
0.422111,2.45374,0
0.432161,2.7999,0
0.442211,3.15501,0
0.452261,3.43029,0
0.462312,3.61521,0
0.472362,3.80075,0
0.482412,4.07798,0
0.492462,4.43935,0
0.502513,4.7809,0
0.512563,5.00494,0
0.522613,5.11821,0
0.532663,5.22244,0
0.542714,5.40611,0
0.552764,5.6496,0
0.562814,5.84406,0
0.572864,5.90479,0
0.582915,5.85893,0
0.592965,5.81491,0
0.603015,5.84627,0
0.613065,5.91544,0
0.623116,5.91914,0
0.633166,5.80449,0
0.643216,5.62843,0
0.653266,5.4961,0
0.663317,5.44796,0
0.673367,5.42114,0
0.683417,5.32583,0
0.693467,5.1493,0
0.703518,4.97006,0
0.713568,4.86869,0
0.723618,4.8385,0
0.733668,4.7975,0
0.743719,4.68395,0
0.753769,4.52411,0
0.763819,4.39535,0
0.773869,4.332,0
0.78392,4.28582,0
0.79397,4.18536,0
0.80402,4.02059,0
0.81407,3.85158,0
0.824121,3.73373,0
0.834171,3.65216,0
0.844221,3.54392,0
0.854271,3.37874,0
0.864322,3.1981,0
0.874372,3.06601,0
0.884422,2.99306,0
0.894472,2.92708,0
0.904523,2.81969,0
0.914573,2.68535,0
0.924623,2.58079,0
0.934673,2.53264,0
0.944724,2.50404,0
0.954774,2.44007,0
0.964824,2.33328,0
0.974874,2.22805,0
0.984925,2.16144,0
0.994975,2.11702,0
1.00503,2.04851,0
1.01508,1.94014,0
1.02513,1.82602,0
1.03518,1.74611,0
1.04523,1.69753,0
1.05528,1.643,0
1.06533,1.56247,0
1.07538,1.47945,0
1.08543,1.4289,0
1.09548,1.41076,0
1.10553,1.38978,0
1.11558,1.34053,0
1.12563,1.27768,0
1.13568,1.23338,0
1.14573,1.21344,0
1.15578,1.19016,0
1.16583,1.13939,0
1.17588,1.0715,0
1.18593,1.01645,0
1.19598,0.984829,0
1.20603,0.957008,0
1.21608,0.912679,0
1.22613,0.859258,0
1.23618,0.821421,0
1.24623,0.807572,0
1.25628,0.798992,0
1.26633,0.775036,0
1.27638,0.739177,0
1.28643,0.711481,0
1.29648,0.699712,0
1.30653,0.689037,0
1.31658,0.662936,0
1.32663,0.625394,0
1.33668,0.594321,0
1.34673,0.57703,0
1.35678,0.562009,0
1.36683,0.537116,0
1.37688,0.507415,0
1.38693,0.487845,0
1.39698,0.481989,0
1.40704,0.47707,0
1.41709,0.461604,0
1.42714,0.440463,0
1.43719,0.426622,0
1.44724,0.422002,0
1.45729,0.414537,0
1.46734,0.394938,0
1.47739,0.369578,0
1.48744,0.351464,0
1.49749,0.343188,0
1.50754,0.335121,0
1.51759,0.320348,0
1.52764,0.304377,0
1.53769,0.296381,0
1.54774,0.295572,0
1.55779,0.292379,0
1.56784,0.282158,0
1.57789,0.271228,0
1.58794,0.266752,0
1.59799,0.265524,0
1.60804,0.258044,0
1.61809,0.242015,0
1.62814,0.225915,0
1.63819,0.217597,0
1.64824,0.214271,0
1.65829,0.20764,0
1.66834,0.196238,0
1.67839,0.187287,0
1.68844,0.185893,0
1.69849,0.187499,0
1.70854,0.184382,0
1.71859,0.176147,0
1.72864,0.169635,0
1.73869,0.168411,0
1.74874,0.167592,0
1.75879,0.161082,0
1.76884,0.150424,0
1.77889,0.142568,0
1.78894,0.140191,0
1.79899,0.138637,0
1.80905,0.133403,0
1.8191,0.126785,0
1.82915,0.124096,0
1.8392,0.125443,0
1.84925,0.125316,0
1.8593,0.120441,0
1.86935,0.114234,0
1.8794,0.111465,0
1.88945,0.111145,0
1.8995,0.108106,0
1.90955,0.10079,0
1.9196,0.0938223,0
1.92965,0.0917039,0
1.9397,0.0928081,0
1.94975,0.0921266,0
1.9598,0.0883836,0
1.96985,0.0852246,0
1.9799,0.0853068,0
1.98995,0.0863224,0
2,0.0846039,0
