# 20240826_205520
# initdata:	data/init_real_m1000_consteps_20240826_143341/init2.csv
# particle mass:	1
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1321.1,0
0.0100503,1299.19,0
0.0201005,1235.31,0
0.0301508,1134.93,0
0.040201,1006.61,0
0.0502513,861.205,0
0.0603015,710.707,0
0.0703518,566.846,0
0.080402,439.443,0
0.0904523,335.317,0
0.100503,257.203,0
0.110553,203.836,0
0.120603,170.749,0
0.130653,151.765,0
0.140704,140.732,0
0.150754,132.938,0
0.160804,125.761,0
0.170854,118.428,0
0.180905,111.154,0
0.190955,104.179,0
0.201005,97.2143,0
0.211055,89.5337,0
0.221106,80.5345,0
0.231156,70.3056,0
0.241206,59.7647,0
0.251256,50.2271,0
0.261307,42.6848,0
0.271357,37.2593,0
0.281407,33.2145,0
0.291457,29.4984,0
0.301508,25.4349,0
0.311558,21.0855,0
0.321608,17.058,0
0.331658,13.9503,0
0.341709,11.8735,0
0.351759,10.4045,0
0.361809,8.96089,0
0.371859,7.25932,0
0.38191,5.48068,0
0.39196,4.03593,0
0.40201,3.17013,0
0.41206,2.75809,0
0.422111,2.44834,0
0.432161,1.98976,0
0.442211,1.4282,0
0.452261,1.00361,0
0.462312,0.876044,0
0.472362,0.960799,0
0.482412,1.02672,0
0.492462,0.938647,0
0.502513,0.785071,0
0.512563,0.761931,0
0.522613,0.944786,0
0.532663,1.19778,0
0.542714,1.31887,0
0.552764,1.26175,0
0.562814,1.18932,0
0.572864,1.29461,0
0.582915,1.58232,0
0.592965,1.85487,0
0.603015,1.9265,0
0.613065,1.83316,0
0.623116,1.80132,0
0.633166,2.00012,0
0.643216,2.34758,0
0.653266,2.59187,0
0.663317,2.5869,0
0.673367,2.4576,0
0.683417,2.46389,0
0.693467,2.70788,0
0.703518,3.01216,0
0.713568,3.11253,0
0.723618,2.95374,0
0.733668,2.75314,0
0.743719,2.75536,0
0.753769,2.95445,0
0.763819,3.10217,0
0.773869,2.99589,0
0.78392,2.71521,0
0.79397,2.53265,0
0.80402,2.6007,0
0.81407,2.7801,0
0.824121,2.80867,0
0.834171,2.61265,0
0.844221,2.39151,0
0.854271,2.37829,0
0.864322,2.56182,0
0.874372,2.70202,0
0.884422,2.61777,0
0.894472,2.39855,0
0.904523,2.28776,0
0.914573,2.38277,0
0.924623,2.51786,0
0.934673,2.4702,0
0.944724,2.23278,0
0.954774,2.01957,0
0.964824,2.00112,0
0.974874,2.09997,0
0.984925,2.09673,0
0.994975,1.90907,0
1.00503,1.69356,0
1.01508,1.64705,0
1.02513,1.76117,0
1.03518,1.83814,0
1.04523,1.74227,0
1.05528,1.56589,0
1.06533,1.50324,0
1.07538,1.5987,0
1.08543,1.69171,0
1.09548,1.62343,0
1.10553,1.43602,0
1.11558,1.31161,0
1.12563,1.33679,0
1.13568,1.3988,0
1.14573,1.34173,0
1.15578,1.1723,0
1.16583,1.04766,0
1.17588,1.0681,0
1.18593,1.1503,0
1.19598,1.14342,0
1.20603,1.02841,0
1.21608,0.936622,0
1.22613,0.969036,0
1.23618,1.06043,0
1.24623,1.06691,0
1.25628,0.955221,0
1.26633,0.841118,0
1.27638,0.831095,0
1.28643,0.883615,0
1.29648,0.872935,0
1.30653,0.76295,0
1.31658,0.654787,0
1.32663,0.648537,0
1.33668,0.710747,0
1.34673,0.725387,0
1.35678,0.653374,0
1.36683,0.581607,0
1.37688,0.598679,0
1.38693,0.671615,0
1.39698,0.690985,0
1.40704,0.618818,0
1.41709,0.535657,0
1.42714,0.526418,0
1.43719,0.566159,0
1.44724,0.560941,0
1.45729,0.481851,0
1.46734,0.404729,0
1.47739,0.40409,0
1.48744,0.452099,0
1.49749,0.461634,0
1.50754,0.408984,0
1.51759,0.36362,0
1.52764,0.386619,0
1.53769,0.44301,0
1.54774,0.450038,0
1.55779,0.391041,0
1.56784,0.335284,0
1.57789,0.339361,0
1.58794,0.370768,0
1.59799,0.358688,0
1.60804,0.296162,0
1.61809,0.248995,0
1.62814,0.262338,0
1.63819,0.299496,0
1.64824,0.297494,0
1.65829,0.256709,0
1.66834,0.236734,0
1.67839,0.267481,0
1.68844,0.304588,0
1.69849,0.291896,0
1.70854,0.24009,0
1.71859,0.209819,0
1.72864,0.225751,0
1.73869,0.244861,0
1.74874,0.221615,0
1.75879,0.174114,0
1.76884,0.157199,0
1.77889,0.183935,0
1.78894,0.208937,0
1.79899,0.195075,0
1.80905,0.165349,0
1.8191,0.166248,0
1.82915,0.198125,0
1.8392,0.213915,0
1.84925,0.186508,0
1.8593,0.146547,0
1.86935,0.137557,0
1.8794,0.155219,0
1.88945,0.157814,0
1.8995,0.129587,0
1.90955,0.103504,0
1.9196,0.11196,0
1.92965,0.139439,0
1.9397,0.145897,0
1.94975,0.124898,0
1.9598,0.110942,0
1.96985,0.126724,0
1.9799,0.148823,0
1.98995,0.141653,0
2,0.108997,0
