# 20240826_210157
alpha,f0Re,f0Im
0,0.0138587,0
0.00157237,0.0138622,0
0.00314474,0.0138654,0
0.00471711,0.0138686,0
0.00628947,0.013872,0
0.00786184,0.0138757,0
0.00943421,0.0138798,0
0.0110066,0.0138846,0
0.0125789,0.0138903,0
0.0141513,0.0138966,0
0.0157237,0.0139036,0
0.0172961,0.013911,0
0.0188684,0.0139187,0
0.0204408,0.0139267,0
0.0220132,0.0139352,0
0.0235855,0.0139443,0
0.0251579,0.0139539,0
0.0267303,0.013964,0
0.0283026,0.0139745,0
0.029875,0.0139852,0
0.0314474,0.0139964,0
0.0330197,0.0140081,0
0.0345921,0.0140203,0
0.0361645,0.014033,0
0.0377368,0.0140461,0
0.0393092,0.0140595,0
0.0408816,0.0140733,0
0.042454,0.0140875,0
0.0440263,0.0141023,0
0.0455987,0.0141174,0
0.0471711,0.014133,0
0.0487434,0.014149,0
0.0503158,0.0141653,0
0.0518882,0.014182,0
0.0534605,0.0141992,0
0.0550329,0.0142169,0
0.0566053,0.0142349,0
0.0581776,0.0142533,0
0.05975,0.0142721,0
0.0613224,0.0142913,0
0.0628947,0.0143109,0
0.0644671,0.0143309,0
0.0660395,0.0143513,0
0.0676119,0.0143722,0
0.0691842,0.0143933,0
0.0707566,0.0144148,0
0.072329,0.0144368,0
0.0739013,0.0144591,0
0.0754737,0.0144819,0
0.0770461,0.014505,0
0.0786184,0.0145285,0
0.0801908,0.0145523,0
0.0817632,0.0145764,0
0.0833355,0.014601,0
0.0849079,0.014626,0
0.0864803,0.0146513,0
0.0880526,0.014677,0
0.089625,0.0147029,0
0.0911974,0.0147292,0
0.0927698,0.0147559,0
0.0943421,0.0147829,0
0.0959145,0.0148103,0
0.0974869,0.0148381,0
0.0990592,0.0148661,0
0.100632,0.0148943,0
0.102204,0.014923,0
0.103776,0.0149519,0
0.105349,0.0149812,0
0.106921,0.0150108,0
0.108493,0.0150407,0
0.110066,0.0150708,0
0.111638,0.0151012,0
0.113211,0.015132,0
0.114783,0.015163,0
0.116355,0.0151943,0
0.117928,0.0152258,0
0.1195,0.0152576,0
0.121072,0.0152895,0
0.122645,0.0153218,0
0.124217,0.0153543,0
0.125789,0.0153871,0
0.127362,0.0154201,0
0.128934,0.0154532,0
0.130507,0.0154866,0
0.132079,0.0155201,0
0.133651,0.0155539,0
0.135224,0.0155879,0
0.136796,0.0156221,0
0.138368,0.0156564,0
0.139941,0.0156908,0
0.141513,0.0157254,0
0.143086,0.0157602,0
0.144658,0.0157952,0
0.14623,0.0158302,0
0.147803,0.0158654,0
0.149375,0.0159007,0
0.150947,0.015936,0
0.15252,0.0159715,0
0.154092,0.016007,0
0.155665,0.0160427,0
0.157237,0.0160784,0
0.158809,0.0161142,0
0.160382,0.0161499,0
0.161954,0.0161857,0
0.163526,0.0162216,0
0.165099,0.0162575,0
0.166671,0.0162934,0
0.168243,0.0163292,0
0.169816,0.016365,0
0.171388,0.0164008,0
0.172961,0.0164365,0
0.174533,0.0164723,0
0.176105,0.016508,0
0.177678,0.0165435,0
0.17925,0.016579,0
0.180822,0.0166143,0
0.182395,0.0166495,0
0.183967,0.0166846,0
0.18554,0.0167196,0
0.187112,0.0167545,0
0.188684,0.0167891,0
0.190257,0.0168234,0
0.191829,0.0168576,0
0.193401,0.0168917,0
0.194974,0.0169255,0
0.196546,0.0169591,0
0.198118,0.0169923,0
0.199691,0.0170253,0
0.201263,0.0170578,0
0.202836,0.0170902,0
0.204408,0.0171223,0
0.20598,0.0171541,0
0.207553,0.0171854,0
0.209125,0.0172163,0
0.210697,0.0172467,0
0.21227,0.0172768,0
0.213842,0.0173065,0
0.215415,0.0173358,0
0.216987,0.0173646,0
0.218559,0.0173928,0
0.220132,0.0174203,0
0.221704,0.0174473,0
0.223276,0.017474,0
0.224849,0.0175001,0
0.226421,0.0175257,0
0.227993,0.0175505,0
0.229566,0.0175744,0
0.231138,0.0175976,0
0.232711,0.0176204,0
0.234283,0.0176426,0
0.235855,0.0176641,0
0.237428,0.0176847,0
0.239,0.0177042,0
0.240572,0.0177227,0
0.242145,0.0177407,0
0.243717,0.0177581,0
0.24529,0.0177747,0
0.246862,0.0177903,0
0.248434,0.0178046,0
0.250007,0.0178174,0
0.251579,0.0178294,0
0.253151,0.0178414,0
0.254724,0.0178526,0
0.256296,0.0178626,0
0.257868,0.0178707,0
0.259441,0.0178764,0
0.261013,0.0178796,0
0.262586,0.0178824,0
0.264158,0.0178849,0
0.26573,0.0178869,0
0.267303,0.0178884,0
0.268875,0.0178893,0
0.270447,0.0178893,0
0.27202,0.0178868,0
0.273592,0.0178815,0
0.275165,0.017874,0
0.276737,0.0178651,0
0.278309,0.0178552,0
0.279882,0.0178451,0
0.281454,0.0178337,0
0.283026,0.0178194,0
0.284599,0.0178028,0
0.286171,0.0177842,0
0.287743,0.0177641,0
0.289316,0.0177429,0
0.290888,0.0177206,0
0.292461,0.0176958,0
0.294033,0.0176684,0
0.295605,0.0176389,0
0.297178,0.0176075,0
0.29875,0.0175744,0
0.300322,0.01754,0
0.301895,0.0175032,0
0.303467,0.0174637,0
0.30504,0.0174217,0
0.306612,0.0173774,0
0.308184,0.0173312,0
0.309757,0.0172831,0
0.311329,0.017233,0
0.312901,0.0171798,0
0.314474,0.0171239,0
0.316046,0.0170654,0
0.317618,0.0170045,0
0.319191,0.0169415,0
0.320763,0.0168763,0
0.322336,0.016808,0
0.323908,0.0167367,0
0.32548,0.0166624,0
0.327053,0.0165855,0
0.328625,0.016506,0
0.330197,0.0164242,0
0.33177,0.0163393,0
0.333342,0.0162511,0
0.334915,0.0161596,0
0.336487,0.0160652,0
0.338059,0.0159678,0
0.339632,0.0158678,0
0.341204,0.0157649,0
0.342776,0.0156583,0
0.344349,0.0155482,0
0.345921,0.0154348,0
0.347493,0.0153182,0
0.349066,0.0151986,0
0.350638,0.0150761,0
0.352211,0.0149499,0
0.353783,0.0148198,0
0.355355,0.0146861,0
0.356928,0.014549,0
0.3585,0.0144086,0
0.360072,0.0142651,0
0.361645,0.0141179,0
0.363217,0.0139666,0
0.36479,0.0138115,0
0.366362,0.0136527,0
0.367934,0.0134903,0
0.369507,0.0133246,0
0.371079,0.0131554,0
0.372651,0.012982,0
0.374224,0.0128044,0
0.375796,0.0126229,0
0.377368,0.0124377,0
0.378941,0.012249,0
0.380513,0.0120568,0
0.382086,0.0118604,0
0.383658,0.0116598,0
0.38523,0.011455,0
0.386803,0.0112464,0
0.388375,0.011034,0
0.389947,0.0108182,0
0.39152,0.0105985,0
0.393092,0.0103744,0
0.394665,0.0101461,0
0.396237,0.00991382,0
0.397809,0.00967779,0
0.399382,0.00943823,0
0.400954,0.0091951,0
0.402526,0.00894762,0
0.404099,0.00869594,0
0.405671,0.00844028,0
0.407243,0.00818088,0
0.408816,0.007918,0
0.410388,0.00765181,0
0.411961,0.00738161,0
0.413533,0.00710727,0
0.415105,0.00682904,0
0.416678,0.00654719,0
0.41825,0.006262,0
0.419822,0.00597372,0
0.421395,0.00568205,0
0.422967,0.0053864,0
0.42454,0.00508707,0
0.426112,0.00478435,0
0.427684,0.00447854,0
0.429257,0.00416993,0
0.430829,0.00385861,0
0.432401,0.00354375,0
0.433974,0.00322551,0
0.435546,0.00290423,0
0.437118,0.00258024,0
0.438691,0.00225388,0
0.440263,0.00192546,0
0.441836,0.00159428,0
0.443408,0.00126015,0
0.44498,0.000923441,0
0.446553,0.000584546,0
0.448125,0.000243846,0
0.449697,-9.82767e-05,0
0.45127,-0.000442022,0
0.452842,-0.000788146,0
0.454415,-0.00113625,0
0.455987,-0.00148588,0
0.457559,-0.00183662,0
0.459132,-0.00218802,0
0.460704,-0.00253985,0
0.462276,-0.00289314,0
0.463849,-0.00324769,0
0.465421,-0.003603,0
0.466994,-0.00395857,0
0.468566,-0.00431389,0
0.470138,-0.00466847,0
0.471711,-0.00502312,0
0.473283,-0.00537824,0
