# 20240826_210700
# initdata:	data/init_real_m1000_consteps_20240826_143341/init9.csv
# particle mass:	1
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,1771.8,0
0.0100503,1742.78,0
0.0201005,1658.19,0
0.0301508,1525.18,0
0.040201,1354.89,0
0.0502513,1161.25,0
0.0603015,959.406,0
0.0703518,764.003,0
0.080402,586.951,0
0.0904523,436.817,0
0.100503,317.269,0
0.110553,227.647,0
0.120603,163.902,0
0.130653,120.193,0
0.140704,90.5505,0
0.150754,70.1116,0
0.160804,55.6231,0
0.170854,45.2167,0
0.180905,37.7792,0
0.190955,32.3608,0
0.201005,27.9451,0
0.211055,23.6276,0
0.221106,18.9598,0
0.231156,14.1308,0
0.241206,9.78437,0
0.251256,6.56679,0
0.261307,4.6979,0
0.271357,3.86004,0
0.281407,3.46321,0
0.291457,3.0698,0
0.301508,2.64916,0
0.311558,2.48004,0
0.321608,2.8075,0
0.331658,3.5605,0
0.341709,4.37607,0
0.351759,4.90439,0
0.361809,5.11617,0
0.371859,5.32508,0
0.38191,5.8913,0
0.39196,6.86798,0
0.40201,7.91934,0
0.41206,8.60256,0
0.422111,8.7671,0
0.432161,8.70045,0
0.442211,8.86868,0
0.452261,9.47908,0
0.462312,10.2734,0
0.472362,10.7589,0
0.482412,10.6717,0
0.492462,10.2342,0
0.502513,9.95058,0
0.512563,10.1261,0
0.522613,10.5747,0
0.532663,10.8032,0
0.542714,10.5005,0
0.552764,9.84728,0
0.562814,9.33792,0
0.572864,9.2893,0
0.582915,9.53135,0
0.592965,9.59361,0
0.603015,9.19534,0
0.613065,8.5339,0
0.623116,8.07415,0
0.633166,8.06199,0
0.643216,8.27384,0
0.653266,8.26338,0
0.663317,7.83841,0
0.673367,7.25686,0
0.683417,6.93754,0
0.693467,7.00206,0
0.703518,7.15002,0
0.713568,6.9932,0
0.723618,6.4779,0
0.733668,5.9307,0
0.743719,5.68685,0
0.753769,5.72267,0
0.763819,5.69949,0
0.773869,5.35706,0
0.78392,4.80479,0
0.79397,4.38588,0
0.80402,4.28296,0
0.81407,4.32233,0
0.824121,4.19317,0
0.834171,3.81443,0
0.844221,3.42,0
0.854271,3.27322,0
0.864322,3.35662,0
0.874372,3.40096,0
0.884422,3.20807,0
0.894472,2.87699,0
0.904523,2.6703,0
0.914573,2.6927,0
0.924623,2.77105,0
0.934673,2.6712,0
0.944724,2.37871,0
0.954774,2.10501,0
0.964824,2.02357,0
0.974874,2.06652,0
0.984925,2.02404,0
0.994975,1.81061,0
1.00503,1.56472,0
1.01508,1.46811,0
1.02513,1.52071,0
1.03518,1.55123,0
1.04523,1.43871,0
1.05528,1.25904,0
1.06533,1.17704,0
1.07538,1.23152,0
1.08543,1.28884,0
1.09548,1.21664,0
1.10553,1.04893,0
1.11558,0.934408,0
1.12563,0.943225,0
1.13568,0.983885,0
1.14573,0.93015,0
1.15578,0.785612,0
1.16583,0.673632,0
1.17588,0.674194,0
1.18593,0.725062,0
1.19598,0.711003,0
1.20603,0.61595,0
1.21608,0.537414,0
1.22613,0.551399,0
1.23618,0.611568,0
1.24623,0.613274,0
1.25628,0.531269,0
1.26633,0.44733,0
1.27638,0.437317,0
1.28643,0.472758,0
1.29648,0.4658,0
1.30653,0.39024,0
1.31658,0.314302,0
1.32663,0.306072,0
1.33668,0.343893,0
1.34673,0.350969,0
1.35678,0.301549,0
1.36683,0.252576,0
1.37688,0.261655,0
1.38693,0.30722,0
1.39698,0.318938,0
1.40704,0.272931,0
1.41709,0.220741,0
1.42714,0.216063,0
1.43719,0.242921,0
1.44724,0.242056,0
1.45729,0.194655,0
1.46734,0.146789,0
1.47739,0.144341,0
1.48744,0.171641,0
1.49749,0.17726,0
1.50754,0.14692,0
1.51759,0.120817,0
1.52764,0.134075,0
1.53769,0.16638,0
1.54774,0.170539,0
1.55779,0.137672,0
1.56784,0.107457,0
1.57789,0.111727,0
1.58794,0.131676,0
1.59799,0.127188,0
1.60804,0.0939507,0
1.61809,0.0681305,0
1.62814,0.0747867,0
1.63819,0.0945485,0
1.64824,0.093723,0
1.65829,0.0723268,0
1.66834,0.0617646,0
1.67839,0.0778944,0
1.68844,0.0978465,0
1.69849,0.0925785,0
1.70854,0.0673304,0
1.71859,0.052757,0
1.72864,0.0613386,0
1.73869,0.0717278,0
1.74874,0.0614942,0
1.75879,0.0395684,0
1.76884,0.0324648,0
1.77889,0.0459831,0
1.78894,0.0579335,0
1.79899,0.0508875,0
1.80905,0.036572,0
1.8191,0.0374163,0
1.82915,0.0533006,0
1.8392,0.0616437,0
1.84925,0.0496334,0
1.8593,0.0316708,0
1.86935,0.0280236,0
1.8794,0.0367377,0
1.88945,0.0387558,0
1.8995,0.0268978,0
1.90955,0.0158671,0
1.9196,0.0199197,0
1.92965,0.0320524,0
1.9397,0.0348304,0
1.94975,0.0258805,0
1.9598,0.0204516,0
1.96985,0.0281086,0
1.9799,0.0383193,0
1.98995,0.0357017,0
2,0.0220871,0
