# 20240926_124918
alpha,Df0Re,Df0Im
0,0.224877,0
0.01,0.225565,0
0.02,0.225892,0
0.03,0.226115,0
0.04,0.226364,0
0.05,0.226692,0
0.06,0.227114,0
0.07,0.227626,0
0.08,0.228218,0
0.09,0.228881,0
0.1,0.229609,0
0.11,0.230402,0
0.12,0.231259,0
0.13,0.232185,0
0.14,0.233183,0
0.15,0.234257,0
0.16,0.23541,0
0.17,0.236641,0
0.18,0.237952,0
0.19,0.23934,0
0.2,0.240803,0
0.21,0.242338,0
0.22,0.24394,0
0.23,0.245608,0
0.24,0.247336,0
0.25,0.249122,0
0.26,0.250963,0
0.27,0.252856,0
0.28,0.254797,0
0.29,0.256783,0
0.3,0.258809,0
0.31,0.26087,0
0.32,0.26296,0
0.33,0.26507,0
0.34,0.267192,0
0.35,0.269315,0
0.36,0.271427,0
0.37,0.273513,0
0.38,0.27556,0
0.39,0.27755,0
0.4,0.279467,0
0.41,0.281292,0
0.42,0.283008,0
0.43,0.284594,0
0.44,0.286032,0
0.45,0.287301,0
0.46,0.288382,0
0.47,0.289255,0
0.48,0.289899,0
0.49,0.290295,0
0.5,0.290422,0
0.51,0.290259,0
0.52,0.289786,0
0.53,0.288982,0
0.54,0.287827,0
0.55,0.2863,0
0.56,0.284383,0
0.57,0.282055,0
0.58,0.2793,0
0.59,0.276101,0
0.6,0.272443,0
0.61,0.268314,0
0.62,0.263706,0
0.63,0.258612,0
0.64,0.253028,0
0.65,0.246956,0
0.66,0.240399,0
0.67,0.233365,0
0.68,0.225867,0
0.69,0.217921,0
0.7,0.209545,0
0.71,0.200763,0
0.72,0.191601,0
0.73,0.18209,0
0.74,0.172262,0
0.75,0.162152,0
0.76,0.1518,0
0.77,0.141247,0
0.78,0.130537,0
0.79,0.119716,0
0.8,0.108831,0
0.81,0.0979332,0
0.82,0.087073,0
0.83,0.0763023,0
0.84,0.0656729,0
0.85,0.0552357,0
0.86,0.0450402,0
0.87,0.0351334,0
0.88,0.0255593,0
0.89,0.0163576,0
0.9,0.00756327,0
0.91,-0.00079398,0
0.92,-0.00868998,0
0.93,-0.0161066,0
0.94,-0.0230312,0
0.95,-0.0294571,0
0.96,-0.0353826,0
0.97,-0.0408107,0
0.98,-0.0457489,0
0.99,-0.0502082,0
1,-0.0542028,0
1.01,-0.0577499,0
1.02,-0.0608688,0
1.03,-0.063581,0
1.04,-0.0659099,0
1.05,-0.0678801,0
1.06,-0.0695179,0
1.07,-0.0708499,0
1.08,-0.0719032,0
1.09,-0.0727047,0
1.1,-0.0732801,0
1.11,-0.0736539,0
1.12,-0.0738479,0
1.13,-0.0738818,0
1.14,-0.0737723,0
1.15,-0.0735333,0
1.16,-0.0731767,0
1.17,-0.072713,0
1.18,-0.0721522,0
1.19,-0.0715049,0
1.2,-0.0707832,0
1.21,-0.0700011,0
1.22,-0.0691746,0
1.23,-0.0683209,0
1.24,-0.0674573,0
1.25,-0.0665989,0
1.26,-0.065757,0
1.27,-0.0649373,0
1.28,-0.0641383,0
1.29,-0.0633524,0
1.3,-0.0625666,0
1.31,-0.0617664,0
1.32,-0.0609394,0
1.33,-0.0600801,0
1.34,-0.0591935,0
1.35,-0.0582966,0
1.36,-0.0574171,0
1.37,-0.0565888,0
1.38,-0.055844,0
1.39,-0.0552055,0
1.4,-0.0546809,0
1.41,-0.0542627,0
1.42,-0.0539358,0
1.43,-0.0536945,0
1.44,-0.053564,0
1.45,-0.0536182,0
1.46,-0.0539828,0
1.47,-0.0548117,0
1.48,-0.0562345,0
1.49,-0.0582922,0
1.5,-0.060904,0
1.51,-0.0639332,0
1.52,-0.0674063,0
1.53,-0.0718523,0
1.54,-0.0785548,0
1.55,-0.0893762,0
1.56,-0.106305,0
1.57,-0.133696,0
1.58,-0.195851,0
