# 20240926_130257
alpha,Dfield0Re,Dfield0Im
0,0.213337,0
0.00157237,0.213449,0
0.00314474,0.213566,0
0.00471711,0.213684,0
0.00628947,0.213798,0
0.00786184,0.213902,0
0.00943421,0.213993,0
0.0110066,0.214069,0
0.0125789,0.214135,0
0.0141513,0.214196,0
0.0157237,0.214252,0
0.0172961,0.214305,0
0.0188684,0.214356,0
0.0204408,0.214408,0
0.0220132,0.214458,0
0.0235855,0.214504,0
0.0251579,0.21455,0
0.0267303,0.214595,0
0.0283026,0.214641,0
0.029875,0.21469,0
0.0314474,0.214741,0
0.0330197,0.214793,0
0.0345921,0.214847,0
0.0361645,0.214902,0
0.0377368,0.214959,0
0.0393092,0.215018,0
0.0408816,0.21508,0
0.042454,0.215146,0
0.0440263,0.215214,0
0.0455987,0.215285,0
0.0471711,0.215359,0
0.0487434,0.215435,0
0.0503158,0.215514,0
0.0518882,0.215596,0
0.0534605,0.215681,0
0.0550329,0.215769,0
0.0566053,0.215861,0
0.0581776,0.215954,0
0.05975,0.216051,0
0.0613224,0.216149,0
0.0628947,0.216251,0
0.0644671,0.216356,0
0.0660395,0.216464,0
0.0676119,0.216574,0
0.0691842,0.216687,0
0.0707566,0.216802,0
0.072329,0.216919,0
0.0739013,0.217039,0
0.0754737,0.217163,0
0.0770461,0.217288,0
0.0786184,0.217416,0
0.0801908,0.217545,0
0.0817632,0.217677,0
0.0833355,0.217812,0
0.0849079,0.217949,0
0.0864803,0.218088,0
0.0880526,0.218229,0
0.089625,0.218373,0
0.0911974,0.218518,0
0.0927698,0.218666,0
0.0943421,0.218817,0
0.0959145,0.218969,0
0.0974869,0.219124,0
0.0990592,0.219281,0
0.100632,0.21944,0
0.102204,0.219601,0
0.103776,0.219764,0
0.105349,0.21993,0
0.106921,0.220098,0
0.108493,0.220268,0
0.110066,0.22044,0
0.111638,0.220614,0
0.113211,0.220791,0
0.114783,0.22097,0
0.116355,0.221151,0
0.117928,0.221335,0
0.1195,0.221521,0
0.121072,0.221709,0
0.122645,0.221899,0
0.124217,0.222092,0
0.125789,0.222287,0
0.127362,0.222485,0
0.128934,0.222685,0
0.130507,0.222887,0
