# 20240926_131215
# initdata:	data/init_real_m226_s-1_consteps_20240926_124618/init9.csv
# particle mass:	0.226
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,27654.2,0
0.0100503,26492.4,0
0.0201005,23310.4,0
0.0301508,18887.4,0
0.040201,14161.8,0
0.0502513,9902.05,0
0.0603015,6522.1,0
0.0703518,4089.45,0
0.080402,2459.9,0
0.0904523,1427.39,0
0.100503,812.35,0
0.110553,479.753,0
0.120603,324.009,0
0.130653,258.632,0
0.140704,221.308,0
0.150754,181.89,0
0.160804,138.773,0
0.170854,102.924,0
0.180905,81.0623,0
0.190955,69.6129,0
0.201005,60.1572,0
0.211055,48.0059,0
0.221106,35.0263,0
0.231156,25.5425,0
0.241206,20.9902,0
0.251256,18.8815,0
0.261307,16.0728,0
0.271357,11.9511,0
0.281407,8.22471,0
0.291457,6.34491,0
0.301508,5.88593,0
0.311558,5.42675,0
0.321608,4.33931,0
0.331658,3.22989,0
0.341709,2.83652,0
0.351759,3.0225,0
0.361809,3.061,0
0.371859,2.59444,0
0.38191,1.96447,0
0.39196,1.632,0
0.40201,1.5845,0
0.41206,1.46539,0
0.422111,1.11191,0
0.432161,0.734464,0
0.442211,0.578584,0
0.452261,0.604671,0
0.462312,0.598858,0
0.472362,0.486379,0
0.482412,0.394686,0
0.492462,0.427489,0
0.502513,0.507788,0
0.512563,0.496672,0
0.522613,0.385889,0
0.532663,0.289189,0
0.542714,0.272775,0
0.552764,0.277824,0
0.562814,0.227295,0
0.572864,0.141152,0
0.582915,0.0988002,0
0.592965,0.121272,0
0.603015,0.149679,0
0.613065,0.1365,0
0.623116,0.107867,0
0.633166,0.112575,0
0.643216,0.144831,0
0.653266,0.154661,0
0.663317,0.121032,0
0.673367,0.078299,0
0.683417,0.0635483,0
0.693467,0.0683719,0
0.703518,0.0610715,0
0.713568,0.0379319,0
0.723618,0.0254925,0
0.733668,0.0375579,0
0.743719,0.05477,0
0.753769,0.0546576,0
0.763819,0.0433576,0
0.773869,0.0420804,0
0.78392,0.0532915,0
0.79397,0.0575286,0
0.80402,0.0434691,0
0.81407,0.0241824,0
0.824121,0.0172672,0
0.834171,0.0209142,0
0.844221,0.0205584,0
0.854271,0.0126832,0
0.864322,0.00888312,0
0.874372,0.0162395,0
0.884422,0.0256662,0
0.894472,0.0253541,0
0.904523,0.017653,0
0.914573,0.014198,0
0.924623,0.0181193,0
0.934673,0.0204522,0
0.944724,0.0147256,0
0.954774,0.00667232,0
0.964824,0.00520281,0
0.974874,0.00954275,0
0.984925,0.0116941,0
0.994975,0.00905571,0
1.00503,0.00755017,0
1.01508,0.0114908,0
1.02513,0.0165003,0
1.03518,0.0159435,0
1.04523,0.010442,0
1.05528,0.00632024,0
1.06533,0.00630262,0
1.07538,0.00670787,0
1.08543,0.00429007,0
1.09548,0.00134146,0
1.10553,0.00161303,0
1.11558,0.00427952,0
1.12563,0.00546127,0
1.13568,0.00437084,0
1.14573,0.004184,0
1.15578,0.0065508,0
1.16583,0.00865096,0
1.17588,0.00738709,0
1.18593,0.00407708,0
1.19598,0.00246543,0
1.20603,0.00332617,0
1.21608,0.00388619,0
1.22613,0.00253929,0
1.23618,0.00130112,0
1.24623,0.00242032,0
1.25628,0.00468375,0
1.26633,0.00514583,0
1.27638,0.00344971,0
1.28643,0.00211329,0
1.29648,0.00260479,0
1.30653,0.0033487,0
1.31658,0.00246125,0
1.32663,0.000699555,0
1.33668,0.000153564,0
1.34673,0.00102671,0
1.35678,0.00159336,0
1.36683,0.00115565,0
1.37688,0.00116125,0
1.38693,0.00272114,0
1.39698,0.0045362,0
1.40704,0.00456287,0
1.41709,0.00292401,0
1.42714,0.00167734,0
1.43719,0.00187517,0
1.44724,0.00232684,0
1.45729,0.00168556,0
1.46734,0.000491563,0
1.47739,0.000182049,0
1.48744,0.000859793,0
1.49749,0.00128495,0
1.50754,0.000884537,0
1.51759,0.000531801,0
1.52764,0.00100173,0
1.53769,0.00167378,0
1.54774,0.00150225,0
1.55779,0.000633523,0
1.56784,0.000139997,0
1.57789,0.000388569,0
1.58794,0.000640037,0
1.59799,0.000400295,0
1.60804,0.000270164,0
1.61809,0.000930229,0
1.62814,0.00191435,0
1.63819,0.0021632,0
1.64824,0.00154367,0
1.65829,0.00101268,0
1.66834,0.0011991,0
1.67839,0.00155706,0
1.68844,0.00128431,0
1.69849,0.000517521,0
1.70854,3.97543e-05,0
1.71859,0.000105376,0
1.72864,0.000227128,0
1.73869,0.000106593,0
1.74874,0.000110444,0
1.75879,0.000556946,0
1.76884,0.0010497,0
1.77889,0.000995412,0
1.78894,0.000505154,0
1.79899,0.000243864,0
1.80905,0.000445114,0
1.8191,0.000620488,0
1.82915,0.000380155,0
1.8392,6.02837e-05,0
1.84925,0.000186275,0
1.8593,0.000635962,0
1.86935,0.0008126,0
1.8794,0.000546171,0
1.88945,0.000328485,0
1.8995,0.000543623,0
1.90955,0.000889053,0
1.9196,0.000840165,0
1.92965,0.000406652,0
1.9397,5.7133e-05,0
1.94975,2.04291e-05,0
1.9598,6.6948e-05,0
1.96985,1.35027e-05,0
1.9799,4.96387e-05,0
1.98995,0.000356794,0
2,0.000693534,0
