# 20240926_140430
alpha,f0Re,f0Im
0,0.0140375,0
0.00157237,0.0140326,0
0.00314474,0.014028,0
0.00471711,0.0140235,0
0.00628947,0.0140187,0
0.00786184,0.0140135,0
0.00943421,0.0140076,0
0.0110066,0.0140008,0
0.0125789,0.0139928,0
0.0141513,0.0139837,0
0.0157237,0.0139738,0
0.0172961,0.0139633,0
0.0188684,0.0139523,0
0.0204408,0.0139409,0
0.0220132,0.0139288,0
0.0235855,0.0139158,0
0.0251579,0.013902,0
0.0267303,0.0138875,0
0.0283026,0.0138725,0
0.029875,0.013857,0
0.0314474,0.013841,0
0.0330197,0.0138241,0
0.0345921,0.0138064,0
0.0361645,0.0137881,0
0.0377368,0.0137691,0
0.0393092,0.0137496,0
0.0408816,0.0137296,0
0.042454,0.0137088,0
0.0440263,0.0136873,0
0.0455987,0.0136651,0
0.0471711,0.0136422,0
0.0487434,0.0136187,0
0.0503158,0.0135947,0
0.0518882,0.01357,0
0.0534605,0.0135445,0
0.0550329,0.0135183,0
0.0566053,0.0134915,0
0.0581776,0.013464,0
0.05975,0.0134359,0
0.0613224,0.0134071,0
0.0628947,0.0133776,0
0.0644671,0.0133474,0
0.0660395,0.0133164,0
0.0676119,0.0132848,0
0.0691842,0.0132526,0
0.0707566,0.0132197,0
0.072329,0.0131861,0
0.0739013,0.0131516,0
0.0754737,0.0131165,0
0.0770461,0.0130807,0
0.0786184,0.0130441,0
0.0801908,0.013007,0
0.0817632,0.0129691,0
0.0833355,0.0129304,0
0.0849079,0.012891,0
0.0864803,0.0128508,0
0.0880526,0.01281,0
0.089625,0.0127684,0
0.0911974,0.0127262,0
0.0927698,0.0126831,0
0.0943421,0.0126393,0
0.0959145,0.0125946,0
0.0974869,0.0125493,0
0.0990592,0.0125032,0
0.100632,0.0124565,0
0.102204,0.0124089,0
0.103776,0.0123606,0
0.105349,0.0123114,0
0.106921,0.0122615,0
0.108493,0.0122108,0
0.110066,0.0121594,0
0.111638,0.0121073,0
0.113211,0.0120543,0
0.114783,0.0120004,0
0.116355,0.0119458,0
0.117928,0.0118904,0
0.1195,0.0118342,0
0.121072,0.0117773,0
0.122645,0.0117196,0
0.124217,0.0116609,0
0.125789,0.0116015,0
0.127362,0.0115412,0
0.128934,0.0114802,0
0.130507,0.0114184,0
0.132079,0.0113557,0
0.133651,0.0112922,0
0.135224,0.0112278,0
0.136796,0.0111625,0
0.138368,0.0110965,0
0.139941,0.0110296,0
0.141513,0.0109619,0
0.143086,0.0108933,0
0.144658,0.0108238,0
0.14623,0.0107534,0
0.147803,0.0106821,0
0.149375,0.0106101,0
0.150947,0.0105372,0
0.15252,0.0104633,0
0.154092,0.0103886,0
0.155665,0.0103129,0
0.157237,0.0102363,0
0.158809,0.0101589,0
0.160382,0.0100806,0
0.161954,0.0100013,0
0.163526,0.00992114,0
0.165099,0.00983999,0
0.166671,0.00975791,0
0.168243,0.00967492,0
0.169816,0.00959104,0
0.171388,0.00950621,0
0.172961,0.00942039,0
0.174533,0.00933359,0
0.176105,0.00924581,0
0.177678,0.00915708,0
0.17925,0.00906741,0
0.180822,0.0089768,0
0.182395,0.00888516,0
0.183967,0.00879249,0
0.18554,0.00869881,0
0.187112,0.00860413,0
0.188684,0.00850846,0
0.190257,0.00841183,0
0.191829,0.00831416,0
0.193401,0.00821541,0
0.194974,0.00811562,0
0.196546,0.00801477,0
0.198118,0.0079129,0
0.199691,0.00781002,0
0.201263,0.00770609,0
0.202836,0.00760105,0
0.204408,0.0074949,0
0.20598,0.00738767,0
0.207553,0.00727937,0
0.209125,0.00717,0
0.210697,0.00705957,0
0.21227,0.00694801,0
0.213842,0.00683529,0
0.215415,0.00672144,0
0.216987,0.00660647,0
0.218559,0.0064904,0
0.220132,0.00637323,0
0.221704,0.0062549,0
0.223276,0.00613539,0
0.224849,0.00601469,0
0.226421,0.00589282,0
0.227993,0.0057698,0
0.229566,0.00564565,0
0.231138,0.00552034,0
0.232711,0.00539379,0
0.234283,0.00526601,0
0.235855,0.00513702,0
0.237428,0.00500684,0
0.239,0.00487547,0
0.240572,0.00474293,0
0.242145,0.00460913,0
0.243717,0.00447405,0
0.24529,0.00433772,0
0.246862,0.00420015,0
0.248434,0.00406135,0
0.250007,0.00392135,0
0.251579,0.00378009,0
0.253151,0.00363751,0
0.254724,0.00349363,0
0.256296,0.00334847,0
0.257868,0.00320204,0
0.259441,0.00305438,0
0.261013,0.00290545,0
0.262586,0.00275518,0
0.264158,0.00260357,0
0.26573,0.00245064,0
0.267303,0.00229641,0
0.268875,0.0021409,0
0.270447,0.00198413,0
0.27202,0.001826,0
0.273592,0.00166649,0
0.275165,0.00150563,0
0.276737,0.00134344,0
0.278309,0.00117995,0
0.279882,0.00101517,0
0.281454,0.00084905,0
0.283026,0.000681526,0
0.284599,0.000512618,0
0.286171,0.000342354,0
0.287743,0.000170758,0
0.289316,-2.14151e-06,0
0.290888,-0.000176349,0
0.292461,-0.000351975,0
0.294033,-0.000529007,0
0.295605,-0.000707415,0
0.297178,-0.000887171,0
0.29875,-0.00106824,0
0.300322,-0.00125061,0
0.301895,-0.00143437,0
0.303467,-0.00161955,0
0.30504,-0.00180612,0
0.306612,-0.00199405,0
0.308184,-0.00218329,0
0.309757,-0.00237383,0
0.311329,-0.0025657,0
0.312901,-0.00275899,0
0.314474,-0.00295368,0
0.316046,-0.00314972,0
0.317618,-0.00334707,0
0.319191,-0.0035457,0
0.320763,-0.0037456,0
0.322336,-0.00394689,0
0.323908,-0.00414957,0
0.32548,-0.00435358,0
0.327053,-0.0045589,0
0.328625,-0.00476546,0
0.330197,-0.00497323,0
0.33177,-0.00518232,0
