# 20240926_140931
# initdata:	data/init_real_m570_s-1_consteps_20240926_124658/init6.csv
# particle mass:	0.57
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,2640.23,0
0.0100503,2577.78,0
0.0201005,2397.85,0
0.0301508,2121.37,0
0.040201,1779.27,0
0.0502513,1407.54,0
0.0603015,1042,0
0.0703518,713.57,0
0.080402,444.389,0
0.0904523,245.441,0
0.100503,115.996,0
0.110553,45.1329,0
0.120603,15.7648,0
0.130653,9.80481,0
0.140704,13.0205,0
0.150754,17.6056,0
0.160804,21.5857,0
0.170854,25.8401,0
0.180905,30.8736,0
0.190955,35.4335,0
0.201005,37.5462,0
0.211055,36.6118,0
0.221106,34.3904,0
0.231156,33.7706,0
0.241206,36.2951,0
0.251256,40.6928,0
0.261307,43.8841,0
0.271357,43.6799,0
0.281407,40.7323,0
0.291457,37.8786,0
0.301508,37.4442,0
0.311558,39.0667,0
0.321608,40.1557,0
0.331658,38.5369,0
0.341709,34.6409,0
0.351759,31.0317,0
0.361809,29.7837,0
0.371859,30.4265,0
0.38191,30.5821,0
0.39196,28.5671,0
0.40201,25.1577,0
0.41206,22.657,0
0.422111,22.3497,0
0.432161,23.1679,0
0.442211,22.9899,0
0.452261,21.0379,0
0.462312,18.6554,0
0.472362,17.6507,0
0.482412,18.1914,0
0.492462,18.6764,0
0.502513,17.654,0
0.512563,15.4752,0
0.522613,13.7684,0
0.532663,13.4575,0
0.542714,13.7329,0
0.552764,13.1481,0
0.562814,11.4133,0
0.572864,9.69062,0
0.582915,9.11271,0
0.592965,9.42654,0
0.603015,9.41468,0
0.613065,8.47097,0
0.623116,7.30796,0
0.633166,6.96208,0
0.643216,7.44153,0
0.653266,7.74677,0
0.663317,7.16915,0
0.673367,6.15132,0
0.683417,5.63687,0
0.693467,5.8255,0
0.703518,5.9662,0
0.713568,5.39617,0
0.723618,4.40849,0
0.733668,3.82909,0
0.743719,3.9272,0
0.753769,4.12102,0
0.763819,3.81443,0
0.773869,3.19084,0
0.78392,2.91351,0
0.79397,3.19483,0
0.80402,3.51639,0
0.81407,3.34299,0
0.824121,2.82212,0
0.834171,2.53141,0
0.844221,2.66911,0
0.854271,2.81162,0
0.864322,2.53269,0
0.874372,1.99304,0
0.884422,1.69877,0
0.894472,1.80576,0
0.904523,1.94552,0
0.914573,1.77674,0
0.924623,1.45719,0
0.934673,1.3874,0
0.944724,1.62457,0
0.954774,1.80314,0
0.964824,1.6506,0
0.974874,1.34759,0
0.984925,1.24813,0
0.994975,1.37253,0
1.00503,1.40652,0
1.01508,1.16971,0
1.02513,0.871389,0
1.03518,0.804017,0
1.04523,0.936998,0
1.05528,0.988684,0
1.06533,0.845449,0
1.07538,0.711085,0
1.08543,0.78779,0
1.09548,0.970979,0
1.10553,0.998539,0
1.11558,0.822945,0
1.12563,0.664631,0
1.13568,0.685088,0
1.14573,0.765549,0
1.15578,0.701112,0
1.16583,0.50861,0
1.17588,0.398145,0
1.18593,0.465908,0
1.19598,0.565447,0
1.20603,0.53393,0
1.21608,0.426907,0
1.22613,0.419943,0
1.23618,0.536799,0
1.24623,0.610435,0
1.25628,0.526373,0
1.26633,0.383646,0
1.27638,0.343436,0
1.28643,0.399404,0
1.29648,0.405632,0
1.30653,0.305776,0
1.31658,0.216371,0
1.32663,0.248741,0
1.33668,0.343933,0
1.34673,0.36412,0
1.35678,0.295124,0
1.36683,0.257063,0
1.37688,0.315737,0
1.38693,0.382096,0
1.39698,0.345652,0
1.40704,0.236689,0
1.41709,0.178,0
1.42714,0.206744,0
1.43719,0.233297,0
1.44724,0.188228,0
1.45729,0.128181,0
1.46734,0.144512,0
1.47739,0.220699,0
1.48744,0.255383,0
1.49749,0.211858,0
1.50754,0.1666,0
1.51759,0.188397,0
1.52764,0.234683,0
1.53769,0.219143,0
1.54774,0.143242,0
1.55779,0.0933037,0
1.56784,0.113047,0
1.57789,0.146123,0
1.58794,0.129647,0
1.59799,0.0904511,0
1.60804,0.0988581,0
1.61809,0.155902,0
1.62814,0.188086,0
1.63819,0.155557,0
1.64824,0.108187,0
1.65829,0.107413,0
1.66834,0.135997,0
1.67839,0.130178,0
1.68844,0.0807565,0
1.69849,0.0470095,0
1.70854,0.0665271,0
1.71859,0.100965,0
1.72864,0.0981127,0
1.73869,0.0713365,0
1.74874,0.0749204,0
1.75879,0.116296,0
1.76884,0.141322,0
1.77889,0.114164,0
1.78894,0.0693173,0
1.79899,0.0587802,0
1.80905,0.0773008,0
1.8191,0.0776879,0
1.82915,0.0475897,0
1.8392,0.0280797,0
1.84925,0.0483684,0
1.8593,0.0800379,0
1.86935,0.0806851,0
1.8794,0.0577292,0
1.88945,0.0541878,0
1.8995,0.0802436,0
1.90955,0.096682,0
1.9196,0.0744597,0
1.92965,0.0382719,0
1.9397,0.029021,0
1.94975,0.0447729,0
1.9598,0.0494944,0
1.96985,0.0321341,0
1.9799,0.0230165,0
1.98995,0.043978,0
2,0.0717115,0
