# 20240926_143507
alpha,f0Re,f0Im
0,0.0211261,0
0.01,0.0211034,0
0.02,0.02106,0
0.03,0.0209973,0
0.04,0.0209155,0
0.05,0.0208143,0
0.06,0.0206934,0
0.07,0.0205519,0
0.08,0.0203889,0
0.09,0.0202035,0
0.1,0.0199945,0
0.11,0.019761,0
0.12,0.0195016,0
0.13,0.019215,0
0.14,0.0188999,0
0.15,0.0185547,0
0.16,0.0181777,0
0.17,0.017767,0
0.18,0.0173206,0
0.19,0.0168363,0
0.2,0.0163118,0
0.21,0.0157447,0
0.22,0.0151322,0
0.23,0.0144718,0
0.24,0.0137605,0
0.25,0.0129955,0
0.26,0.012174,0
0.27,0.0112931,0
0.28,0.0103501,0
0.29,0.00934246,0
0.3,0.00826774,0
0.31,0.00712394,0
0.32,0.00590941,0
0.33,0.0046231,0
0.34,0.0032646,0
0.35,0.00183432,0
0.36,0.000333667,0
0.37,-0.00123481,0
0.38,-0.00286723,0
0.39,-0.00455816,0
0.4,-0.00630042,0
0.41,-0.00808497,0
0.42,-0.00990072,0
0.43,-0.0117343,0
0.44,-0.0135701,0
0.45,-0.0153901,0
0.46,-0.0171739,0
0.47,-0.0188986,0
0.48,-0.0205394,0
0.49,-0.0220693,0
0.5,-0.0234596,0
0.51,-0.0246806,0
0.52,-0.0257015,0
0.53,-0.0264919,0
0.54,-0.0270215,0
0.55,-0.0272619,0
0.56,-0.0271869,0
0.57,-0.0267739,0
0.58,-0.0260045,0
0.59,-0.024866,0
0.6,-0.0233522,0
0.61,-0.0214643,0
0.62,-0.019212,0
0.63,-0.0166138,0
0.64,-0.0136979,0
0.65,-0.0105018,0
0.66,-0.00707283,0
0.67,-0.00346708,0
0.68,0.000251156,0
0.69,0.0040107,0
0.7,0.00773513,0
0.71,0.0113447,0
0.72,0.0147584,0
0.73,0.0178967,0
0.74,0.0206836,0
0.75,0.0230498,0
0.76,0.0249343,0
0.77,0.0262872,0
0.78,0.0270714,0
0.79,0.0272641,0
0.8,0.0268577,0
0.81,0.0258602,0
0.82,0.0242952,0
0.83,0.022201,0
0.84,0.0196293,0
0.85,0.0166436,0
0.86,0.0133168,0
0.87,0.00972885,0
0.88,0.00596395,0
0.89,0.00210793,0
0.9,-0.00175451,0
0.91,-0.00554222,0
0.92,-0.00917981,0
0.93,-0.0125995,0
0.94,-0.0157425,0
0.95,-0.01856,0
0.96,-0.0210139,0
0.97,-0.0230765,0
0.98,-0.0247305,0
0.99,-0.0259684,0
1,-0.0267919,0
1.01,-0.0272103,0
1.02,-0.02724,0
1.03,-0.0269029,0
1.04,-0.0262251,0
1.05,-0.0252364,0
1.06,-0.0239683,0
1.07,-0.022454,0
1.08,-0.0207267,0
1.09,-0.0188194,0
1.1,-0.0167644,0
1.11,-0.0145923,0
1.12,-0.0123323,0
1.13,-0.0100116,0
1.14,-0.00765525,0
1.15,-0.00528625,0
1.16,-0.00292546,0
1.17,-0.000591389,0
1.18,0.00169945,0
1.19,0.0039326,0
1.2,0.00609574,0
1.21,0.00817824,0
1.22,0.0101713,0
1.23,0.0120678,0
1.24,0.0138617,0
1.25,0.0155487,0
1.26,0.0171252,0
1.27,0.0185886,0
1.28,0.0199372,0
1.29,0.0211699,0
1.3,0.0222862,0
1.31,0.0232861,0
1.32,0.0241702,0
1.33,0.0249396,0
1.34,0.0255957,0
1.35,0.0261403,0
1.36,0.0265754,0
1.37,0.0269035,0
1.38,0.0271269,0
1.39,0.0272481,0
1.4,0.0272698,0
1.41,0.0271946,0
1.42,0.0270253,0
1.43,0.0267647,0
1.44,0.0264158,0
1.45,0.0259816,0
1.46,0.0254648,0
1.47,0.0248682,0
1.48,0.0241947,0
1.49,0.023447,0
1.5,0.0226284,0
1.51,0.021742,0
1.52,0.0207909,0
1.53,0.0197779,0
1.54,0.0187064,0
1.55,0.0175804,0
1.56,0.0164046,0
1.57,0.0151856,0
1.58,0.0139508,0
