# 20240926_145641
alpha,Df0Re,Df0Im
0,0.0711123,0
0.00157237,0.0711951,0
0.00314474,0.0712759,0
0.00471711,0.0713566,0
0.00628947,0.0714387,0
0.00786184,0.0715242,0
0.00943421,0.0716147,0
0.0110066,0.0717113,0
0.0125789,0.0718129,0
0.0141513,0.0719194,0
0.0157237,0.0720308,0
0.0172961,0.0721472,0
0.0188684,0.0722686,0
0.0204408,0.0723952,0
0.0220132,0.0725285,0
0.0235855,0.0726688,0
0.0251579,0.0728158,0
0.0267303,0.0729689,0
0.0283026,0.0731279,0
0.029875,0.0732922,0
0.0314474,0.0734631,0
0.0330197,0.0736421,0
0.0345921,0.0738287,0
0.0361645,0.0740223,0
0.0377368,0.0742224,0
0.0393092,0.0744285,0
0.0408816,0.0746405,0
0.042454,0.0748609,0
0.0440263,0.0750894,0
0.0455987,0.0753254,0
0.0471711,0.0755684,0
0.0487434,0.0758178,0
0.0503158,0.0760731,0
0.0518882,0.0763363,0
0.0534605,0.0766077,0
0.0550329,0.0768871,0
0.0566053,0.0771737,0
0.0581776,0.0774672,0
0.05975,0.077767,0
0.0613224,0.0780736,0
0.0628947,0.0783887,0
0.0644671,0.0787119,0
0.0660395,0.0790426,0
0.0676119,0.0793804,0
0.0691842,0.0797249,0
0.0707566,0.0800759,0
0.072329,0.080435,0
0.0739013,0.0808024,0
0.0754737,0.0811775,0
0.0770461,0.0815599,0
0.0786184,0.0819493,0
0.0801908,0.0823452,0
0.0817632,0.0827488,0
0.0833355,0.0831607,0
0.0849079,0.0835805,0
0.0864803,0.0840079,0
0.0880526,0.0844425,0
0.089625,0.0848839,0
0.0911974,0.0853324,0
0.0927698,0.0857893,0
0.0943421,0.0862543,0
0.0959145,0.086727,0
0.0974869,0.0872072,0
0.0990592,0.0876945,0
0.100632,0.0881888,0
0.102204,0.0886912,0
0.103776,0.089202,0
0.105349,0.0897206,0
0.106921,0.090247,0
0.108493,0.0907807,0
0.110066,0.0913216,0
0.111638,0.0918703,0
0.113211,0.0924274,0
0.114783,0.0929927,0
0.116355,0.0935658,0
0.117928,0.0941467,0
0.1195,0.0947349,0
0.121072,0.0953307,0
0.122645,0.095935,0
0.124217,0.0965476,0
0.125789,0.0971684,0
0.127362,0.0977971,0
0.128934,0.0984335,0
0.130507,0.0990773,0
0.132079,0.0997296,0
0.133651,0.10039,0
0.135224,0.10106,0
0.136796,0.101737,0
0.138368,0.102422,0
0.139941,0.103115,0
0.141513,0.103816,0
0.143086,0.104526,0
0.144658,0.105245,0
0.14623,0.105971,0
0.147803,0.106706,0
0.149375,0.107449,0
0.150947,0.1082,0
0.15252,0.108959,0
