# 20240926_155355
alpha,DrRe,DrIm
0,12.5804,0
0.00314989,12.5915,0
0.00629978,12.5998,0
0.00944968,12.606,0
0.0125996,12.6104,0
0.0157495,12.6137,0
0.0188994,12.6161,0
0.0220492,12.618,0
0.0251991,12.6195,0
0.028349,12.6209,0
0.0314989,12.6223,0
0.0346488,12.6239,0
0.0377987,12.6256,0
0.0409486,12.6275,0
0.0440985,12.6297,0
0.0472484,12.6322,0
0.0503983,12.635,0
0.0535482,12.6381,0
0.0566981,12.6414,0
0.059848,12.645,0
0.0629978,12.6489,0
0.0661477,12.653,0
0.0692976,12.6573,0
0.0724475,12.6618,0
0.0755974,12.6664,0
0.0787473,12.6712,0
0.0818972,12.6762,0
0.0850471,12.6813,0
0.088197,12.6866,0
0.0913469,12.6919,0
0.0944968,12.6974,0
0.0976467,12.7029,0
0.100797,12.7086,0
0.103946,12.7144,0
0.107096,12.7203,0
0.110246,12.7263,0
0.113396,12.7324,0
0.116546,12.7386,0
0.119696,12.745,0
0.122846,12.7514,0
0.125996,12.758,0
0.129146,12.7647,0
0.132295,12.7716,0
0.135445,12.7786,0
0.138595,12.7857,0
0.141745,12.7929,0
0.144895,12.8003,0
0.148045,12.8079,0
0.151195,12.8155,0
0.154345,12.8233,0
0.157495,12.8312,0
0.160645,12.8392,0
0.163794,12.8473,0
0.166944,12.8556,0
0.170094,12.8639,0
0.173244,12.8723,0
0.176394,12.8808,0
0.179544,12.8894,0
0.182694,12.8981,0
0.185844,12.9067,0
0.188994,12.9154,0
0.192143,12.9242,0
0.195293,12.9329,0
0.198443,12.9417,0
0.201593,12.9504,0
0.204743,12.9591,0
0.207893,12.9677,0
0.211043,12.9763,0
0.214193,12.9848,0
0.217343,12.9932,0
0.220492,13.0016,0
0.223642,13.0098,0
0.226792,13.0179,0
0.229942,13.0259,0
0.233092,13.0337,0
0.236242,13.0414,0
0.239392,13.0489,0
0.242542,13.0562,0
0.245692,13.0633,0
0.248842,13.0702,0
0.251991,13.0768,0
0.255141,13.0833,0
0.258291,13.0895,0
0.261441,13.0955,0
0.264591,13.1012,0
0.267741,13.1066,0
0.270891,13.1118,0
0.274041,13.1167,0
0.277191,13.1212,0
0.28034,13.1255,0
0.28349,13.1294,0
0.28664,13.133,0
0.28979,13.1363,0
0.29294,13.1392,0
0.29609,13.1417,0
0.29924,13.1439,0
0.30239,13.1457,0
0.30554,13.1471,0
0.308689,13.1481,0
0.311839,13.1486,0
