# 20240926_180332
alpha,field0Re,field0Im
0,0.00800135,0
0.00157237,0.0079965,0
0.00314474,0.00799191,0
0.00471711,0.00798735,0
0.00628947,0.00798258,0
0.00786184,0.00797738,0
0.00943421,0.0079715,0
0.0110066,0.00796467,0
0.0125789,0.00795665,0
0.0141513,0.0079476,0
0.0157237,0.0079377,0
0.0172961,0.00792714,0
0.0188684,0.00791611,0
0.0204408,0.00790474,0
0.0220132,0.0078926,0
0.0235855,0.00787957,0
0.0251579,0.00786576,0
0.0267303,0.00785128,0
0.0283026,0.00783622,0
0.029875,0.0078207,0
0.0314474,0.00780459,0
0.0330197,0.00778765,0
0.0345921,0.00776994,0
0.0361645,0.00775155,0
0.0377368,0.00773254,0
0.0393092,0.00771299,0
0.0408816,0.0076929,0
0.042454,0.00767203,0
0.0440263,0.0076504,0
0.0455987,0.00762807,0
0.0471711,0.00760508,0
0.0487434,0.00758149,0
0.0503158,0.00755735,0
0.0518882,0.00753249,0
0.0534605,0.00750686,0
0.0550329,0.0074805,0
0.0566053,0.00745345,0
0.0581776,0.00742575,0
0.05975,0.00739746,0
0.0613224,0.00736851,0
0.0628947,0.00733877,0
0.0644671,0.00730826,0
0.0660395,0.00727704,0
0.0676119,0.00724514,0
0.0691842,0.00721258,0
0.0707566,0.00717939,0
0.072329,0.00714541,0
0.0739013,0.00711065,0
0.0754737,0.00707512,0
0.0770461,0.00703888,0
0.0786184,0.00700195,0
0.0801908,0.00696436,0
0.0817632,0.00692601,0
0.0833355,0.00688684,0
0.0849079,0.00684689,0
0.0864803,0.00680617,0
0.0880526,0.00676473,0
0.089625,0.0067226,0
0.0911974,0.00667973,0
0.0927698,0.00663603,0
0.0943421,0.0065915,0
0.0959145,0.00654618,0
0.0974869,0.0065001,0
0.0990592,0.00645328,0
0.100632,0.00640574,0
0.102204,0.00635736,0
0.103776,0.00630812,0
0.105349,0.00625806,0
0.106921,0.0062072,0
0.108493,0.00615557,0
0.110066,0.00610319,0
0.111638,0.00604999,0
0.113211,0.0059959,0
0.114783,0.00594096,0
0.116355,0.00588518,0
0.117928,0.0058286,0
0.1195,0.00577123,0
0.121072,0.00571306,0
0.122645,0.00565398,0
0.124217,0.00559401,0
0.125789,0.00553318,0
0.127362,0.0054715,0
0.128934,0.00540899,0
0.130507,0.00534569,0
0.132079,0.00528147,0
0.133651,0.00521633,0
0.135224,0.00515029,0
0.136796,0.00508337,0
0.138368,0.00501559,0
0.139941,0.00494697,0
0.141513,0.00487747,0
0.143086,0.004807,0
0.144658,0.0047356,0
0.14623,0.00466328,0
0.147803,0.00459007,0
0.149375,0.00451599,0
0.150947,0.00444102,0
0.15252,0.00436508,0
0.154092,0.00428816,0
0.155665,0.00421029,0
0.157237,0.00413149,0
0.158809,0.00405178,0
0.160382,0.00397118,0
0.161954,0.00388959,0
0.163526,0.00380699,0
0.165099,0.00372341,0
0.166671,0.00363887,0
0.168243,0.00355337,0
0.169816,0.00346695,0
0.171388,0.00337956,0
0.172961,0.00329113,0
0.174533,0.00320168,0
0.176105,0.00311122,0
0.177678,0.00301978,0
0.17925,0.00292738,0
0.180822,0.00283402,0
0.182395,0.0027396,0
0.183967,0.00264412,0
0.18554,0.0025476,0
0.187112,0.00245007,0
0.188684,0.00235154,0
0.190257,0.00225204,0
0.191829,0.00215148,0
0.193401,0.00204983,0
0.194974,0.00194711,0
0.196546,0.00184335,0
0.198118,0.00173856,0
0.199691,0.00163277,0
0.201263,0.00152594,0
0.202836,0.001418,0
0.204408,0.00130895,0
0.20598,0.00119884,0
0.207553,0.00108767,0
0.209125,0.000975483,0
0.210697,0.000862271,0
0.21227,0.000747938,0
0.213842,0.000632482,0
0.215415,0.000515931,0
0.216987,0.00039831,0
0.218559,0.000279644,0
0.220132,0.00015996,0
0.221704,3.91803e-05,0
0.223276,-8.27404e-05,0
0.224849,-0.000205773,0
0.226421,-0.000329889,0
0.227993,-0.000455059,0
0.229566,-0.000581253,0
0.231138,-0.000708492,0
0.232711,-0.000836878,0
0.234283,-0.000966385,0
0.235855,-0.00109698,0
0.237428,-0.00122863,0
0.239,-0.00136129,0
