# 20240823_133052
# initdata:	data/init_real_pi_constfield_20240822_161734/init1.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,94681.3,0
0.0100503,89409.6,0
0.0201005,75238.1,0
0.0301508,56425.8,0
0.040201,38106.4,0
0.0502513,24221.9,0
0.0603015,16104.9,0
0.0703518,12438.1,0
0.080402,10587.4,0
0.0904523,8442.28,0
0.100503,5539.85,0
0.110553,2795.15,0
0.120603,1257.98,0
0.130653,1057.73,0
0.140704,1401.4,0
0.150754,1434.75,0
0.160804,998.886,0
0.170854,561.727,0
0.180905,543.237,0
0.190955,844.327,0
0.201005,1040.59,0
0.211055,904.506,0
0.221106,612.896,0
0.231156,461.45,0
0.241206,503.79,0
0.251256,547.298,0
0.261307,440.774,0
0.271357,252.75,0
0.281407,145.881,0
0.291457,161.299,0
0.301508,198.424,0
0.311558,175.846,0
0.321608,130.653,0
0.331658,138.557,0
0.341709,194.786,0
0.351759,224.788,0
0.361809,191.25,0
0.371859,137.386,0
0.38191,116.691,0
0.39196,121.843,0
0.40201,109.64,0
0.41206,71.5205,0
0.422111,43.3272,0
0.432161,49.0976,0
0.442211,68.3032,0
0.452261,70.6539,0
0.462312,59.704,0
0.472362,60.8898,0
0.482412,78.1862,0
0.492462,87.1457,0
0.502513,71.7875,0
0.512563,47.3385,0
0.522613,36.6884,0
0.532663,39.021,0
0.542714,36.5387,0
0.552764,24.6991,0
0.562814,18.4066,0
0.572864,27.2488,0
0.582915,39.9818,0
0.592965,41.3371,0
0.603015,33.7664,0
0.613065,31.3201,0
0.623116,37.0106,0
0.633166,38.8685,0
0.643216,29.2429,0
0.653266,16.6505,0
0.663317,12.9336,0
0.673367,16.6763,0
0.683417,17.6861,0
0.693467,13.7275,0
0.703518,13.0509,0
0.713568,19.995,0
0.723618,27.1054,0
0.733668,25.858,0
0.743719,18.9101,0
0.753769,15.3186,0
0.763819,16.9443,0
0.773869,16.9447,0
0.78392,11.5564,0
0.79397,6.20471,0
0.80402,6.98803,0
0.81407,11.4889,0
0.824121,13.0004,0
0.834171,10.8422,0
0.844221,10.5877,0
0.854271,14.4852,0
0.864322,17.4719,0
0.874372,14.809,0
0.884422,9.1953,0
0.894472,6.57885,0
0.904523,7.6057,0
0.914573,7.78571,0
0.924623,5.30625,0
0.934673,3.86142,0
0.944724,6.4254,0
0.954774,10.2095,0
0.964824,10.7323,0
0.974874,8.41622,0
0.984925,7.45988,0
0.994975,9.08866,0
1.00503,9.82876,0
1.01508,7.20504,0
1.02513,3.70765,0
1.03518,3.01361,0
1.04523,4.63165,0
1.05528,5.21914,0
1.06533,4.0765,0
1.07538,4.00623,0
1.08543,6.43805,0
1.09548,8.75347,0
1.10553,8.05855,0
1.11558,5.44077,0
1.12563,4.1629,0
1.13568,4.802,0
1.14573,4.85915,0
1.15578,3.09869,0
1.16583,1.59519,0
1.17588,2.40795,0
1.18593,4.33321,0
1.19598,4.82184,0
1.20603,3.88468,0
1.21608,3.81741,0
1.22613,5.33199,0
1.23618,6.29264,0
1.24623,4.98671,0
1.25628,2.75857,0
1.26633,1.97016,0
1.27638,2.60527,0
1.28643,2.73321,0
1.29648,1.82023,0
1.30653,1.53797,0
1.31658,2.91439,0
1.32663,4.4896,0
1.33668,4.42738,0
1.34673,3.21698,0
1.35678,2.7734,0
1.36683,3.4391,0
1.37688,3.60069,0
1.38693,2.3777,0
1.39698,1.06577,0
1.40704,1.13823,0
1.41709,2.0561,0
1.42714,2.28887,0
1.43719,1.78268,0
1.44724,1.92551,0
1.45729,3.14471,0
1.46734,4.03349,0
1.47739,3.41201,0
1.48744,2.08505,0
1.49749,1.5881,0
1.50754,1.94789,0
1.51759,1.90745,0
1.52764,1.09849,0
1.53769,0.650418,0
1.54774,1.34191,0
1.55779,2.31111,0
1.56784,2.36989,0
1.57789,1.8017,0
1.58794,1.80667,0
1.59799,2.52694,0
1.60804,2.79331,0
1.61809,1.96169,0
1.62814,0.928991,0
1.63819,0.777217,0
1.64824,1.22277,0
1.65829,1.25582,0
1.66834,0.835046,0
1.67839,0.913596,0
1.68844,1.7982,0
1.69849,2.52119,0
1.70854,2.24392,0
1.71859,1.48934,0
1.72864,1.29228,0
1.73869,1.63519,0
1.74874,1.59848,0
1.75879,0.903849,0
1.76884,0.379119,0
1.77889,0.657707,0
1.78894,1.2177,0
1.79899,1.25626,0
1.80905,0.955332,0
1.8191,1.11973,0
1.82915,1.8004,0
1.8392,2.12044,0
1.84925,1.59064,0
1.8593,0.849351,0
1.86935,0.69273,0
1.8794,0.940979,0
1.88945,0.875497,0
1.8995,0.466052,0
1.90955,0.413981,0
1.9196,0.979242,0
1.92965,1.50229,0
1.9397,1.38805,0
1.94975,0.991548,0
1.9598,1.01259,0
1.96985,1.38376,0
1.9799,1.39616,0
1.98995,0.837386,0
2,0.336315,0
