# 20240826_130149
# initdata:	data/init_real_pi_constfield_20240822_161734/init5.csv
# particle mass:	0.73
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,843224,0
0.0100503,830719,0
0.0201005,794530,0
0.0301508,738431,0
0.040201,668037,0
0.0502513,589897,0
0.0603015,510437,0
0.0703518,434958,0
0.080402,366938,0
0.0904523,307811,0
0.100503,257303,0
0.110553,214189,0
0.120603,177197,0
0.130653,145670,0
0.140704,119721,0
0.150754,99813.5,0
0.160804,86052,0
0.170854,77589.3,0
0.180905,72575.9,0
0.190955,68739.2,0
0.201005,64303.4,0
0.211055,58705.8,0
0.221106,52644.5,0
0.231156,47398.9,0
0.241206,43847.4,0
0.251256,41832.3,0
0.261307,40303.1,0
0.271357,38118.2,0
0.281407,34897.3,0
0.291457,31269.5,0
0.301508,28325.6,0
0.311558,26713.4,0
0.321608,26112.7,0
0.331658,25521.1,0
0.341709,24104.3,0
0.351759,21879.4,0
0.361809,19644.1,0
0.371859,18226.3,0
0.38191,17735.9,0
0.39196,17495.2,0
0.40201,16694.9,0
0.41206,15149,0
0.422111,13433.5,0
0.432161,12295.1,0
0.442211,11921.5,0
0.452261,11790,0
0.462312,11224.8,0
0.472362,10082,0
0.482412,8865.25,0
0.492462,8174.41,0
0.502513,8081.3,0
0.512563,8085.04,0
0.522613,7671.77,0
0.532663,6860.02,0
0.542714,6146.68,0
0.552764,5935.31,0
0.562814,6091.92,0
0.572864,6112.84,0
0.582915,5695.23,0
0.592965,5057.98,0
0.603015,4661.24,0
0.613065,4667.16,0
0.623116,4767.23,0
0.633166,4559.96,0
0.643216,4019.95,0
0.653266,3509.07,0
0.663317,3337.05,0
0.673367,3406.09,0
0.683417,3356.2,0
0.693467,3014.22,0
0.703518,2594.47,0
0.713568,2420.47,0
0.723618,2525.42,0
0.733668,2624.6,0
0.743719,2477.12,0
0.753769,2175.81,0
0.763819,2009.49,0
0.773869,2088.1,0
0.78392,2207.44,0
0.79397,2115.48,0
0.80402,1828.38,0
0.81407,1596.94,0
0.824121,1580.62,0
0.834171,1654.78,0
0.844221,1589.89,0
0.854271,1355.65,0
0.864322,1153.43,0
0.874372,1147.17,0
0.884422,1254.4,0
0.894472,1265.75,0
0.904523,1122.57,0
0.914573,982.919,0
0.924623,998.647,0
0.934673,1109.94,0
0.944724,1128.89,0
0.954774,990.018,0
0.964824,829.654,0
0.974874,796.516,0
0.984925,856.806,0
0.994975,853.159,0
1.00503,725.838,0
1.01508,591.438,0
1.02513,579.451,0
1.03518,658.336,0
1.04523,686.498,0
1.05528,608.968,0
1.06533,525.447,0
1.07538,542.932,0
1.08543,624.308,0
1.09548,641.146,0
1.10553,550.851,0
1.11558,450.136,0
1.12563,437.049,0
1.13568,479.531,0
1.14573,470.486,0
1.15578,383.553,0
1.16583,308.468,0
1.17588,322.03,0
1.18593,382.171,0
1.19598,391.934,0
1.20603,336.496,0
1.21608,297.817,0
1.22613,331.632,0
1.23618,386.135,0
1.24623,376.139,0
1.25628,302.868,0
1.26633,248.874,0
1.27638,260.363,0
1.28643,287.23,0
1.29648,262.234,0
1.30653,200.073,0
1.31658,174.202,0
1.32663,209.606,0
1.33668,248.344,0
1.34673,234.557,0
1.35678,192.602,0
1.36683,186.576,0
1.37688,224.269,0
1.38693,245.757,0
1.39698,210.87,0
1.40704,156.226,0
1.41709,141.139,0
1.42714,164.249,0
1.43719,171.377,0
1.44724,138.707,0
1.45729,107.274,0
1.46734,120.473,0
1.47739,159.325,0
1.48744,170.255,0
1.49749,142.22,0
1.50754,119.607,0
1.51759,134.28,0
1.52764,158.818,0
1.53769,148.285,0
1.54774,106.686,0
1.55779,80.4916,0
1.56784,91.3813,0
1.57789,108.278,0
1.58794,97.2709,0
1.59799,72.5301,0
1.60804,73.0804,0
1.61809,102.51,0
1.62814,122.375,0
1.63819,107.972,0
1.64824,82.8164,0
1.65829,81.8726,0
1.66834,99.9305,0
1.67839,101.422,0
1.68844,74.8078,0
1.69849,49.7686,0
1.70854,53.2057,0
1.71859,71.1548,0
1.72864,72.3072,0
1.73869,55.607,0
1.74874,50.0954,0
1.75879,69.0358,0
1.76884,88.4539,0
1.77889,81.9765,0
1.78894,58.9313,0
1.79899,49.2734,0
1.80905,59.3985,0
1.8191,65.0578,0
1.82915,50.0592,0
1.8392,31.1545,0
1.84925,32.4334,0
1.8593,49.3093,0
1.86935,56.3922,0
1.8794,45.9558,0
1.88945,38.2803,0
1.8995,49.1943,0
1.90955,64.9638,0
1.9196,62.3503,0
1.92965,42.9532,0
1.9397,30.2334,0
1.94975,35.0563,0
1.9598,41.6818,0
1.96985,34.0819,0
1.9799,20.9714,0
1.98995,21.8652,0
2,36.6524,0
