# 20240823_134050
# initdata:	data/init_real_pi_constfield_20240822_161738/init1.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,103640,0
0.0100503,98918.5,0
0.0201005,86029.1,0
0.0301508,68251.2,0
0.040201,49585.8,0
0.0502513,33439.9,0
0.0603015,21727.1,0
0.0703518,14552.7,0
0.080402,10594.5,0
0.0904523,8110.16,0
0.100503,6005.1,0
0.110553,4182.67,0
0.120603,2995.3,0
0.130653,2491.97,0
0.140704,2266.78,0
0.150754,1919.03,0
0.160804,1440.76,0
0.170854,1075.75,0
0.180905,930.471,0
0.190955,866.767,0
0.201005,738.318,0
0.211055,579.583,0
0.221106,504.869,0
0.231156,517.113,0
0.241206,512.133,0
0.251256,438.918,0
0.261307,360.732,0
0.271357,342.496,0
0.281407,351.656,0
0.291457,316.079,0
0.301508,235.802,0
0.311558,178.231,0
0.321608,175.458,0
0.331658,183.677,0
0.341709,157.089,0
0.351759,115.736,0
0.361809,108.162,0
0.371859,134.524,0
0.38191,147.797,0
0.39196,124.645,0
0.40201,95.6553,0
0.41206,94.4819,0
0.422111,108.203,0
0.432161,101.427,0
0.442211,71.3589,0
0.452261,49.752,0
0.462312,54.0353,0
0.472362,64.4468,0
0.482412,57.9572,0
0.492462,42.818,0
0.502513,42.327,0
0.512563,57.0628,0
0.522613,64.3929,0
0.532663,53.0917,0
0.542714,38.5278,0
0.552764,37.5099,0
0.562814,43.7955,0
0.572864,40.4862,0
0.582915,27.1505,0
0.592965,19.5255,0
0.603015,24.7245,0
0.613065,31.4561,0
0.623116,28.6819,0
0.633166,22.0188,0
0.643216,23.2032,0
0.653266,30.8929,0
0.663317,32.9129,0
0.673367,25.135,0
0.683417,17.1798,0
0.693467,17.2384,0
0.703518,20.5003,0
0.713568,18.2632,0
0.723618,12.0326,0
0.733668,10.5918,0
0.743719,15.7919,0
0.753769,19.779,0
0.763819,17.2899,0
0.773869,13.2253,0
0.78392,14.1868,0
0.79397,18.0059,0
0.80402,17.502,0
0.81407,11.8594,0
0.824121,7.70964,0
0.834171,8.88859,0
0.844221,11.218,0
0.854271,9.85673,0
0.864322,6.96164,0
0.874372,7.76557,0
0.884422,11.883,0
0.894472,13.7225,0
0.904523,11.0291,0
0.914573,8.00883,0
0.924623,8.51639,0
0.934673,10.3125,0
0.944724,9.10859,0
0.954774,5.53549,0
0.964824,4.06681,0
0.974874,6.02154,0
0.984925,7.79647,0
0.994975,6.76589,0
1.00503,5.2358,0
1.01508,6.39255,0
1.02513,8.98776,0
1.03518,9.18647,0
1.04523,6.47663,0
1.05528,4.3285,0
1.06533,4.82198,0
1.07538,5.79849,0
1.08543,4.72508,0
1.09548,2.83848,0
1.10553,3.05926,0
1.11558,5.24421,0
1.12563,6.36999,0
1.13568,5.21843,0
1.14573,4.08036,0
1.15578,4.94859,0
1.16583,6.34103,0
1.17588,5.70133,0
1.18593,3.43509,0
1.19598,2.25698,0
1.20603,3.05666,0
1.21608,3.81628,0
1.22613,3.05312,0
1.23618,2.153,0
1.24623,2.98498,0
1.25628,4.75285,0
1.26633,5.11868,0
1.27638,3.75482,0
1.28643,2.72711,0
1.29648,3.23023,0
1.30653,3.87183,0
1.31658,3.07149,0
1.32663,1.6324,0
1.33668,1.45318,0
1.34673,2.56071,0
1.35678,3.1696,0
1.36683,2.54975,0
1.37688,2.08424,0
1.38693,2.91868,0
1.39698,4.02771,0
1.40704,3.7603,0
1.41709,2.37684,0
1.42714,1.60688,0
1.43719,2.01982,0
1.44724,2.35223,0
1.45729,1.70344,0
1.46734,1.00063,0
1.47739,1.45327,0
1.48744,2.55726,0
1.49749,2.84463,0
1.50754,2.14274,0
1.51759,1.75427,0
1.52764,2.33325,0
1.53769,2.85782,0
1.54774,2.28242,0
1.55779,1.20022,0
1.56784,0.922041,0
1.57789,1.48939,0
1.58794,1.75277,0
1.59799,1.28448,0
1.60804,1.03026,0
1.61809,1.70584,0
1.62814,2.55409,0
1.63819,2.45445,0
1.64824,1.6199,0
1.65829,1.22092,0
1.66834,1.57856,0
1.67839,1.77382,0
1.68844,1.20714,0
1.69849,0.578061,0
1.70854,0.763124,0
1.71859,1.43335,0
1.72864,1.60299,0
1.73869,1.18864,0
1.74874,1.0846,0
1.75879,1.66918,0
1.76884,2.14653,0
1.77889,1.76454,0
1.78894,0.975105,0
1.79899,0.72972,0
1.80905,1.05918,0
1.8191,1.15444,0
1.82915,0.737408,0
1.8392,0.503081,0
1.84925,0.961992,0
1.8593,1.57237,0
1.86935,1.55104,0
1.8794,1.06471,0
1.88945,0.923901,0
1.8995,1.29301,0
1.90955,1.46129,0
1.9196,0.999978,0
1.92965,0.449836,0
1.9397,0.476701,0
1.94975,0.865882,0
1.9598,0.933594,0
1.96985,0.644069,0
1.9799,0.637139,0
1.98995,1.14507,0
2,1.55396,0
