# 20241023_153952
alpha,f0Re,f0Im
0,0.0478551,0
0.00157237,0.0478563,0
0.00314474,0.0478575,0
0.00471711,0.0478587,0
0.00628947,0.0478599,0
0.00786184,0.0478608,0
0.00943421,0.0478615,0
0.0110066,0.0478618,0
0.0125789,0.047862,0
0.0141513,0.0478622,0
0.0157237,0.0478624,0
0.0172961,0.0478626,0
0.0188684,0.0478626,0
0.0204408,0.0478626,0
0.0220132,0.0478625,0
0.0235855,0.0478623,0
0.0251579,0.047862,0
0.0267303,0.0478616,0
0.0283026,0.0478613,0
0.029875,0.0478609,0
0.0314474,0.0478605,0
0.0330197,0.04786,0
0.0345921,0.0478595,0
0.0361645,0.047859,0
0.0377368,0.0478584,0
0.0393092,0.0478578,0
0.0408816,0.0478572,0
0.042454,0.0478566,0
0.0440263,0.047856,0
0.0455987,0.0478553,0
0.0471711,0.0478546,0
0.0487434,0.047854,0
0.0503158,0.0478533,0
0.0518882,0.0478526,0
0.0534605,0.0478518,0
0.0550329,0.0478511,0
0.0566053,0.0478504,0
0.0581776,0.0478496,0
0.05975,0.0478488,0
0.0613224,0.047848,0
0.0628947,0.0478472,0
0.0644671,0.0478464,0
0.0660395,0.0478456,0
0.0676119,0.0478447,0
0.0691842,0.0478439,0
0.0707566,0.047843,0
0.072329,0.0478421,0
0.0739013,0.0478412,0
0.0754737,0.0478402,0
0.0770461,0.0478393,0
0.0786184,0.0478383,0
0.0801908,0.0478373,0
0.0817632,0.0478363,0
0.0833355,0.0478352,0
0.0849079,0.0478342,0
0.0864803,0.0478331,0
0.0880526,0.047832,0
0.089625,0.0478309,0
0.0911974,0.0478297,0
0.0927698,0.0478285,0
0.0943421,0.0478273,0
0.0959145,0.0478261,0
0.0974869,0.0478248,0
0.0990592,0.0478236,0
0.100632,0.0478222,0
0.102204,0.0478209,0
0.103776,0.0478195,0
0.105349,0.0478181,0
0.106921,0.0478167,0
0.108493,0.0478153,0
0.110066,0.0478138,0
0.111638,0.0478123,0
0.113211,0.0478107,0
0.114783,0.0478092,0
0.116355,0.0478076,0
0.117928,0.0478059,0
0.1195,0.0478042,0
0.121072,0.0478025,0
0.122645,0.0478008,0
0.124217,0.047799,0
0.125789,0.0477972,0
0.127362,0.0477954,0
0.128934,0.0477935,0
0.130507,0.0477916,0
0.132079,0.0477897,0
0.133651,0.0477877,0
0.135224,0.0477857,0
0.136796,0.0477837,0
0.138368,0.0477816,0
0.139941,0.0477795,0
0.141513,0.0477773,0
0.143086,0.0477752,0
0.144658,0.0477729,0
0.14623,0.0477707,0
0.147803,0.0477684,0
0.149375,0.047766,0
0.150947,0.0477637,0
0.15252,0.0477612,0
0.154092,0.0477588,0
0.155665,0.0477563,0
0.157237,0.0477538,0
0.158809,0.0477512,0
0.160382,0.0477486,0
0.161954,0.0477459,0
0.163526,0.0477432,0
0.165099,0.0477405,0
0.166671,0.0477377,0
0.168243,0.0477348,0
0.169816,0.047732,0
0.171388,0.0477291,0
0.172961,0.0477261,0
0.174533,0.0477231,0
0.176105,0.04772,0
0.177678,0.0477169,0
0.17925,0.0477138,0
0.180822,0.0477106,0
0.182395,0.0477073,0
0.183967,0.047704,0
0.18554,0.0477007,0
0.187112,0.0476973,0
0.188684,0.0476939,0
0.190257,0.0476904,0
0.191829,0.0476868,0
0.193401,0.0476832,0
0.194974,0.0476795,0
0.196546,0.0476758,0
0.198118,0.0476721,0
0.199691,0.0476682,0
0.201263,0.0476644,0
0.202836,0.0476604,0
0.204408,0.0476564,0
0.20598,0.0476524,0
0.207553,0.0476482,0
0.209125,0.047644,0
0.210697,0.0476398,0
0.21227,0.0476355,0
0.213842,0.0476311,0
0.215415,0.0476267,0
0.216987,0.0476222,0
0.218559,0.0476176,0
0.220132,0.047613,0
0.221704,0.0476083,0
0.223276,0.0476035,0
0.224849,0.0475986,0
0.226421,0.0475937,0
0.227993,0.0475887,0
0.229566,0.0475837,0
0.231138,0.0475785,0
0.232711,0.0475733,0
0.234283,0.047568,0
0.235855,0.0475626,0
