# 20241023_153952
alpha,Dfield0Re,Dfield0Im
0,0.0477424,0
0.00157237,0.0477592,0
0.00314474,0.0477771,0
0.00471711,0.0477952,0
0.00628947,0.0478124,0
0.00786184,0.0478276,0
0.00943421,0.0478397,0
0.0110066,0.0478484,0
0.0125789,0.0478559,0
0.0141513,0.0478626,0
0.0157237,0.0478684,0
0.0172961,0.0478736,0
0.0188684,0.0478781,0
0.0204408,0.0478821,0
0.0220132,0.0478855,0
0.0235855,0.0478885,0
0.0251579,0.0478912,0
0.0267303,0.0478938,0
0.0283026,0.0478964,0
0.029875,0.0478993,0
0.0314474,0.0479022,0
0.0330197,0.0479052,0
0.0345921,0.0479081,0
0.0361645,0.0479111,0
0.0377368,0.0479143,0
0.0393092,0.0479178,0
0.0408816,0.0479215,0
0.042454,0.0479256,0
0.0440263,0.0479299,0
0.0455987,0.0479346,0
0.0471711,0.0479394,0
0.0487434,0.0479445,0
0.0503158,0.0479498,0
0.0518882,0.0479554,0
0.0534605,0.0479613,0
0.0550329,0.0479676,0
0.0566053,0.0479741,0
0.0581776,0.0479808,0
0.05975,0.0479877,0
0.0613224,0.0479948,0
0.0628947,0.0480022,0
0.0644671,0.0480098,0
0.0660395,0.0480177,0
0.0676119,0.0480258,0
0.0691842,0.048034,0
0.0707566,0.0480423,0
0.072329,0.0480509,0
0.0739013,0.0480596,0
0.0754737,0.0480686,0
0.0770461,0.0480776,0
0.0786184,0.0480869,0
0.0801908,0.0480962,0
0.0817632,0.0481056,0
0.0833355,0.0481152,0
0.0849079,0.0481249,0
0.0864803,0.0481348,0
0.0880526,0.0481448,0
0.089625,0.0481548,0
0.0911974,0.048165,0
0.0927698,0.0481752,0
0.0943421,0.0481856,0
0.0959145,0.0481961,0
0.0974869,0.0482067,0
0.0990592,0.0482174,0
0.100632,0.0482282,0
0.102204,0.0482391,0
0.103776,0.0482501,0
0.105349,0.0482612,0
0.106921,0.0482724,0
0.108493,0.0482837,0
0.110066,0.0482951,0
0.111638,0.0483067,0
0.113211,0.0483183,0
0.114783,0.04833,0
0.116355,0.0483418,0
0.117928,0.0483538,0
0.1195,0.0483659,0
0.121072,0.048378,0
0.122645,0.0483903,0
0.124217,0.0484028,0
0.125789,0.0484153,0
0.127362,0.0484279,0
0.128934,0.0484407,0
0.130507,0.0484536,0
0.132079,0.0484666,0
0.133651,0.0484798,0
0.135224,0.0484931,0
0.136796,0.0485065,0
0.138368,0.04852,0
0.139941,0.0485336,0
0.141513,0.0485474,0
0.143086,0.0485613,0
0.144658,0.0485754,0
0.14623,0.0485896,0
0.147803,0.0486039,0
0.149375,0.0486183,0
0.150947,0.0486328,0
0.15252,0.0486474,0
0.154092,0.0486622,0
0.155665,0.0486771,0
0.157237,0.0486921,0
0.158809,0.0487073,0
0.160382,0.0487225,0
0.161954,0.0487378,0
0.163526,0.0487532,0
0.165099,0.0487688,0
0.166671,0.0487845,0
0.168243,0.0488002,0
0.169816,0.048816,0
0.171388,0.0488319,0
0.172961,0.0488479,0
0.174533,0.0488639,0
0.176105,0.0488801,0
0.177678,0.0488963,0
0.17925,0.0489125,0
0.180822,0.0489288,0
0.182395,0.0489452,0
0.183967,0.0489616,0
0.18554,0.0489781,0
0.187112,0.0489946,0
0.188684,0.0490111,0
0.190257,0.0490276,0
0.191829,0.0490441,0
0.193401,0.0490607,0
0.194974,0.0490772,0
0.196546,0.0490938,0
0.198118,0.0491104,0
0.199691,0.0491269,0
0.201263,0.0491434,0
0.202836,0.0491599,0
0.204408,0.0491763,0
0.20598,0.0491928,0
0.207553,0.0492092,0
0.209125,0.0492255,0
0.210697,0.0492417,0
0.21227,0.0492579,0
0.213842,0.049274,0
0.215415,0.04929,0
0.216987,0.049306,0
0.218559,0.0493219,0
0.220132,0.0493376,0
0.221704,0.0493533,0
0.223276,0.0493688,0
0.224849,0.0493843,0
0.226421,0.0493996,0
0.227993,0.0494148,0
0.229566,0.0494299,0
0.231138,0.0494448,0
0.232711,0.0494595,0
0.234283,0.0494742,0
0.235855,0.0494887,0
0.237428,0.049503,0
0.239,0.0495171,0
0.240572,0.0495311,0
0.242145,0.0495448,0
0.243717,0.0495585,0
0.24529,0.0495719,0
0.246862,0.0495852,0
0.248434,0.0495982,0
0.250007,0.049611,0
0.251579,0.0496235,0
0.253151,0.049636,0
0.254724,0.0496482,0
0.256296,0.0496602,0
0.257868,0.0496719,0
0.259441,0.0496834,0
0.261013,0.0496945,0
0.262586,0.0497055,0
0.264158,0.0497163,0
0.26573,0.0497269,0
0.267303,0.0497372,0
0.268875,0.0497471,0
0.270447,0.0497567,0
0.27202,0.0497661,0
0.273592,0.0497753,0
0.275165,0.0497843,0
0.276737,0.0497929,0
0.278309,0.0498012,0
0.279882,0.0498091,0
0.281454,0.0498168,0
0.283026,0.0498242,0
0.284599,0.0498313,0
0.286171,0.0498382,0
0.287743,0.0498447,0
0.289316,0.0498507,0
0.290888,0.0498563,0
0.292461,0.0498618,0
0.294033,0.049867,0
0.295605,0.0498719,0
0.297178,0.0498764,0
0.29875,0.0498804,0
0.300322,0.0498838,0
0.301895,0.0498871,0
0.303467,0.0498903,0
0.30504,0.0498933,0
0.306612,0.0498958,0
0.308184,0.0498975,0
0.309757,0.0498983,0
0.311329,0.0498982,0
0.312901,0.0498982,0
0.314474,0.049898,0
0.316046,0.0498979,0
0.317618,0.0498976,0
0.319191,0.0498973,0
0.320763,0.0498969,0
0.322336,0.0498953,0
0.323908,0.0498928,0
0.32548,0.0498896,0
0.327053,0.0498859,0
0.328625,0.0498819,0
0.330197,0.0498779,0
0.33177,0.0498734,0
0.333342,0.0498681,0
0.334915,0.0498623,0
0.336487,0.0498559,0
0.338059,0.049849,0
0.339632,0.0498419,0
0.341204,0.0498344,0
0.342776,0.0498262,0
0.344349,0.0498173,0
0.345921,0.0498078,0
0.347493,0.0497978,0
0.349066,0.0497874,0
0.350638,0.0497766,0
0.352211,0.0497652,0
0.353783,0.049753,0
0.355355,0.0497402,0
0.356928,0.0497268,0
0.3585,0.0497129,0
0.360072,0.0496986,0
0.361645,0.0496836,0
0.363217,0.0496679,0
0.36479,0.0496516,0
0.366362,0.0496345,0
0.367934,0.0496169,0
0.369507,0.0495988,0
0.371079,0.0495801,0
0.372651,0.0495606,0
0.374224,0.0495404,0
0.375796,0.0495196,0
0.377368,0.049498,0
0.378941,0.0494759,0
0.380513,0.0494532,0
0.382086,0.0494297,0
0.383658,0.0494055,0
0.38523,0.0493805,0
0.386803,0.0493548,0
0.388375,0.0493285,0
0.389947,0.0493015,0
0.39152,0.0492738,0
0.393092,0.0492453,0
0.394665,0.049216,0
0.396237,0.049186,0
0.397809,0.0491553,0
0.399382,0.0491238,0
0.400954,0.0490917,0
0.402526,0.0490588,0
0.404099,0.049025,0
0.405671,0.0489904,0
0.407243,0.0489551,0
0.408816,0.048919,0
0.410388,0.0488823,0
0.411961,0.0488447,0
0.413533,0.0488063,0
0.415105,0.048767,0
0.416678,0.048727,0
0.41825,0.0486861,0
0.419822,0.0486446,0
0.421395,0.0486022,0
0.422967,0.048559,0
0.42454,0.0485149,0
0.426112,0.04847,0
0.427684,0.0484243,0
0.429257,0.0483778,0
0.430829,0.0483305,0
0.432401,0.0482824,0
0.433974,0.0482333,0
0.435546,0.0481835,0
0.437118,0.0481327,0
0.438691,0.0480812,0
0.440263,0.0480289,0
0.441836,0.0479758,0
0.443408,0.0479217,0
0.44498,0.0478668,0
0.446553,0.047811,0
0.448125,0.0477544,0
0.449697,0.047697,0
0.45127,0.0476388,0
0.452842,0.0475797,0
0.454415,0.0475196,0
0.455987,0.0474587,0
0.457559,0.0473969,0
0.459132,0.0473344,0
0.460704,0.047271,0
0.462276,0.0472068,0
0.463849,0.0471416,0
0.465421,0.0470755,0
0.466994,0.0470086,0
0.468566,0.0469408,0
0.470138,0.0468723,0
0.471711,0.0468029,0
0.473283,0.0467325,0
0.474855,0.0466613,0
0.476428,0.0465891,0
0.478,0.0465162,0
0.479572,0.0464424,0
0.481145,0.0463678,0
0.482717,0.0462923,0
0.48429,0.0462158,0
0.485862,0.0461385,0
0.487434,0.0460603,0
0.489007,0.0459813,0
0.490579,0.0459015,0
0.492151,0.0458207,0
0.493724,0.0457391,0
0.495296,0.0456565,0
0.496869,0.0455731,0
0.498441,0.0454889,0
0.500013,0.0454038,0
0.501586,0.0453178,0
0.503158,0.045231,0
0.50473,0.0451432,0
0.506303,0.0450545,0
0.507875,0.044965,0
0.509447,0.0448746,0
0.51102,0.0447834,0
0.512592,0.0446913,0
0.514165,0.0445983,0
0.515737,0.0445044,0
0.517309,0.0444096,0
0.518882,0.0443139,0
0.520454,0.0442174,0
0.522026,0.04412,0
0.523599,0.0440217,0
0.525171,0.0439225,0
0.526744,0.0438224,0
0.528316,0.0437214,0
0.529888,0.0436196,0
0.531461,0.0435169,0
0.533033,0.0434132,0
0.534605,0.0433087,0
0.536178,0.0432032,0
0.53775,0.0430969,0
0.539322,0.0429897,0
0.540895,0.0428816,0
0.542467,0.0427726,0
0.54404,0.0426626,0
0.545612,0.0425518,0
0.547184,0.04244,0
0.548757,0.0423274,0
0.550329,0.0422138,0
0.551901,0.0420994,0
0.553474,0.041984,0
0.555046,0.0418677,0
0.556619,0.0417505,0
0.558191,0.0416323,0
0.559763,0.0415133,0
0.561336,0.0413934,0
0.562908,0.0412725,0
0.56448,0.0411506,0
0.566053,0.0410279,0
0.567625,0.0409042,0
0.569197,0.0407796,0
0.57077,0.0406541,0
0.572342,0.0405277,0
0.573915,0.0404003,0
0.575487,0.0402719,0
0.577059,0.0401426,0
0.578632,0.0400124,0
0.580204,0.0398813,0
0.581776,0.0397493,0
0.583349,0.0396163,0
0.584921,0.0394823,0
0.586494,0.0393474,0
0.588066,0.0392115,0
0.589638,0.0390747,0
0.591211,0.0389371,0
0.592783,0.0387984,0
0.594355,0.0386587,0
0.595928,0.0385182,0
0.5975,0.0383766,0
0.599072,0.0382342,0
0.600645,0.0380908,0
0.602217,0.0379465,0
0.60379,0.0378012,0
0.605362,0.037655,0
0.606934,0.0375078,0
0.608507,0.0373597,0
0.610079,0.0372107,0
0.611651,0.0370607,0
0.613224,0.0369098,0
0.614796,0.0367579,0
0.616369,0.0366051,0
0.617941,0.0364513,0
0.619513,0.0362967,0
0.621086,0.0361412,0
0.622658,0.0359847,0
0.62423,0.0358272,0
0.625803,0.0356688,0
0.627375,0.0355096,0
0.628947,0.0353494,0
0.63052,0.0351884,0
0.632092,0.0350264,0
0.633665,0.0348635,0
0.635237,0.0346997,0
0.636809,0.0345349,0
0.638382,0.0343694,0
0.639954,0.0342029,0
0.641526,0.0340356,0
0.643099,0.0338674,0
0.644671,0.0336983,0
0.646244,0.0335283,0
0.647816,0.0333575,0
0.649388,0.0331858,0
0.650961,0.0330134,0
0.652533,0.03284,0
0.654105,0.0326658,0
0.655678,0.0324907,0
0.65725,0.0323148,0
0.658822,0.0321382,0
0.660395,0.0319607,0
0.661967,0.0317825,0
0.66354,0.0316034,0
0.665112,0.0314235,0
0.666684,0.0312428,0
0.668257,0.0310613,0
0.669829,0.0308791,0
0.671401,0.0306962,0
0.672974,0.0305125,0
0.674546,0.030328,0
0.676119,0.0301428,0
0.677691,0.0299568,0
0.679263,0.0297702,0
0.680836,0.0295829,0
0.682408,0.0293949,0
0.68398,0.0292061,0
0.685553,0.0290166,0
0.687125,0.0288264,0
0.688697,0.0286356,0
0.69027,0.0284442,0
0.691842,0.0282522,0
0.693415,0.0280594,0
0.694987,0.027866,0
0.696559,0.0276719,0
0.698132,0.0274773,0
0.699704,0.0272821,0
0.701276,0.0270863,0
0.702849,0.0268899,0
0.704421,0.0266928,0
0.705994,0.0264952,0
0.707566,0.026297,0
0.709138,0.0260984,0
0.710711,0.0258992,0
0.712283,0.0256994,0
0.713855,0.0254991,0
0.715428,0.0252982,0
0.717,0.0250969,0
0.718572,0.024895,0
0.720145,0.0246927,0
0.721717,0.0244899,0
0.72329,0.0242866,0
0.724862,0.0240829,0
0.726434,0.0238786,0
0.728007,0.0236739,0
0.729579,0.0234688,0
0.731151,0.0232634,0
0.732724,0.0230574,0
0.734296,0.022851,0
0.735869,0.0226442,0
0.737441,0.022437,0
0.739013,0.0222294,0
0.740586,0.0220215,0
0.742158,0.0218132,0
0.74373,0.0216044,0
0.745303,0.0213953,0
0.746875,0.0211859,0
0.748447,0.0209761,0
0.75002,0.0207661,0
0.751592,0.0205557,0
0.753165,0.020345,0
0.754737,0.0201339,0
0.756309,0.0199225,0
0.757882,0.0197108,0
0.759454,0.0194989,0
0.761026,0.0192867,0
0.762599,0.0190742,0
0.764171,0.0188614,0
