# 20241029_111128
alpha,f0Re,f0Im
0,0.121239,0
0.0158666,0.121252,0
0.0317333,0.12129,0
0.0475999,0.121352,0
0.0634665,0.121435,0
0.0793331,0.121542,0
0.0951998,0.121672,0
0.111066,0.121824,0
0.126933,0.122,0
0.1428,0.122197,0
0.158666,0.122416,0
0.174533,0.122656,0
0.1904,0.122916,0
0.206266,0.123197,0
0.222133,0.123496,0
0.237999,0.123812,0
0.253866,0.124144,0
0.269733,0.12449,0
0.285599,0.124846,0
0.301466,0.12521,0
0.317333,0.125577,0
0.333199,0.125942,0
0.349066,0.126298,0
0.364932,0.126639,0
0.380799,0.126955,0
0.396666,0.127238,0
0.412532,0.127476,0
0.428399,0.127658,0
0.444266,0.127769,0
0.460132,0.127795,0
0.475999,0.12772,0
0.491866,0.127528,0
0.507732,0.127202,0
0.523599,0.126724,0
0.539465,0.126075,0
0.555332,0.125237,0
0.571199,0.124194,0
0.587065,0.122926,0
0.602932,0.121419,0
0.618799,0.119656,0
0.634665,0.117625,0
0.650532,0.115313,0
0.666398,0.112713,0
0.682265,0.109818,0
0.698132,0.106626,0
0.713998,0.103136,0
0.729865,0.0993552,0
0.745732,0.0952901,0
0.761598,0.0909532,0
0.777465,0.0863605,0
0.793332,0.0815315,0
0.809198,0.076489,0
0.825065,0.0712591,0
0.840931,0.0658702,0
0.856798,0.0603529,0
0.872665,0.054739,0
0.888531,0.0490612,0
0.904398,0.0433519,0
0.920265,0.0376428,0
0.936131,0.0319639,0
0.951998,0.026343,0
0.967864,0.0208054,0
0.983731,0.0153731,0
0.999598,0.0100649,0
1.01546,0.00489598,0
1.03133,-0.000121761,0
1.0472,-0.00497977,0
1.06306,-0.00967256,0
1.07893,-0.0141974,0
1.0948,-0.0185537,0
1.11066,-0.0227432,0
1.12653,-0.0267686,0
1.1424,-0.0306341,0
1.15826,-0.0343442,0
1.17413,-0.0379045,0
1.19,-0.0413205,0
1.20586,-0.0445987,0
1.22173,-0.0477457,0
1.2376,-0.0507687,0
1.25346,-0.053675,0
1.26933,-0.0564719,0
1.2852,-0.0591661,0
1.30106,-0.0617636,0
1.31693,-0.0642697,0
1.3328,-0.0666893,0
1.34866,-0.0690274,0
1.36453,-0.0712888,0
1.3804,-0.073479,0
1.39626,-0.0756026,0
1.41213,-0.0776636,0
1.428,-0.0796654,0
1.44386,-0.081611,0
1.45973,-0.0835041,0
1.4756,-0.0853487,0
1.49146,-0.0871477,0
1.50733,-0.0889027,0
1.5232,-0.0906153,0
1.53906,-0.0922878,0
1.55493,-0.0939192,0
1.5708,-0.0955037,0
