# 20241029_111229
alpha,f0Re,f0Im
0,0.114305,0
0.00157237,0.114307,0
0.00314474,0.114308,0
0.00471711,0.11431,0
0.00628947,0.114312,0
0.00786184,0.114313,0
0.00943421,0.114315,0
0.0110066,0.114317,0
0.0125789,0.114319,0
0.0141513,0.114321,0
0.0157237,0.114324,0
0.0172961,0.114327,0
0.0188684,0.114331,0
0.0204408,0.114335,0
0.0220132,0.11434,0
0.0235855,0.114345,0
0.0251579,0.114351,0
0.0267303,0.114357,0
0.0283026,0.114364,0
0.029875,0.11437,0
0.0314474,0.114377,0
0.0330197,0.114384,0
0.0345921,0.114391,0
0.0361645,0.114399,0
0.0377368,0.114407,0
0.0393092,0.114415,0
0.0408816,0.114424,0
0.042454,0.114433,0
0.0440263,0.114443,0
0.0455987,0.114452,0
0.0471711,0.114462,0
0.0487434,0.114472,0
0.0503158,0.114483,0
0.0518882,0.114493,0
0.0534605,0.114505,0
0.0550329,0.114516,0
0.0566053,0.114528,0
0.0581776,0.114541,0
0.05975,0.114553,0
0.0613224,0.114566,0
0.0628947,0.114579,0
0.0644671,0.114592,0
0.0660395,0.114606,0
0.0676119,0.11462,0
0.0691842,0.114635,0
0.0707566,0.11465,0
0.072329,0.114665,0
0.0739013,0.11468,0
0.0754737,0.114696,0
0.0770461,0.114712,0
0.0786184,0.114728,0
0.0801908,0.114745,0
0.0817632,0.114762,0
0.0833355,0.114779,0
0.0849079,0.114797,0
0.0864803,0.114815,0
0.0880526,0.114833,0
0.089625,0.114852,0
0.0911974,0.114871,0
0.0927698,0.114891,0
0.0943421,0.11491,0
0.0959145,0.11493,0
0.0974869,0.11495,0
0.0990592,0.114971,0
0.100632,0.114992,0
0.102204,0.115013,0
0.103776,0.115035,0
0.105349,0.115057,0
0.106921,0.115079,0
0.108493,0.115102,0
0.110066,0.115125,0
0.111638,0.115148,0
0.113211,0.115172,0
0.114783,0.115196,0
0.116355,0.11522,0
0.117928,0.115244,0
0.1195,0.115269,0
0.121072,0.115295,0
0.122645,0.11532,0
0.124217,0.115346,0
0.125789,0.115372,0
0.127362,0.115399,0
0.128934,0.115426,0
0.130507,0.115453,0
0.132079,0.115481,0
0.133651,0.115509,0
0.135224,0.115537,0
0.136796,0.115565,0
0.138368,0.115594,0
0.139941,0.115623,0
0.141513,0.115653,0
0.143086,0.115683,0
0.144658,0.115713,0
0.14623,0.115743,0
0.147803,0.115774,0
0.149375,0.115805,0
0.150947,0.115837,0
0.15252,0.115869,0
0.154092,0.115901,0
0.155665,0.115933,0
0.157237,0.115966,0
0.158809,0.115999,0
0.160382,0.116033,0
0.161954,0.116066,0
0.163526,0.116101,0
0.165099,0.116135,0
0.166671,0.11617,0
0.168243,0.116205,0
0.169816,0.11624,0
0.171388,0.116276,0
0.172961,0.116312,0
0.174533,0.116349,0
0.176105,0.116385,0
0.177678,0.116422,0
0.17925,0.11646,0
0.180822,0.116497,0
0.182395,0.116535,0
0.183967,0.116574,0
0.18554,0.116613,0
0.187112,0.116652,0
0.188684,0.116691,0
0.190257,0.116731,0
0.191829,0.116771,0
0.193401,0.116811,0
0.194974,0.116852,0
0.196546,0.116893,0
0.198118,0.116934,0
0.199691,0.116976,0
0.201263,0.117017,0
0.202836,0.11706,0
0.204408,0.117102,0
0.20598,0.117145,0
0.207553,0.117188,0
0.209125,0.117232,0
0.210697,0.117276,0
0.21227,0.11732,0
0.213842,0.117365,0
0.215415,0.11741,0
0.216987,0.117455,0
0.218559,0.1175,0
0.220132,0.117546,0
0.221704,0.117592,0
0.223276,0.117639,0
0.224849,0.117686,0
0.226421,0.117733,0
0.227993,0.11778,0
0.229566,0.117828,0
0.231138,0.117876,0
0.232711,0.117925,0
0.234283,0.117973,0
0.235855,0.118022,0
0.237428,0.118072,0
0.239,0.118121,0
0.240572,0.118171,0
0.242145,0.118222,0
0.243717,0.118272,0
0.24529,0.118323,0
0.246862,0.118375,0
0.248434,0.118426,0
0.250007,0.118478,0
