# 20241029_111647
# initdata:	data/init_real_m140_consteps_20241029_110232/R4.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,67304,0
0.0100503,62825,0
0.0201005,51145.1,0
0.0301508,36477.3,0
0.040201,23126,0
0.0502513,13529,0
0.0603015,7846.83,0
0.0703518,4898.92,0
0.080402,3377.85,0
0.0904523,2479.3,0
0.100503,1870.11,0
0.110553,1422.76,0
0.120603,1068.67,0
0.130653,786.76,0
0.140704,591.416,0
0.150754,479.139,0
0.160804,404.343,0
0.170854,320.851,0
0.180905,229.604,0
0.190955,166.17,0
0.201005,147.221,0
0.211055,147.726,0
0.221106,133.673,0
0.231156,101.664,0
0.241206,74.9106,0
0.251256,67.8671,0
0.261307,69.11,0
0.271357,60.5131,0
0.281407,41.4955,0
0.291457,26.347,0
0.301508,23.1263,0
0.311558,24.8316,0
0.321608,21.8046,0
0.331658,14.8846,0
0.341709,11.7324,0
0.351759,14.5156,0
0.361809,17.316,0
0.371859,15.1755,0
0.38191,10.4849,0
0.39196,8.37582,0
0.40201,9.2639,0
0.41206,9.23462,0
0.422111,6.38516,0
0.432161,3.28504,0
0.442211,2.74103,0
0.452261,3.88621,0
0.462312,4.05392,0
0.472362,2.85559,0
0.482412,2.28859,0
0.492462,3.31716,0
0.502513,4.396,0
0.512563,3.87807,0
0.522613,2.35713,0
0.532663,1.5667,0
0.542714,1.84325,0
0.552764,1.96308,0
0.562814,1.23399,0
0.572864,0.481023,0
0.582915,0.63015,0
0.592965,1.28955,0
0.603015,1.44111,0
0.613065,0.988868,0
0.623116,0.77043,0
0.633166,1.17306,0
0.643216,1.55586,0
0.653266,1.26301,0
0.663317,0.584642,0
0.673367,0.260055,0
0.683417,0.408067,0
0.693467,0.501812,0
0.703518,0.279375,0
0.713568,0.113388,0
0.723618,0.34632,0
0.733668,0.714051,0
0.743719,0.74335,0
0.753769,0.454346,0
0.763819,0.287617,0
0.773869,0.422417,0
0.78392,0.55068,0
0.79397,0.391387,0
0.80402,0.109646,0
0.81407,0.0306615,0
0.824121,0.152777,0
0.834171,0.207627,0
0.844221,0.112328,0
0.854271,0.0801119,0
0.864322,0.246515,0
0.874372,0.428904,0
0.884422,0.391233,0
0.894472,0.188663,0
0.904523,0.0696348,0
0.914573,0.113361,0
0.924623,0.15732,0
0.934673,0.0856209,0
0.944724,0.00319033,0
0.954774,0.0454374,0
0.964824,0.153692,0
0.974874,0.171556,0
0.984925,0.0929746,0
0.994975,0.0660911,0
1.00503,0.15608,0
1.01508,0.241677,0
1.02513,0.197197,0
1.03518,0.0722019,0
1.04523,0.00544043,0
1.05528,0.0258311,0
1.06533,0.043063,0
1.07538,0.013585,0
1.08543,0.0050444,0
1.09548,0.0691458,0
1.10553,0.141404,0
1.11558,0.131694,0
1.12563,0.0601923,0
1.13568,0.0259539,0
1.14573,0.0608286,0
1.15578,0.0929258,0
1.16583,0.0643561,0
1.17588,0.0140829,0
1.18593,0.00683919,0
1.19598,0.0330119,0
1.20603,0.0359085,0
1.21608,0.0115448,0
1.22613,0.0159663,0
1.23618,0.0703615,0
1.24623,0.117583,0
1.25628,0.100171,0
1.26633,0.040526,0
1.27638,0.00494189,0
1.28643,0.0124472,0
1.29648,0.0241509,0
1.30653,0.0151951,0
1.31658,0.00932238,0
1.32663,0.0288406,0
1.33668,0.050478,0
1.34673,0.0411571,0
1.35678,0.0141155,0
1.36683,0.0124293,0
1.37688,0.0439479,0
1.38693,0.0678456,0
1.39698,0.0528511,0
1.40704,0.0184736,0
1.41709,0.00163576,0
1.42714,0.00551422,0
1.43719,0.00682652,0
1.44724,0.00084933,0
1.45729,0.00821341,0
1.46734,0.0351711,0
1.47739,0.0551796,0
1.48744,0.0441597,0
1.49749,0.0157864,0
1.50754,0.00256861,0
1.51759,0.0124341,0
1.52764,0.0238851,0
1.53769,0.0214441,0
1.54774,0.0143585,0
1.55779,0.0148122,0
1.56784,0.0166518,0
1.57789,0.00940736,0
1.58794,0.00127337,0
1.59799,0.00989585,0
1.60804,0.0333189,0
1.61809,0.0474859,0
1.62814,0.0368066,0
1.63819,0.0138003,0
1.64824,0.000714865,0
1.65829,0.00206742,0
1.66834,0.0062639,0
1.67839,0.007517,0
1.68844,0.011688,0
1.69849,0.0204677,0
1.70854,0.0238185,0
1.71859,0.0148262,0
1.72864,0.00288183,0
1.73869,0.00258521,0
1.74874,0.0139748,0
1.75879,0.0230895,0
1.76884,0.0209452,0
1.77889,0.0127894,0
1.78894,0.00701961,0
1.79899,0.00392879,0
1.80905,0.000777527,0
1.8191,0.00113717,0
1.82915,0.0104283,0
1.8392,0.0241943,0
1.84925,0.029589,0
1.8593,0.0207616,0
1.86935,0.00669818,0
1.8794,0.000289947,0
1.88945,0.00399032,0
1.8995,0.0104625,0
1.90955,0.0138515,0
1.9196,0.0144505,0
1.92965,0.0133447,0
1.9397,0.0092064,0
1.94975,0.00288006,0
1.9598,0.000149443,0
1.96985,0.0054908,0
1.9799,0.0150266,0
1.98995,0.0198635,0
2,0.0160853,0
