# 20241029_111920
alpha,field0Re,field0Im
0,0.0571525,0
0.00157237,0.0571561,0
0.00314474,0.0571595,0
0.00471711,0.0571627,0
0.00628947,0.0571659,0
0.00786184,0.0571691,0
0.00943421,0.0571725,0
0.0110066,0.0571762,0
0.0125789,0.0571803,0
0.0141513,0.0571849,0
0.0157237,0.0571901,0
0.0172961,0.0571962,0
0.0188684,0.0572038,0
0.0204408,0.0572127,0
0.0220132,0.0572226,0
0.0235855,0.0572334,0
0.0251579,0.057245,0
0.0267303,0.0572573,0
0.0283026,0.05727,0
0.029875,0.057283,0
0.0314474,0.0572962,0
0.0330197,0.0573098,0
0.0345921,0.0573243,0
0.0361645,0.0573398,0
0.0377368,0.057356,0
0.0393092,0.0573731,0
0.0408816,0.0573908,0
0.042454,0.0574092,0
0.0440263,0.0574281,0
0.0455987,0.0574474,0
0.0471711,0.0574672,0
0.0487434,0.0574874,0
0.0503158,0.0575084,0
0.0518882,0.0575303,0
0.0534605,0.057553,0
0.0550329,0.0575764,0
0.0566053,0.0576005,0
0.0581776,0.0576252,0
0.05975,0.0576505,0
0.0613224,0.0576763,0
0.0628947,0.0577026,0
0.0644671,0.0577294,0
0.0660395,0.0577571,0
0.0676119,0.0577855,0
0.0691842,0.0578147,0
0.0707566,0.0578447,0
0.072329,0.0578753,0
0.0739013,0.0579066,0
0.0754737,0.0579385,0
0.0770461,0.0579709,0
0.0786184,0.0580039,0
0.0801908,0.0580375,0
0.0817632,0.0580718,0
0.0833355,0.058107,0
0.0849079,0.0581429,0
0.0864803,0.0581795,0
0.0880526,0.0582169,0
0.089625,0.0582549,0
0.0911974,0.0582936,0
0.0927698,0.0583329,0
0.0943421,0.0583727,0
0.0959145,0.0584131,0
0.0974869,0.0584543,0
0.0990592,0.0584963,0
0.100632,0.0585391,0
0.102204,0.0585826,0
0.103776,0.0586269,0
0.105349,0.0586718,0
0.106921,0.0587174,0
0.108493,0.0587637,0
0.110066,0.0588105,0
0.111638,0.0588579,0
0.113211,0.0589061,0
0.114783,0.0589551,0
0.116355,0.0590049,0
0.117928,0.0590555,0
0.1195,0.0591067,0
0.121072,0.0591587,0
0.122645,0.0592114,0
0.124217,0.0592647,0
0.125789,0.0593187,0
0.127362,0.0593732,0
0.128934,0.0594285,0
0.130507,0.0594847,0
0.132079,0.0595416,0
0.133651,0.0595993,0
0.135224,0.0596578,0
0.136796,0.059717,0
0.138368,0.0597769,0
0.139941,0.0598374,0
0.141513,0.0598986,0
0.143086,0.0599605,0
0.144658,0.0600231,0
0.14623,0.0600866,0
0.147803,0.0601508,0
0.149375,0.0602158,0
0.150947,0.0602816,0
0.15252,0.0603482,0
0.154092,0.0604154,0
0.155665,0.0604834,0
0.157237,0.0605521,0
0.158809,0.0606214,0
0.160382,0.0606915,0
0.161954,0.0607624,0
0.163526,0.0608342,0
0.165099,0.0609068,0
0.166671,0.0609801,0
0.168243,0.0610542,0
0.169816,0.0611291,0
0.171388,0.0612047,0
0.172961,0.061281,0
0.174533,0.0613581,0
0.176105,0.0614359,0
0.177678,0.0615146,0
0.17925,0.0615941,0
0.180822,0.0616744,0
0.182395,0.0617556,0
0.183967,0.0618375,0
0.18554,0.0619203,0
0.187112,0.0620038,0
0.188684,0.062088,0
0.190257,0.062173,0
0.191829,0.0622588,0
0.193401,0.0623455,0
0.194974,0.0624331,0
0.196546,0.0625215,0
0.198118,0.0626107,0
0.199691,0.0627008,0
0.201263,0.0627917,0
0.202836,0.0628834,0
0.204408,0.0629759,0
0.20598,0.0630692,0
0.207553,0.0631633,0
0.209125,0.0632583,0
0.210697,0.0633542,0
0.21227,0.063451,0
0.213842,0.0635487,0
0.215415,0.0636472,0
0.216987,0.0637466,0
0.218559,0.0638469,0
0.220132,0.0639479,0
0.221704,0.0640498,0
0.223276,0.0641525,0
0.224849,0.0642562,0
0.226421,0.0643608,0
0.227993,0.0644664,0
0.229566,0.0645728,0
0.231138,0.0646801,0
0.232711,0.0647884,0
0.234283,0.0648975,0
0.235855,0.0650075,0
0.237428,0.0651183,0
