# 20241029_112203
alpha,Df0Re,Df0Im
0,-0.224879,0
0.0158666,-0.225775,0
0.0317333,-0.226144,0
0.0475999,-0.226591,0
0.0634665,-0.227265,0
0.0793331,-0.228156,0
0.0951998,-0.229227,0
0.111066,-0.230461,0
0.126933,-0.231861,0
0.1428,-0.233439,0
0.158666,-0.23521,0
0.174533,-0.23718,0
0.1904,-0.239347,0
0.206266,-0.241701,0
0.222133,-0.24423,0
0.237999,-0.24692,0
0.253866,-0.249756,0
0.269733,-0.252727,0
0.285599,-0.255819,0
0.301466,-0.259019,0
0.317333,-0.262305,0
0.333199,-0.265649,0
0.349066,-0.269016,0
0.364932,-0.27236,0
0.380799,-0.275624,0
0.396666,-0.278748,0
0.412532,-0.281661,0
0.428399,-0.284291,0
0.444266,-0.286561,0
0.460132,-0.288392,0
0.475999,-0.289707,0
0.491866,-0.290426,0
0.507732,-0.290467,0
0.523599,-0.289749,0
0.539465,-0.288191,0
0.555332,-0.285711,0
0.571199,-0.282232,0
0.587065,-0.277681,0
0.602932,-0.271997,0
0.618799,-0.265131,0
0.634665,-0.257051,0
0.650532,-0.247746,0
0.666398,-0.237229,0
0.682265,-0.225536,0
0.698132,-0.212726,0
0.713998,-0.198884,0
0.729865,-0.184113,0
0.745732,-0.16854,0
0.761598,-0.152308,0
0.777465,-0.135579,0
0.793332,-0.118529,0
0.809198,-0.10135,0
0.825065,-0.084241,0
0.840931,-0.0674071,0
0.856798,-0.0510519,0
0.872665,-0.0353687,0
0.888531,-0.0205326,0
0.904398,-0.0066924,0
0.920265,0.00603559,0
0.936131,0.0175709,0
0.951998,0.0278694,0
0.967864,0.0369205,0
0.983731,0.0447436,0
0.999598,0.0513818,0
1.01546,0.056898,0
1.03133,0.0613702,0
1.0472,0.064889,0
1.06306,0.067554,0
1.07893,0.0694707,0
1.0948,0.0707456,0
1.11066,0.0714795,0
1.12653,0.0717622,0
1.1424,0.0716671,0
1.15826,0.0712511,0
1.17413,0.0705586,0
1.19,0.0696304,0
1.20586,0.0685129,0
1.22173,0.0672642,0
1.2376,0.0659514,0
1.25346,0.064639,0
1.26933,0.0633695,0
1.2852,0.0621481,0
1.30106,0.0609403,0
1.31693,0.059691,0
1.3328,0.0583632,0
1.34866,0.056977,0
1.36453,0.0556235,0
1.3804,0.0544324,0
1.39626,0.0535021,0
1.41213,0.0528431,0
1.428,0.0524081,0
1.44386,0.0522409,0
1.45973,0.0526562,0
1.4756,0.0542151,0
1.49146,0.0573167,0
1.50733,0.0617411,0
1.5232,0.0672997,0
1.53906,0.0763589,0
1.55493,0.0953067,0
1.5708,0.135062,0
