# 20241029_112203
alpha,Dfield0Re,Dfield0Im
0,-0.224879,0
0.00157237,-0.224971,0
0.00314474,-0.225068,0
0.00471711,-0.225168,0
0.00628947,-0.225269,0
0.00786184,-0.225369,0
0.00943421,-0.225465,0
0.0110066,-0.225555,0
0.0125789,-0.225638,0
0.0141513,-0.22571,0
0.0157237,-0.22577,0
0.0172961,-0.225819,0
0.0188684,-0.225863,0
0.0204408,-0.225901,0
0.0220132,-0.225937,0
0.0235855,-0.22597,0
0.0251579,-0.226001,0
0.0267303,-0.226033,0
0.0283026,-0.226065,0
0.029875,-0.226099,0
0.0314474,-0.226137,0
0.0330197,-0.226177,0
0.0345921,-0.226217,0
0.0361645,-0.226258,0
0.0377368,-0.226299,0
0.0393092,-0.226341,0
0.0408816,-0.226385,0
0.042454,-0.22643,0
0.0440263,-0.226477,0
0.0455987,-0.226526,0
0.0471711,-0.226577,0
0.0487434,-0.226631,0
0.0503158,-0.226689,0
0.0518882,-0.226749,0
0.0534605,-0.226812,0
0.0550329,-0.226878,0
0.0566053,-0.226946,0
0.0581776,-0.227017,0
0.05975,-0.227089,0
0.0613224,-0.227163,0
0.0628947,-0.227238,0
0.0644671,-0.227314,0
0.0660395,-0.227394,0
0.0676119,-0.227476,0
0.0691842,-0.227561,0
0.0707566,-0.227649,0
0.072329,-0.227738,0
0.0739013,-0.227829,0
0.0754737,-0.227922,0
0.0770461,-0.228017,0
0.0786184,-0.228112,0
0.0801908,-0.228209,0
0.0817632,-0.228308,0
0.0833355,-0.228409,0
0.0849079,-0.228512,0
0.0864803,-0.228617,0
0.0880526,-0.228723,0
0.089625,-0.228832,0
0.0911974,-0.228942,0
0.0927698,-0.229053,0
0.0943421,-0.229166,0
0.0959145,-0.229279,0
0.0974869,-0.229395,0
0.0990592,-0.229512,0
0.100632,-0.229631,0
0.102204,-0.229752,0
0.103776,-0.229874,0
0.105349,-0.229998,0
0.106921,-0.230124,0
0.108493,-0.230251,0
0.110066,-0.230379,0
0.111638,-0.230509,0
0.113211,-0.23064,0
0.114783,-0.230774,0
0.116355,-0.230909,0
0.117928,-0.231045,0
0.1195,-0.231184,0
0.121072,-0.231324,0
0.122645,-0.231466,0
0.124217,-0.231609,0
0.125789,-0.231754,0
0.127362,-0.231901,0
0.128934,-0.232049,0
0.130507,-0.2322,0
0.132079,-0.232352,0
0.133651,-0.232506,0
0.135224,-0.232662,0
0.136796,-0.23282,0
0.138368,-0.23298,0
0.139941,-0.233141,0
0.141513,-0.233304,0
0.143086,-0.233469,0
0.144658,-0.233636,0
0.14623,-0.233805,0
0.147803,-0.233976,0
0.149375,-0.234149,0
0.150947,-0.234324,0
0.15252,-0.234501,0
0.154092,-0.23468,0
0.155665,-0.23486,0
0.157237,-0.235043,0
0.158809,-0.235227,0
0.160382,-0.235413,0
0.161954,-0.235601,0
0.163526,-0.235792,0
0.165099,-0.235984,0
0.166671,-0.236179,0
0.168243,-0.236376,0
0.169816,-0.236574,0
0.171388,-0.236774,0
0.172961,-0.236976,0
0.174533,-0.23718,0
0.176105,-0.237386,0
0.177678,-0.237593,0
0.17925,-0.237803,0
0.180822,-0.238016,0
0.182395,-0.23823,0
0.183967,-0.238445,0
0.18554,-0.238663,0
0.187112,-0.238883,0
0.188684,-0.239104,0
0.190257,-0.239327,0
0.191829,-0.239551,0
0.193401,-0.239778,0
0.194974,-0.240006,0
0.196546,-0.240237,0
0.198118,-0.24047,0
0.199691,-0.240704,0
0.201263,-0.24094,0
0.202836,-0.241178,0
0.204408,-0.241417,0
0.20598,-0.241657,0
0.207553,-0.2419,0
0.209125,-0.242144,0
0.210697,-0.24239,0
0.21227,-0.242638,0
0.213842,-0.242888,0
0.215415,-0.243139,0
0.216987,-0.243392,0
0.218559,-0.243647,0
0.220132,-0.243903,0
0.221704,-0.24416,0
0.223276,-0.244419,0
0.224849,-0.244679,0
0.226421,-0.244941,0
0.227993,-0.245205,0
0.229566,-0.245471,0
0.231138,-0.245738,0
0.232711,-0.246006,0
0.234283,-0.246276,0
0.235855,-0.246548,0
0.237428,-0.24682,0
0.239,-0.247094,0
0.240572,-0.247369,0
0.242145,-0.247646,0
0.243717,-0.247925,0
0.24529,-0.248205,0
0.246862,-0.248487,0
0.248434,-0.248769,0
0.250007,-0.249053,0
0.251579,-0.249339,0
0.253151,-0.249625,0
0.254724,-0.249913,0
0.256296,-0.250202,0
0.257868,-0.250493,0
0.259441,-0.250785,0
0.261013,-0.251078,0
0.262586,-0.251373,0
0.264158,-0.251668,0
0.26573,-0.251966,0
0.267303,-0.252264,0
0.268875,-0.252563,0
0.270447,-0.252863,0
0.27202,-0.253165,0
0.273592,-0.253468,0
0.275165,-0.253772,0
0.276737,-0.254078,0
0.278309,-0.254384,0
0.279882,-0.254692,0
0.281454,-0.255001,0
0.283026,-0.255311,0
0.284599,-0.255621,0
0.286171,-0.255933,0
0.287743,-0.256246,0
0.289316,-0.25656,0
0.290888,-0.256875,0
0.292461,-0.257191,0
0.294033,-0.257508,0
0.295605,-0.257826,0
0.297178,-0.258145,0
0.29875,-0.258465,0
0.300322,-0.258785,0
0.301895,-0.259107,0
0.303467,-0.259429,0
0.30504,-0.259752,0
0.306612,-0.260076,0
0.308184,-0.260401,0
0.309757,-0.260727,0
0.311329,-0.261053,0
0.312901,-0.26138,0
0.314474,-0.261708,0
0.316046,-0.262036,0
0.317618,-0.262364,0
0.319191,-0.262694,0
0.320763,-0.263024,0
0.322336,-0.263354,0
0.323908,-0.263685,0
0.32548,-0.264017,0
0.327053,-0.264349,0
0.328625,-0.264682,0
0.330197,-0.265014,0
0.33177,-0.265347,0
0.333342,-0.26568,0
0.334915,-0.266013,0
0.336487,-0.266346,0
0.338059,-0.26668,0
0.339632,-0.267014,0
0.341204,-0.267348,0
0.342776,-0.267682,0
0.344349,-0.268016,0
0.345921,-0.26835,0
0.347493,-0.268684,0
0.349066,-0.269016,0
0.350638,-0.269349,0
0.352211,-0.269682,0
0.353783,-0.270015,0
0.355355,-0.270347,0
0.356928,-0.270679,0
0.3585,-0.271011,0
0.360072,-0.271342,0
0.361645,-0.271672,0
0.363217,-0.272002,0
0.36479,-0.27233,0
0.366362,-0.272657,0
0.367934,-0.272984,0
0.369507,-0.273311,0
0.371079,-0.273637,0
0.372651,-0.273962,0
0.374224,-0.274286,0
0.375796,-0.274608,0
0.377368,-0.27493,0
0.378941,-0.275249,0
0.380513,-0.275567,0
0.382086,-0.275883,0
0.383658,-0.276199,0
0.38523,-0.276513,0
0.386803,-0.276826,0
0.388375,-0.277138,0
0.389947,-0.277448,0
0.39152,-0.277756,0
0.393092,-0.278062,0
0.394665,-0.278365,0
0.396237,-0.278666,0
0.397809,-0.278965,0
0.399382,-0.279262,0
0.400954,-0.279558,0
0.402526,-0.279852,0
0.404099,-0.280144,0
0.405671,-0.280433,0
0.407243,-0.28072,0
0.408816,-0.281004,0
0.410388,-0.281284,0
0.411961,-0.281561,0
0.413533,-0.281835,0
0.415105,-0.282107,0
0.416678,-0.282377,0
0.41825,-0.282645,0
0.419822,-0.282909,0
0.421395,-0.283171,0
0.422967,-0.283429,0
0.42454,-0.283684,0
0.426112,-0.283934,0
0.427684,-0.28418,0
0.429257,-0.284422,0
0.430829,-0.284661,0
0.432401,-0.284898,0
0.433974,-0.285132,0
0.435546,-0.285363,0
0.437118,-0.28559,0
0.438691,-0.285812,0
0.440263,-0.28603,0
0.441836,-0.286243,0
0.443408,-0.28645,0
0.44498,-0.286652,0
0.446553,-0.286851,0
0.448125,-0.287047,0
0.449697,-0.28724,0
0.45127,-0.287429,0
0.452842,-0.287613,0
0.454415,-0.287793,0
0.455987,-0.287967,0
0.457559,-0.288134,0
0.459132,-0.288294,0
0.460704,-0.288447,0
0.462276,-0.288598,0
0.463849,-0.288746,0
0.465421,-0.288891,0
0.466994,-0.289032,0
0.468566,-0.289168,0
0.470138,-0.289297,0
0.471711,-0.289419,0
0.473283,-0.289533,0
0.474855,-0.289638,0
0.476428,-0.289733,0
0.478,-0.289827,0
0.479572,-0.289923,0
0.481145,-0.290017,0
0.482717,-0.290108,0
0.48429,-0.290191,0
0.485862,-0.290266,0
0.487434,-0.29033,0
0.489007,-0.29038,0
0.490579,-0.290413,0
0.492151,-0.290427,0
0.493724,-0.290435,0
0.495296,-0.290441,0
0.496869,-0.290447,0
0.498441,-0.290452,0
0.500013,-0.290457,0
0.501586,-0.29046,0
0.503158,-0.290463,0
0.50473,-0.290465,0
0.506303,-0.290467,0
0.507875,-0.290467,0
0.509447,-0.290454,0
0.51102,-0.290421,0
0.512592,-0.29037,0
0.514165,-0.290305,0
0.515737,-0.290227,0
0.517309,-0.29014,0
0.518882,-0.290046,0
0.520454,-0.289948,0
0.522026,-0.289848,0
0.523599,-0.289749,0
0.525171,-0.289644,0
0.526744,-0.289525,0
0.528316,-0.289393,0
0.529888,-0.289248,0
0.531461,-0.289094,0
0.533033,-0.28893,0
0.534605,-0.288758,0
0.536178,-0.28858,0
0.53775,-0.288396,0
0.539322,-0.288208,0
0.540895,-0.288013,0
0.542467,-0.287804,0
0.54404,-0.287583,0
0.545612,-0.287351,0
0.547184,-0.287108,0
0.548757,-0.286855,0
0.550329,-0.286593,0
0.551901,-0.286323,0
0.553474,-0.286046,0
0.555046,-0.285763,0
0.556619,-0.285472,0
0.558191,-0.285167,0
0.559763,-0.28485,0
0.561336,-0.284521,0
0.562908,-0.284181,0
0.56448,-0.283831,0
0.566053,-0.28347,0
0.567625,-0.283101,0
0.569197,-0.282723,0
0.57077,-0.282338,0
0.572342,-0.281944,0
0.573915,-0.281536,0
0.575487,-0.281116,0
0.577059,-0.280684,0
0.578632,-0.280239,0
0.580204,-0.279784,0
0.581776,-0.279318,0
0.583349,-0.278842,0
0.584921,-0.278357,0
0.586494,-0.277863,0
0.588066,-0.27736,0
0.589638,-0.276843,0
0.591211,-0.276313,0
0.592783,-0.27577,0
0.594355,-0.275215,0
0.595928,-0.274649,0
0.5975,-0.274071,0
0.599072,-0.273483,0
0.600645,-0.272884,0
0.602217,-0.272277,0
0.60379,-0.271659,0
0.605362,-0.271028,0
0.606934,-0.270383,0
0.608507,-0.269725,0
0.610079,-0.269054,0
0.611651,-0.268372,0
0.613224,-0.267678,0
0.614796,-0.266972,0
0.616369,-0.266257,0
0.617941,-0.265531,0
0.619513,-0.264795,0
0.621086,-0.264046,0
0.622658,-0.263282,0
0.62423,-0.262506,0
0.625803,-0.261716,0
0.627375,-0.260915,0
0.628947,-0.260101,0
0.63052,-0.259276,0
0.632092,-0.25844,0
0.633665,-0.257594,0
0.635237,-0.256738,0
0.636809,-0.255869,0
0.638382,-0.254985,0
0.639954,-0.254089,0
0.641526,-0.253179,0
0.643099,-0.252257,0
0.644671,-0.251323,0
0.646244,-0.250378,0
0.647816,-0.249422,0
0.649388,-0.248455,0
0.650961,-0.247479,0
0.652533,-0.24649,0
0.654105,-0.245487,0
0.655678,-0.24447,0
0.65725,-0.243441,0
0.658822,-0.2424,0
0.660395,-0.241347,0
0.661967,-0.240284,0
0.66354,-0.239209,0
0.665112,-0.238124,0
0.666684,-0.23703,0
0.668257,-0.235923,0
0.669829,-0.234803,0
0.671401,-0.23367,0
0.672974,-0.232525,0
0.674546,-0.231368,0
0.676119,-0.2302,0
0.677691,-0.229021,0
0.679263,-0.227832,0
0.680836,-0.226634,0
0.682408,-0.225426,0
0.68398,-0.224206,0
0.685553,-0.222975,0
0.687125,-0.221731,0
0.688697,-0.220475,0
0.69027,-0.219208,0
0.691842,-0.217931,0
0.693415,-0.216644,0
0.694987,-0.215347,0
0.696559,-0.214041,0
0.698132,-0.212726,0
0.699704,-0.211402,0
0.701276,-0.210065,0
0.702849,-0.208717,0
0.704421,-0.207359,0
0.705994,-0.205991,0
0.707566,-0.204612,0
0.709138,-0.203225,0
0.710711,-0.201829,0
0.712283,-0.200424,0
0.713855,-0.199012,0
0.715428,-0.197591,0
0.717,-0.19616,0
0.718572,-0.194718,0
0.720145,-0.193267,0
0.721717,-0.191807,0
0.72329,-0.190338,0
0.724862,-0.188861,0
0.726434,-0.187376,0
0.728007,-0.185884,0
0.729579,-0.184386,0
0.731151,-0.18288,0
0.732724,-0.181365,0
0.734296,-0.179842,0
0.735869,-0.178309,0
0.737441,-0.176769,0
0.739013,-0.175222,0
0.740586,-0.173667,0
0.742158,-0.172107,0
0.74373,-0.170541,0
0.745303,-0.168969,0
0.746875,-0.167392,0
0.748447,-0.165807,0
0.75002,-0.164214,0
0.751592,-0.162615,0
0.753165,-0.161009,0
0.754737,-0.159397,0
0.756309,-0.15778,0
0.757882,-0.156158,0
0.759454,-0.154531,0
0.761026,-0.152901,0
0.762599,-0.151268,0
0.764171,-0.149627,0
0.765744,-0.147981,0
0.767316,-0.14633,0
0.768888,-0.144674,0
0.770461,-0.143013,0
0.772033,-0.141349,0
0.773605,-0.139682,0
0.775178,-0.138012,0
0.77675,-0.136339,0
0.778323,-0.134665,0
0.779895,-0.132987,0
0.781467,-0.131304,0
0.78304,-0.129618,0
0.784612,-0.127928,0
0.786184,-0.126236,0
0.787757,-0.124542,0
0.789329,-0.122847,0
0.790901,-0.121151,0
0.792474,-0.119455,0
0.794046,-0.117758,0
0.795619,-0.116059,0
0.797191,-0.114358,0
0.798763,-0.112655,0
0.800336,-0.110951,0
0.801908,-0.109246,0
0.80348,-0.107541,0
0.805053,-0.105837,0
0.806625,-0.104133,0
0.808198,-0.102432,0
0.80977,-0.100732,0
0.811342,-0.0990323,0
0.812915,-0.0973319,0
0.814487,-0.0956316,0
0.816059,-0.0939319,0
0.817632,-0.0922336,0
0.819204,-0.0905371,0
0.820776,-0.0888432,0
0.822349,-0.0871524,0
0.823921,-0.0854652,0
0.825494,-0.0837823,0
0.827066,-0.0821012,0
0.828638,-0.0804215,0
0.830211,-0.0787439,0
0.831783,-0.0770688,0
0.833355,-0.075397,0
0.834928,-0.073729,0
0.8365,-0.0720656,0
0.838073,-0.0704072,0
0.839645,-0.0687546,0
0.841217,-0.0671082,0
0.84279,-0.065466,0
0.844362,-0.063827,0
0.845934,-0.0621919,0
0.847507,-0.0605613,0
0.849079,-0.0589358,0
0.850651,-0.0573162,0
0.852224,-0.0557029,0
0.853796,-0.0540966,0
0.855369,-0.052498,0
0.856941,-0.0509077,0
0.858513,-0.0493236,0
0.860086,-0.0477446,0
0.861658,-0.0461712,0
0.86323,-0.0446042,0
0.864803,-0.043044,0
0.866375,-0.0414914,0
0.867948,-0.039947,0
0.86952,-0.0384113,0
0.871092,-0.036885,0
0.872665,-0.0353687,0
0.874237,-0.0338608,0
0.875809,-0.0323595,0
0.877382,-0.0308655,0
0.878954,-0.0293794,0
0.880526,-0.0279018,0
0.882099,-0.0264332,0
0.883671,-0.0249743,0
0.885244,-0.0235257,0
0.886816,-0.0220879,0
0.888388,-0.0206617,0
0.889961,-0.0192456,0
0.891533,-0.0178376,0
0.893105,-0.0164382,0
