# 20241029_113244
# initdata:	data/init_real_m140_constfield_20241029_110519/R3.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,7426.73,0
0.0100503,7018.9,0
0.0201005,5938.92,0
0.0301508,4536.54,0
0.040201,3185.27,0
0.0502513,2123.32,0
0.0603015,1403.29,0
0.0703518,946.625,0
0.080402,640.241,0
0.0904523,410.721,0
0.100503,242.712,0
0.110553,147.521,0
0.120603,119.539,0
0.130653,122.622,0
0.140704,116.107,0
0.150754,88.0857,0
0.160804,57.542,0
0.170854,45.0198,0
0.180905,48.0122,0
0.190955,47.9833,0
0.201005,35.2655,0
0.211055,18.7927,0
0.221106,11.4313,0
0.231156,13.3907,0
0.241206,14.7926,0
0.251256,10.4453,0
0.261307,5.41926,0
0.271357,5.84224,0
0.281407,9.88496,0
0.291457,11.142,0
0.301508,7.8404,0
0.311558,4.40756,0
0.321608,4.42909,0
0.331658,5.98607,0
0.341709,5.35752,0
0.351759,2.58619,0
0.361809,0.856141,0
0.371859,1.55154,0
0.38191,2.64909,0
0.39196,2.19952,0
0.40201,1.12409,0
0.41206,1.37113,0
0.422111,2.75296,0
0.432161,3.29653,0
0.442211,2.22343,0
0.452261,0.930704,0
0.462312,0.78079,0
0.472362,1.27078,0
0.482412,1.14482,0
0.492462,0.405213,0
0.502513,0.141234,0
0.512563,0.717348,0
0.522613,1.24461,0
0.532663,1.01167,0
0.542714,0.526455,0
0.552764,0.626602,0
0.562814,1.16446,0
0.572864,1.28124,0
0.582915,0.727268,0
0.592965,0.174711,0
0.603015,0.165729,0
0.613065,0.39442,0
0.623116,0.333688,0
0.633166,0.0934981,0
0.643216,0.17189,0
0.653266,0.591429,0
0.663317,0.824254,0
0.673367,0.590729,0
0.683417,0.2596,0
0.693467,0.262184,0
0.703518,0.468034,0
0.713568,0.453902,0
0.723618,0.17803,0
0.733668,0.00762519,0
0.743719,0.123972,0
0.753769,0.272343,0
0.763819,0.208608,0
0.773869,0.0892055,0
0.78392,0.193568,0
0.79397,0.450201,0
0.80402,0.523246,0
0.81407,0.3122,0
0.824121,0.0865069,0
0.834171,0.0749018,0
0.844221,0.162494,0
0.854271,0.131282,0
0.864322,0.0192952,0
0.874372,0.0335282,0
0.884422,0.191637,0
0.894472,0.281433,0
0.904523,0.193386,0
0.914573,0.0887891,0
0.924623,0.142411,0
0.934673,0.271847,0
0.944724,0.270357,0
0.954774,0.121363,0
0.964824,0.00904155,0
0.974874,0.03341,0
0.984925,0.0854456,0
0.994975,0.0542398,0
1.00503,0.0115388,0
1.01508,0.0807347,0
1.02513,0.215474,0
1.03518,0.250776,0
1.04523,0.14783,0
1.05528,0.0489017,0
1.06533,0.0629829,0
1.07538,0.118311,0
1.08543,0.0967088,0
1.09548,0.0215147,0
1.10553,0.00705955,0
1.11558,0.0685154,0
1.12563,0.102463,0
1.13568,0.060866,0
1.14573,0.0313048,0
1.15578,0.0937939,0
1.16583,0.184144,0
1.17588,0.181927,0
1.18593,0.0866638,0
1.19598,0.0127733,0
1.20603,0.0205866,0
1.21608,0.046778,0
1.22613,0.0266571,0
1.23618,1.88001e-05,0
1.24623,0.0354059,0
1.25628,0.105552,0
1.26633,0.120523,0
1.27638,0.066338,0
1.28643,0.0277238,0
1.29648,0.0587638,0
1.30653,0.103688,0
1.31658,0.0868961,0
1.32663,0.0269216,0
1.33668,0.000407899,0
1.34673,0.0231294,0
1.35678,0.0373722,0
1.36683,0.016265,0
1.37688,0.00995516,0
1.38693,0.0591664,0
1.39698,0.1182,0
1.40704,0.114564,0
1.41709,0.0548195,0
1.42714,0.0134364,0
1.43719,0.0246705,0
1.44724,0.0436692,0
1.45729,0.0278778,0
1.46734,0.00331337,0
1.47739,0.0147251,0
1.48744,0.0479864,0
1.49749,0.0523861,0
1.50754,0.0247396,0
1.51759,0.0170965,0
1.52764,0.053744,0
1.53769,0.0890001,0
1.54774,0.0732744,0
1.55779,0.0251869,0
1.56784,0.000582675,0
1.57789,0.011171,0
1.58794,0.0186678,0
1.59799,0.0053635,0
1.60804,0.00308054,0
1.61809,0.0355785,0
1.62814,0.0712591,0
1.63819,0.0658191,0
1.64824,0.0293122,0
1.65829,0.0119296,0
1.66834,0.0302089,0
1.67839,0.0469888,0
1.68844,0.0321343,0
1.69849,0.0066924,0
1.70854,0.00497107,0
1.71859,0.0202493,0
1.72864,0.020885,0
1.73869,0.00666911,0
1.74874,0.0111058,0
1.75879,0.0446782,0
1.76884,0.0710309,0
1.77889,0.0569446,0
1.78894,0.0203102,0
1.79899,0.00305363,0
1.80905,0.0122211,0
1.8191,0.0183445,0
1.82915,0.00755119,0
1.8392,0.0020159,0
1.84925,0.0190261,0
1.8593,0.0385473,0
1.86935,0.0332955,0
1.8794,0.012992,0
1.88945,0.0108995,0
1.8995,0.0325663,0
1.90955,0.0467593,0
1.9196,0.0322229,0
1.92965,0.00760984,0
1.9397,0.000729532,0
1.94975,0.00833714,0
1.9598,0.00845404,0
1.96985,0.000787809,0
1.9799,0.00745148,0
1.98995,0.0330752,0
2,0.0506404,0
