# 20241029_133042
alpha,Df0Re,Df0Im
0,0.0637012,0
0.00157237,0.0637183,0
0.00314474,0.0637366,0
0.00471711,0.0637557,0
0.00628947,0.063775,0
0.00786184,0.0637939,0
0.00943421,0.063812,0
0.0110066,0.0638286,0
0.0125789,0.0638433,0
0.0141513,0.0638554,0
0.0157237,0.0638645,0
0.0172961,0.0638711,0
0.0188684,0.0638768,0
0.0204408,0.0638818,0
0.0220132,0.0638861,0
0.0235855,0.0638901,0
0.0251579,0.0638938,0
0.0267303,0.0638974,0
0.0283026,0.0639012,0
0.029875,0.0639052,0
0.0314474,0.0639098,0
0.0330197,0.0639147,0
0.0345921,0.0639195,0
0.0361645,0.0639245,0
0.0377368,0.0639295,0
0.0393092,0.0639346,0
0.0408816,0.0639399,0
0.042454,0.0639454,0
0.0440263,0.0639512,0
0.0455987,0.0639573,0
0.0471711,0.0639637,0
0.0487434,0.0639707,0
0.0503158,0.0639782,0
0.0518882,0.0639862,0
0.0534605,0.0639947,0
0.0550329,0.0640037,0
0.0566053,0.064013,0
0.0581776,0.0640226,0
0.05975,0.0640325,0
0.0613224,0.0640426,0
0.0628947,0.0640528,0
0.0644671,0.0640632,0
0.0660395,0.064074,0
0.0676119,0.0640852,0
0.0691842,0.0640968,0
0.0707566,0.0641087,0
0.072329,0.0641209,0
0.0739013,0.0641333,0
0.0754737,0.0641459,0
0.0770461,0.0641587,0
0.0786184,0.0641715,0
0.0801908,0.0641845,0
0.0817632,0.0641977,0
0.0833355,0.0642111,0
0.0849079,0.0642248,0
0.0864803,0.0642387,0
0.0880526,0.0642528,0
0.089625,0.0642671,0
0.0911974,0.0642815,0
0.0927698,0.064296,0
0.0943421,0.0643107,0
0.0959145,0.0643255,0
0.0974869,0.0643404,0
0.0990592,0.0643555,0
0.100632,0.0643708,0
0.102204,0.0643863,0
0.103776,0.0644019,0
0.105349,0.0644176,0
0.106921,0.0644336,0
0.108493,0.0644497,0
0.110066,0.0644659,0
0.111638,0.0644823,0
0.113211,0.0644988,0
0.114783,0.0645155,0
0.116355,0.0645324,0
0.117928,0.0645495,0
0.1195,0.0645667,0
0.121072,0.0645842,0
0.122645,0.0646017,0
0.124217,0.0646195,0
0.125789,0.0646374,0
0.127362,0.0646556,0
0.128934,0.0646739,0
0.130507,0.0646924,0
0.132079,0.0647111,0
0.133651,0.06473,0
0.135224,0.0647491,0
0.136796,0.0647684,0
0.138368,0.0647879,0
0.139941,0.0648076,0
0.141513,0.0648274,0
0.143086,0.0648474,0
0.144658,0.0648676,0
0.14623,0.0648881,0
0.147803,0.0649088,0
0.149375,0.0649296,0
0.150947,0.0649507,0
0.15252,0.064972,0
0.154092,0.0649934,0
0.155665,0.065015,0
0.157237,0.0650367,0
0.158809,0.0650586,0
0.160382,0.0650806,0
0.161954,0.0651029,0
0.163526,0.0651254,0
0.165099,0.0651481,0
0.166671,0.0651709,0
0.168243,0.0651939,0
0.169816,0.0652171,0
0.171388,0.0652403,0
0.172961,0.0652637,0
0.174533,0.0652871,0
0.176105,0.0653106,0
0.177678,0.0653344,0
0.17925,0.0653583,0
0.180822,0.0653823,0
0.182395,0.0654065,0
0.183967,0.0654307,0
0.18554,0.065455,0
0.187112,0.0654794,0
0.188684,0.0655038,0
0.190257,0.0655282,0
0.191829,0.0655527,0
0.193401,0.0655772,0
0.194974,0.0656019,0
0.196546,0.0656266,0
0.198118,0.0656514,0
0.199691,0.0656762,0
0.201263,0.065701,0
0.202836,0.0657258,0
0.204408,0.0657505,0
0.20598,0.0657752,0
0.207553,0.0657998,0
0.209125,0.0658245,0
0.210697,0.0658491,0
0.21227,0.0658738,0
0.213842,0.0658985,0
0.215415,0.065923,0
0.216987,0.0659475,0
0.218559,0.065972,0
0.220132,0.0659962,0
0.221704,0.0660204,0
0.223276,0.0660444,0
0.224849,0.0660683,0
0.226421,0.0660923,0
0.227993,0.0661161,0
0.229566,0.0661398,0
0.231138,0.0661634,0
0.232711,0.0661869,0
0.234283,0.0662102,0
0.235855,0.0662333,0
0.237428,0.0662561,0
0.239,0.0662788,0
0.240572,0.0663013,0
0.242145,0.0663238,0
0.243717,0.0663461,0
0.24529,0.0663682,0
0.246862,0.0663901,0
0.248434,0.0664118,0
0.250007,0.0664333,0
0.251579,0.0664545,0
0.253151,0.0664754,0
0.254724,0.0664961,0
0.256296,0.0665165,0
0.257868,0.0665369,0
0.259441,0.066557,0
0.261013,0.0665769,0
0.262586,0.0665965,0
0.264158,0.0666159,0
0.26573,0.0666349,0
0.267303,0.0666537,0
