# 20241029_133232
alpha,Df0Re,Df0Im
0,0.0424686,0
0.0158666,0.0425768,0
0.0317333,0.0426074,0
0.0475999,0.0426449,0
0.0634665,0.0427067,0
0.0793331,0.0427886,0
0.0951998,0.0428845,0
0.111066,0.0429917,0
0.126933,0.0431104,0
0.1428,0.0432423,0
0.158666,0.0433879,0
0.174533,0.0435459,0
0.1904,0.0437133,0
0.206266,0.0438854,0
0.222133,0.0440572,0
0.237999,0.0442237,0
0.253866,0.0443802,0
0.269733,0.0445225,0
0.285599,0.0446471,0
0.301466,0.0447502,0
0.317333,0.0448278,0
0.333199,0.0448757,0
0.349066,0.0448888,0
0.364932,0.0448617,0
0.380799,0.0447889,0
0.396666,0.0446651,0
0.412532,0.0444853,0
0.428399,0.0442455,0
0.444266,0.0439423,0
0.460132,0.0435735,0
0.475999,0.0431372,0
0.491866,0.0426319,0
0.507732,0.0420561,0
0.523599,0.0414077,0
0.539465,0.0406841,0
0.555332,0.0398818,0
0.571199,0.0389969,0
0.587065,0.038025,0
0.602932,0.0369618,0
0.618799,0.0358036,0
0.634665,0.0345477,0
0.650532,0.0331928,0
0.666398,0.0317391,0
0.682265,0.0301881,0
0.698132,0.0285424,0
0.713998,0.0268051,0
0.729865,0.0249796,0
0.745732,0.0230687,0
0.761598,0.0210747,0
0.777465,0.0189993,0
0.793332,0.0168443,0
0.809198,0.0146124,0
0.825065,0.0123082,0
0.840931,0.00993981,0
0.856798,0.00751922,0
0.872665,0.0050633,0
0.888531,0.0025935,0
0.904398,0.000134947,0
0.920265,-0.00228525,0
0.936131,-0.0046402,0
0.951998,-0.00690565,0
0.967864,-0.00906203,0
0.983731,-0.0110958,0
0.999598,-0.0129994,0
1.01546,-0.0147708,0
1.03133,-0.0164106,0
1.0472,-0.0179202,0
1.06306,-0.0192994,0
1.07893,-0.0205452,0
1.0948,-0.0216529,0
1.11066,-0.0226175,0
1.12653,-0.0234375,0
1.1424,-0.0241173,0
1.15826,-0.0246677,0
1.17413,-0.0251037,0
1.19,-0.0254389,0
1.20586,-0.0256778,0
1.22173,-0.02581,0
1.2376,-0.0258087,0
1.25346,-0.0256369,0
1.26933,-0.0252603,0
1.2852,-0.0246612,0
1.30106,-0.0238455,0
1.31693,-0.022833,0
1.3328,-0.0216274,0
1.34866,-0.0201762,0
1.36453,-0.0183426,0
1.3804,-0.0159159,0
1.39626,-0.0126695,0
1.41213,-0.00842927,0
1.428,-0.00306757,0
1.44386,0.00366804,0
1.45973,0.0124711,0
1.4756,0.024706,0
1.49146,0.0422452,0
1.50733,0.0672944,0
1.5232,0.104885,0
1.53906,0.175802,0
1.55493,0.375089,0
1.5708,3.68572,0
