# 20241029_133232
alpha,field0Re,field0Im
0,0.12779,0
0.00157237,0.127791,0
0.00314474,0.127792,0
0.00471711,0.127793,0
0.00628947,0.127793,0
0.00786184,0.127794,0
0.00943421,0.127795,0
0.0110066,0.127796,0
0.0125789,0.127796,0
0.0141513,0.127797,0
0.0157237,0.127797,0
0.0172961,0.127797,0
0.0188684,0.127797,0
0.0204408,0.127797,0
0.0220132,0.127796,0
0.0235855,0.127796,0
0.0251579,0.127796,0
0.0267303,0.127796,0
0.0283026,0.127795,0
0.029875,0.127795,0
0.0314474,0.127795,0
0.0330197,0.127795,0
0.0345921,0.127794,0
0.0361645,0.127794,0
0.0377368,0.127793,0
0.0393092,0.127793,0
0.0408816,0.127792,0
0.042454,0.127791,0
0.0440263,0.127791,0
0.0455987,0.12779,0
0.0471711,0.12779,0
0.0487434,0.127789,0
0.0503158,0.127789,0
0.0518882,0.127788,0
0.0534605,0.127787,0
0.0550329,0.127787,0
0.0566053,0.127786,0
0.0581776,0.127785,0
0.05975,0.127785,0
0.0613224,0.127784,0
0.0628947,0.127783,0
0.0644671,0.127782,0
0.0660395,0.127782,0
0.0676119,0.127781,0
0.0691842,0.12778,0
0.0707566,0.127779,0
0.072329,0.127779,0
0.0739013,0.127778,0
0.0754737,0.127777,0
0.0770461,0.127776,0
0.0786184,0.127775,0
0.0801908,0.127774,0
0.0817632,0.127773,0
0.0833355,0.127772,0
0.0849079,0.127771,0
0.0864803,0.127771,0
0.0880526,0.12777,0
0.089625,0.127769,0
0.0911974,0.127767,0
0.0927698,0.127766,0
0.0943421,0.127765,0
0.0959145,0.127764,0
0.0974869,0.127763,0
0.0990592,0.127762,0
0.100632,0.127761,0
0.102204,0.12776,0
0.103776,0.127758,0
0.105349,0.127757,0
0.106921,0.127756,0
0.108493,0.127755,0
0.110066,0.127753,0
0.111638,0.127752,0
0.113211,0.127751,0
0.114783,0.127749,0
0.116355,0.127748,0
0.117928,0.127746,0
0.1195,0.127745,0
0.121072,0.127743,0
0.122645,0.127742,0
0.124217,0.12774,0
0.125789,0.127739,0
0.127362,0.127737,0
0.128934,0.127735,0
0.130507,0.127734,0
0.132079,0.127732,0
0.133651,0.12773,0
0.135224,0.127728,0
0.136796,0.127727,0
0.138368,0.127725,0
0.139941,0.127723,0
0.141513,0.127721,0
0.143086,0.127719,0
0.144658,0.127717,0
0.14623,0.127715,0
0.147803,0.127713,0
0.149375,0.127711,0
0.150947,0.127709,0
0.15252,0.127707,0
0.154092,0.127704,0
0.155665,0.127702,0
0.157237,0.1277,0
0.158809,0.127698,0
0.160382,0.127695,0
0.161954,0.127693,0
0.163526,0.127691,0
0.165099,0.127688,0
0.166671,0.127686,0
0.168243,0.127683,0
0.169816,0.12768,0
0.171388,0.127678,0
0.172961,0.127675,0
0.174533,0.127673,0
0.176105,0.12767,0
0.177678,0.127667,0
0.17925,0.127664,0
0.180822,0.127661,0
0.182395,0.127659,0
0.183967,0.127656,0
0.18554,0.127653,0
0.187112,0.12765,0
0.188684,0.127647,0
0.190257,0.127643,0
0.191829,0.12764,0
0.193401,0.127637,0
0.194974,0.127634,0
0.196546,0.12763,0
0.198118,0.127627,0
0.199691,0.127624,0
0.201263,0.12762,0
0.202836,0.127617,0
0.204408,0.127613,0
0.20598,0.127609,0
0.207553,0.127606,0
0.209125,0.127602,0
0.210697,0.127598,0
0.21227,0.127594,0
0.213842,0.127591,0
0.215415,0.127587,0
0.216987,0.127583,0
0.218559,0.127578,0
0.220132,0.127574,0
0.221704,0.12757,0
0.223276,0.127566,0
0.224849,0.127562,0
0.226421,0.127557,0
0.227993,0.127553,0
0.229566,0.127548,0
0.231138,0.127544,0
0.232711,0.127539,0
0.234283,0.127534,0
0.235855,0.127529,0
0.237428,0.127525,0
0.239,0.12752,0
0.240572,0.127515,0
0.242145,0.12751,0
0.243717,0.127504,0
0.24529,0.127499,0
0.246862,0.127494,0
0.248434,0.127488,0
0.250007,0.127483,0
0.251579,0.127477,0
0.253151,0.127472,0
0.254724,0.127466,0
0.256296,0.12746,0
0.257868,0.127454,0
0.259441,0.127448,0
0.261013,0.127442,0
0.262586,0.127436,0
0.264158,0.12743,0
0.26573,0.127424,0
0.267303,0.127417,0
0.268875,0.127411,0
0.270447,0.127404,0
0.27202,0.127398,0
0.273592,0.127391,0
0.275165,0.127384,0
0.276737,0.127377,0
0.278309,0.12737,0
0.279882,0.127363,0
0.281454,0.127355,0
0.283026,0.127348,0
0.284599,0.127341,0
0.286171,0.127333,0
0.287743,0.127325,0
0.289316,0.127318,0
0.290888,0.12731,0
0.292461,0.127302,0
0.294033,0.127294,0
0.295605,0.127285,0
0.297178,0.127277,0
0.29875,0.127269,0
0.300322,0.12726,0
0.301895,0.127251,0
0.303467,0.127243,0
0.30504,0.127234,0
0.306612,0.127225,0
0.308184,0.127215,0
0.309757,0.127206,0
0.311329,0.127197,0
0.312901,0.127187,0
0.314474,0.127178,0
0.316046,0.127168,0
0.317618,0.127158,0
0.319191,0.127148,0
0.320763,0.127138,0
0.322336,0.127127,0
0.323908,0.127117,0
0.32548,0.127106,0
0.327053,0.127096,0
0.328625,0.127085,0
0.330197,0.127074,0
0.33177,0.127063,0
0.333342,0.127052,0
0.334915,0.12704,0
0.336487,0.127029,0
0.338059,0.127017,0
0.339632,0.127005,0
0.341204,0.126993,0
0.342776,0.126981,0
0.344349,0.126969,0
0.345921,0.126957,0
0.347493,0.126944,0
0.349066,0.126931,0
0.350638,0.126918,0
0.352211,0.126905,0
0.353783,0.126892,0
0.355355,0.126879,0
0.356928,0.126865,0
0.3585,0.126852,0
0.360072,0.126838,0
0.361645,0.126824,0
0.363217,0.12681,0
0.36479,0.126795,0
0.366362,0.126781,0
0.367934,0.126766,0
0.369507,0.126751,0
0.371079,0.126736,0
0.372651,0.126721,0
0.374224,0.126706,0
0.375796,0.12669,0
0.377368,0.126675,0
0.378941,0.126659,0
0.380513,0.126643,0
0.382086,0.126627,0
0.383658,0.12661,0
0.38523,0.126593,0
0.386803,0.126577,0
0.388375,0.12656,0
0.389947,0.126543,0
0.39152,0.126525,0
0.393092,0.126508,0
0.394665,0.12649,0
0.396237,0.126472,0
0.397809,0.126454,0
0.399382,0.126436,0
0.400954,0.126417,0
0.402526,0.126398,0
0.404099,0.126379,0
0.405671,0.12636,0
0.407243,0.126341,0
0.408816,0.126321,0
0.410388,0.126302,0
0.411961,0.126282,0
0.413533,0.126262,0
0.415105,0.126241,0
0.416678,0.126221,0
0.41825,0.1262,0
0.419822,0.126179,0
0.421395,0.126158,0
0.422967,0.126136,0
0.42454,0.126115,0
0.426112,0.126093,0
0.427684,0.126071,0
0.429257,0.126049,0
0.430829,0.126026,0
0.432401,0.126003,0
0.433974,0.125981,0
0.435546,0.125957,0
0.437118,0.125934,0
0.438691,0.12591,0
0.440263,0.125886,0
0.441836,0.125862,0
0.443408,0.125838,0
0.44498,0.125814,0
0.446553,0.125789,0
0.448125,0.125764,0
0.449697,0.125739,0
0.45127,0.125713,0
0.452842,0.125688,0
0.454415,0.125662,0
0.455987,0.125635,0
0.457559,0.125609,0
0.459132,0.125582,0
0.460704,0.125555,0
0.462276,0.125528,0
0.463849,0.125501,0
0.465421,0.125473,0
0.466994,0.125445,0
0.468566,0.125417,0
0.470138,0.125389,0
0.471711,0.12536,0
0.473283,0.125331,0
0.474855,0.125302,0
0.476428,0.125273,0
0.478,0.125243,0
0.479572,0.125214,0
0.481145,0.125183,0
0.482717,0.125153,0
0.48429,0.125122,0
0.485862,0.125092,0
0.487434,0.12506,0
0.489007,0.125029,0
0.490579,0.124997,0
