# 20241029_133232
# initdata:	data/init_real_m140_taudep_20241029_132506/v0.csv
# particle mass:	0.14
# NpT:	200
# pTmax:	2
# epsabs:	0
# epsrel:	1e-05
# integr iter:	10000
pT,abs2Re,abs2Im
0,78409.3,0
0.0100503,73972.5,0
0.0201005,62220.4,0
0.0301508,46975.6,0
0.040201,32364.7,0
0.0502513,21042,0
0.0603015,13574.7,0
0.0703518,9036.98,0
0.080402,6117.78,0
0.0904523,3953.73,0
0.100503,2315.61,0
0.110553,1289.05,0
0.120603,866.864,0
0.130653,802.582,0
0.140704,772.808,0
0.150754,618.424,0
0.160804,407.088,0
0.170854,280.579,0
0.180905,275.676,0
0.190955,303.57,0
0.201005,272.364,0
0.211055,186.362,0
0.221106,115.793,0
0.231156,99.5997,0
0.241206,108.141,0
0.251256,95.6283,0
0.261307,59.1113,0
0.271357,31.0758,0
0.281407,29.8956,0
0.291457,39.4418,0
0.301508,37.1408,0
0.311558,23.9722,0
0.321608,17.117,0
0.331658,22.7022,0
0.341709,28.8683,0
0.351759,24.6154,0
0.361809,14.3296,0
0.371859,9.17218,0
0.38191,11.1129,0
0.39196,12.4618,0
0.40201,8.55217,0
0.41206,3.7067,0
0.422111,3.47902,0
0.432161,6.46253,0
0.442211,7.29583,0
0.452261,4.81268,0
0.462312,2.94268,0
0.472362,4.17966,0
0.482412,6.0652,0
0.492462,5.32096,0
0.502513,2.65008,0
0.512563,1.24465,0
0.522613,1.99576,0
0.532663,2.71101,0
0.542714,1.83956,0
0.552764,0.657825,0
0.562814,0.951234,0
0.572864,2.20401,0
0.582915,2.52832,0
0.592965,1.54272,0
0.603015,0.749788,0
0.613065,1.13252,0
0.623116,1.79804,0
0.633166,1.52076,0
0.643216,0.581197,0
0.653266,0.18113,0
0.663317,0.592067,0
0.673367,0.912134,0
0.683417,0.582109,0
0.693467,0.188309,0
0.703518,0.427722,0
0.713568,0.988568,0
0.723618,1.05621,0
0.733668,0.54988,0
0.743719,0.180359,0
0.753769,0.347392,0
0.763819,0.61646,0
0.773869,0.476606,0
0.78392,0.115554,0
0.79397,0.0569623,0
0.80402,0.33007,0
0.81407,0.470504,0
0.824121,0.27077,0
0.834171,0.0737649,0
0.844221,0.20209,0
0.854271,0.459149,0
0.864322,0.452018,0
0.874372,0.186152,0
0.884422,0.0213487,0
0.894472,0.114559,0
0.904523,0.229071,0
0.914573,0.150257,0
0.924623,0.0150956,0
0.934673,0.0618554,0
0.944724,0.237852,0
0.954774,0.28499,0
0.964824,0.142778,0
0.974874,0.0306085,0
0.984925,0.102667,0
0.994975,0.224684,0
1.00503,0.198103,0
1.01508,0.0596479,0
1.02513,0.00249797,0
1.03518,0.0747368,0
1.04523,0.12852,0
1.05528,0.0708487,0
1.06533,0.00396346,0
1.07538,0.0484932,0
1.08543,0.147211,0
1.09548,0.155591,0
1.10553,0.0636997,0
1.11558,0.00241864,0
1.12563,0.0396457,0
1.13568,0.0902305,0
1.14573,0.0646416,0
1.15578,0.00802109,0
1.16583,0.0169491,0
1.17588,0.0804173,0
1.18593,0.099124,0
1.19598,0.0445817,0
1.20603,0.00342085,0
1.21608,0.0416716,0
1.22613,0.104281,0
1.23618,0.100598,0
1.24623,0.0375965,0
1.25628,0.000274922,0
1.26633,0.0217481,0
1.27638,0.0464519,0
1.28643,0.0288874,0
1.29648,0.00300499,0
1.30653,0.0188313,0
1.31658,0.0574048,0
1.32663,0.0604752,0
1.33668,0.022909,0
1.34673,3.49825e-05,0
1.35678,0.0216867,0
1.36683,0.0494859,0
1.37688,0.0398963,0
1.38693,0.00995752,0
1.39698,0.00560621,0
1.40704,0.0285646,0
1.41709,0.0374086,0
1.42714,0.0163288,0
1.43719,3.4571e-05,0
1.44724,0.0181505,0
1.45729,0.0479366,0
1.46734,0.0483094,0
1.47739,0.0199858,0
1.48744,0.000831529,0
1.49749,0.00881424,0
1.50754,0.021465,0
1.51759,0.0169384,0
1.52764,0.00683511,0
1.53769,0.0118383,0
1.54774,0.0250382,0
1.55779,0.0234579,0
1.56784,0.00707899,0
1.57789,0.00085661,0
1.58794,0.0159834,0
1.59799,0.031788,0
1.60804,0.0264548,0
1.61809,0.00861617,0
1.62814,0.00240809,0
1.63819,0.0114482,0
1.64824,0.0169222,0
1.65829,0.00931732,0
1.66834,0.00244876,0
1.67839,0.00969948,0
1.68844,0.0219579,0
1.69849,0.0215542,0
1.70854,0.00901652,0
1.71859,0.00131036,0
1.72864,0.00629082,0
1.73869,0.0133571,0
1.74874,0.0120799,0
1.75879,0.00731235,0
1.76884,0.00837686,0
1.77889,0.0125824,0
1.78894,0.0104632,0
1.79899,0.00306209,0
1.80905,0.00204539,0
1.8191,0.0115025,0
1.82915,0.0202112,0
1.8392,0.0170476,0
1.84925,0.00648343,0
1.8593,0.00146282,0
1.86935,0.00535387,0
1.8794,0.00957805,0
1.88945,0.00804697,0
1.8995,0.00512834,0
1.90955,0.00658691,0
1.9196,0.00981724,0
1.92965,0.0086861,0
1.9397,0.00395594,0
1.94975,0.00222999,0
1.9598,0.00567077,0
1.96985,0.00902972,0
1.9799,0.00803216,0
1.98995,0.00532461,0
2,0.00519184,0
