# 20241023_170656
alpha,f0Re,f0Im
0,-0.0224275,0.0876127
0.01,-0.0224513,0.0876192
0.02,-0.0224553,0.0876203
0.03,-0.0224486,0.0876184
0.04,-0.0224364,0.0876151
0.05,-0.0224211,0.087611
0.06,-0.0224036,0.0876063
0.07,-0.022384,0.0876009
0.08,-0.0223619,0.0875949
0.09,-0.0223366,0.087588
0.1,-0.0223078,0.0875802
0.11,-0.0222748,0.0875712
0.12,-0.0222373,0.0875609
0.13,-0.022195,0.0875493
0.14,-0.0221475,0.0875363
0.15,-0.0220947,0.0875217
0.16,-0.022036,0.0875056
0.17,-0.0219712,0.0874876
0.18,-0.0218998,0.0874678
0.19,-0.0218212,0.0874459
0.2,-0.0217348,0.0874217
0.21,-0.02164,0.087395
0.22,-0.0215358,0.0873656
0.23,-0.0214215,0.0873332
0.24,-0.0212962,0.0872974
0.25,-0.0211589,0.087258
0.26,-0.0210086,0.0872145
0.27,-0.0208443,0.0871666
0.28,-0.0206649,0.087114
0.29,-0.0204694,0.087056
0.3,-0.0202568,0.0869924
0.31,-0.0200258,0.0869226
0.32,-0.0197754,0.0868462
0.33,-0.0195045,0.0867624
0.34,-0.019212,0.0866709
0.35,-0.0188968,0.0865708
0.36,-0.0185579,0.0864617
0.37,-0.0181942,0.0863429
0.38,-0.0178048,0.0862135
0.39,-0.0173888,0.0860728
0.4,-0.0169453,0.08592
0.41,-0.0164735,0.0857544
0.42,-0.0159727,0.085575
0.43,-0.0154425,0.0853809
0.44,-0.0148823,0.0851712
0.45,-0.0142918,0.084945
0.46,-0.0136709,0.0847012
0.47,-0.0130194,0.084439
0.48,-0.0123374,0.0841572
0.49,-0.0116253,0.0838549
0.5,-0.0108834,0.083531
0.51,-0.0101121,0.0831845
0.52,-0.00931218,0.0828142
0.53,-0.00848439,0.0824193
0.54,-0.00762964,0.0819985
0.55,-0.00674899,0.0815509
0.56,-0.00584361,0.0810755
0.57,-0.00491479,0.0805711
0.58,-0.00396394,0.0800368
0.59,-0.00299258,0.0794716
0.6,-0.00200235,0.0788747
0.61,-0.000995003,0.0782449
0.62,2.75863e-05,0.0775816
0.63,0.00106344,0.076884
0.64,0.00211046,0.0761512
0.65,0.00316646,0.0753828
0.66,0.0042291,0.0745782
0.67,0.00529599,0.0737369
0.68,0.0063646,0.0728587
0.69,0.00743235,0.0719434
0.7,0.00849656,0.070991
0.71,0.00955448,0.0700017
0.72,0.0106033,0.0689757
0.73,0.0116403,0.0679136
0.74,0.0126625,0.066816
0.75,0.0136672,0.0656836
0.76,0.0146515,0.0645176
0.77,0.0156127,0.0633191
0.78,0.016548,0.0620895
0.79,0.0174548,0.0608302
0.8,0.0183307,0.0595429
0.81,0.0191731,0.0582296
0.82,0.0199798,0.0568922
0.83,0.0207486,0.0555329
0.84,0.0214776,0.054154
0.85,0.0221649,0.0527578
0.86,0.0228089,0.051347
0.87,0.0234082,0.0499241
0.88,0.0239616,0.048492
0.89,0.0244679,0.0470535
0.9,0.0249266,0.0456113
0.91,0.0253369,0.0441686
0.92,0.0256986,0.0427281
0.93,0.0260117,0.0412928
0.94,0.0262762,0.0398656
0.95,0.0264927,0.0384494
0.96,0.0266618,0.0370468
0.97,0.0267842,0.0356604
0.98,0.0268612,0.0342927
0.99,0.0268939,0.0329461
1,0.0268838,0.0316225
1.01,0.0268324,0.0303238
1.02,0.0267415,0.0290518
1.03,0.0266127,0.0278079
1.04,0.0264479,0.0265934
1.05,0.0262491,0.0254092
1.06,0.026018,0.0242563
1.07,0.0257567,0.0231352
1.08,0.0254669,0.0220464
1.09,0.0251507,0.0209903
1.1,0.0248097,0.019967
1.11,0.0244459,0.0189766
1.12,0.0240609,0.018019
1.13,0.0236564,0.0170941
1.14,0.0232341,0.0162015
1.15,0.0227954,0.015341
1.16,0.0223419,0.0145121
1.17,0.021875,0.0137143
1.18,0.0213959,0.0129471
1.19,0.0209059,0.0122099
1.2,0.0204063,0.011502
1.21,0.0198979,0.0108228
1.22,0.019382,0.0101715
1.23,0.0188593,0.00954746
1.24,0.0183308,0.00894995
1.25,0.0177972,0.00837823
1.26,0.0172593,0.00783158
1.27,0.0167178,0.00730928
1.28,0.0161733,0.00681062
1.29,0.0156264,0.00633489
1.3,0.0150776,0.0058814
1.31,0.0145272,0.00544946
1.32,0.0139758,0.00503836
1.33,0.0134236,0.00464744
1.34,0.0128709,0.00427603
1.35,0.012318,0.00392349
1.36,0.0117649,0.00358922
1.37,0.011212,0.00327263
1.38,0.0106592,0.00297317
1.39,0.0101068,0.00269035
1.4,0.00955475,0.00242367
1.41,0.00900323,0.00217267
1.42,0.00845219,0.00193689
1.43,0.00790154,0.00171588
1.44,0.00735112,0.00150922
1.45,0.0068007,0.00131651
1.46,0.00625001,0.00113736
1.47,0.00569874,0.000971469
1.48,0.00514661,0.000818562
1.49,0.0045933,0.000678416
1.5,0.00403842,0.000550836
1.51,0.0034814,0.000435649
1.52,0.00292148,0.000332717
1.53,0.00235777,0.000241966
1.54,0.00178945,0.000163429
1.55,0.00121587,9.72458e-05
1.56,0.000636044,4.36022e-05
1.57,4.71789e-05,2.68844e-06
1.58,-0.000555491,-2.50949e-05
